model,condition,rate,n,se,ci95,all_pass_rate,facts,facts_passed,rows_per_fact,all_pass_rate_k5,rate_balanced,n_dimensions
qwen3-8b-base,control,0.6309523809523809,84,0.05296639920604617,0.1038141424438505,0.6309523809523809,84,53,1.0,,0.6309523809523809,1
qwen3-8b-base,domain_high,0.6071428571428571,420,0.023859193560025502,0.046764019377649985,0.2261904761904762,84,19,5.0,0.2261904761904769,0.595704948646125,7
qwen3-8b-base,domain_low,0.6404761904761904,420,0.023442736808900983,0.04594776414544593,0.25,84,21,5.0,0.25,0.6181425600543248,7
qwen3-8b-base,irrel_high,0.575595238095238,1680,0.012062112429835683,0.023641740362477938,0.07142857142857142,84,6,20.0,0.24702380952380942,0.575595238095238,4
qwen3-8b-base,irrel_low,0.5904761904761905,1680,0.012000944447569977,0.023521851117237154,0.10714285714285714,84,9,20.0,0.27907738095238127,0.5904761904761905,4
qwen3-8b-nothink,control,0.8214285714285714,84,0.04203894830190181,0.08239633867172755,0.8214285714285714,84,69,1.0,,0.8214285714285714,1
qwen3-8b-nothink,domain_high,0.8214285714285714,420,0.018710434689642796,0.03667245199169988,0.6547619047619048,84,55,5.0,0.6547619047619004,0.8514472455648926,7
qwen3-8b-nothink,domain_low,0.8142857142857143,420,0.018997832422264268,0.03723575154763797,0.6190476190476191,84,52,5.0,0.6190476190476203,0.8456243103301927,7
qwen3-8b-nothink,irrel_high,0.8369047619047619,1680,0.009016402940246112,0.017672149762882377,0.4642857142857143,84,39,20.0,0.6485119047619033,0.8369047619047619,4
qwen3-8b-nothink,irrel_low,0.7779761904761905,1680,0.010142793412383028,0.019879875088270733,0.5357142857142857,84,45,20.0,0.614166666666668,0.7779761904761905,4
qwen3-8b-think,control,0.9047619047619048,84,0.03222058768123688,0.06315235185522429,0.9047619047619048,84,76,1.0,,0.9047619047619048,1
qwen3-8b-think,domain_high,0.8857142857142857,420,0.015543033632499112,0.03046434591969826,0.7738095238095238,84,65,5.0,0.7738095238095198,0.9076256260079789,7
qwen3-8b-think,domain_low,0.8714285714285714,420,0.016352385645294572,0.03205067586477736,0.7619047619047619,84,64,5.0,0.7619047619047596,0.886236312706901,7
qwen3-8b-think,irrel_high,0.8803571428571428,1680,0.007920406762674038,0.015523997254841115,0.6785714285714286,84,57,20.0,0.7638392857142838,0.8803571428571428,4
qwen3-8b-think,irrel_low,0.8630952380952381,1680,0.008389059783169993,0.016442557175013188,0.6785714285714286,84,57,20.0,0.7382440476190492,0.8630952380952381,4
