model,condition,se,ci_lo,ci_hi,n_facts
qwen3-8b-think,control,0.048840332530547544,0.6309523809523809,0.8214285714285714,84
qwen3-8b-think,domain_uhigh_mhigh,0.050169984541422186,0.5952380952380952,0.7857142857142857,84
qwen3-8b-think,domain_uhigh_mlow,0.05526395951537192,0.4523809523809524,0.6666666666666666,84
qwen3-8b-think,domain_ulow_mhigh,0.05331417589269534,0.5357142857142857,0.75,84
qwen3-8b-think,domain_ulow_mlow,0.05507110548232815,0.4642857142857143,0.6785714285714286,84
qwen3-8b-think,irrel_uhigh_mhigh,0.052119843400386494,0.25,0.4523809523809524,84
qwen3-8b-think,irrel_uhigh_mlow,0.04996051796557124,0.19047619047619047,0.39285714285714285,84
qwen3-8b-think,irrel_ulow_mhigh,0.05310491645603185,0.2857142857142857,0.5,84
qwen3-8b-think,irrel_ulow_mlow,0.050489824119306505,0.2261904761904762,0.42857142857142855,84
qwen3-8b-nothink,control,0.054479207263572055,0.4523809523809524,0.6666666666666666,84
qwen3-8b-nothink,domain_uhigh_mhigh,0.05461755572289589,0.3333333333333333,0.5476190476190477,84
qwen3-8b-nothink,domain_uhigh_mlow,0.05039050335051103,0.2261904761904762,0.42857142857142855,84
qwen3-8b-nothink,domain_ulow_mhigh,0.05322899874516729,0.30952380952380953,0.5238095238095238,84
qwen3-8b-nothink,domain_ulow_mlow,0.053084053838441655,0.27380952380952384,0.4880952380952381,84
qwen3-8b-nothink,irrel_uhigh_mhigh,0.0429215772028811,0.10714285714285714,0.27380952380952384,84
qwen3-8b-nothink,irrel_uhigh_mlow,0.03478088984680407,0.05952380952380952,0.19047619047619047,84
qwen3-8b-nothink,irrel_ulow_mhigh,0.03949818619673359,0.08333333333333333,0.23809523809523808,84
qwen3-8b-nothink,irrel_ulow_mlow,0.039881381812580226,0.08333333333333333,0.23809523809523808,84
qwen3-8b-base,control,0.04775188332160584,0.16666666666666666,0.35714285714285715,84
qwen3-8b-base,domain_uhigh_mhigh,0.020044409929157597,0.0,0.08333333333333333,84
qwen3-8b-base,domain_uhigh_mlow,0.011979717352261136,0.0,0.03571428571428571,84
qwen3-8b-base,domain_ulow_mhigh,0.011960149540859628,0.0,0.03571428571428571,84
qwen3-8b-base,domain_ulow_mlow,0.011693110380876575,0.0,0.03571428571428571,84
qwen3-8b-base,irrel_uhigh_mhigh,0.0,0.0,0.0,84
qwen3-8b-base,irrel_uhigh_mlow,0.0,0.0,0.0,84
qwen3-8b-base,irrel_ulow_mhigh,0.0,0.0,0.0,84
qwen3-8b-base,irrel_ulow_mlow,0.0,0.0,0.0,84
