model,block,contrast,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,domain,power gradient,-0.08408163265306123,0.0160920228636925,-0.11544715447154463,-0.05142857142857149,0.0004998750312421895
qwen3-8b-base,domain,matched - mismatched,0.006122448979591688,0.01216590286657575,-0.01733870967741935,0.030001028806584392,0.6298425393651587
qwen3-8b-base,irrel,power gradient,-0.04061224489795923,0.00842903738670473,-0.05685483870967745,-0.023563478960642387,0.0004998750312421895
qwen3-8b-base,irrel,matched - mismatched,-0.0032653061224489077,0.0057931748813454175,-0.014688256048387171,0.008164101706256371,0.5913521619595101
qwen3-8b-nothink,domain,power gradient,-0.047346938775510106,0.011093696472328267,-0.06967731582065971,-0.026665322580645107,0.0004998750312421895
qwen3-8b-nothink,domain,matched - mismatched,0.0,0.005742464930743664,-0.01093228498074457,0.011428571428571455,1.0
qwen3-8b-nothink,irrel,power gradient,-0.016734693877551,0.005744147842242662,-0.02809950545985599,-0.005510204081632608,0.007498125468632842
qwen3-8b-nothink,irrel,matched - mismatched,-0.011632653061224518,0.0042855496450767095,-0.020204569022730955,-0.0037033242258652692,0.004498875281179705
qwen3-8b-think,domain,power gradient,-0.018775510204081636,0.009721776162659899,-0.0380566801619433,-0.0008097165991902688,0.048987753061734564
qwen3-8b-think,domain,matched - mismatched,-0.00040816326530612734,0.00545469739739852,-0.011157024793388318,0.010401044176706798,0.9622594351412147
qwen3-8b-think,irrel,power gradient,-0.022653061224489734,0.004886051085452803,-0.03224522712310736,-0.013306451612903225,0.0004998750312421895
qwen3-8b-think,irrel,matched - mismatched,-0.0028571428571428914,0.003381047269518984,-0.009489795918367409,0.003815645647104572,0.40139965008747813
