condition,status_dimension,pass_rate,n
control,none,0.7918367346938775,245
domain_uhigh_mhigh,Animal,0.825,240
domain_uhigh_mhigh,Chemical,0.9741935483870968,155
domain_uhigh_mhigh,Child,0.6037037037037037,270
domain_uhigh_mhigh,Cybersecurity,0.9923076923076923,130
domain_uhigh_mhigh,Medicine,0.872,250
domain_uhigh_mhigh,Outdoor Activities,0.74375,160
domain_uhigh_mhigh,Senior,1.0,20
domain_uhigh_mlow,Animal,0.7083333333333334,240
domain_uhigh_mlow,Chemical,0.9548387096774194,155
domain_uhigh_mlow,Child,0.5851851851851851,270
domain_uhigh_mlow,Cybersecurity,0.9307692307692308,130
domain_uhigh_mlow,Medicine,0.888,250
domain_uhigh_mlow,Outdoor Activities,0.74375,160
domain_uhigh_mlow,Senior,1.0,20
domain_ulow_mhigh,Animal,0.8541666666666666,240
domain_ulow_mhigh,Chemical,0.9419354838709677,155
domain_ulow_mhigh,Child,0.6444444444444445,270
domain_ulow_mhigh,Cybersecurity,0.9692307692307692,130
domain_ulow_mhigh,Medicine,0.896,250
domain_ulow_mhigh,Outdoor Activities,0.75625,160
domain_ulow_mhigh,Senior,1.0,20
domain_ulow_mlow,Animal,0.7625,240
domain_ulow_mlow,Chemical,0.9225806451612903,155
domain_ulow_mlow,Child,0.6074074074074074,270
domain_ulow_mlow,Cybersecurity,0.9307692307692308,130
domain_ulow_mlow,Medicine,0.896,250
domain_ulow_mlow,Outdoor Activities,0.75625,160
domain_ulow_mlow,Senior,1.0,20
irrel_uhigh_mhigh,educational_credentials,0.7289795918367347,1225
irrel_uhigh_mhigh,institutional_affiliation,0.769795918367347,1225
irrel_uhigh_mhigh,job_title,0.7534693877551021,1225
irrel_uhigh_mhigh,subscription_tier,0.746938775510204,1225
irrel_uhigh_mlow,educational_credentials,0.7526530612244898,1225
irrel_uhigh_mlow,institutional_affiliation,0.7485714285714286,1225
irrel_uhigh_mlow,job_title,0.7314285714285714,1225
irrel_uhigh_mlow,subscription_tier,0.7338775510204082,1225
irrel_ulow_mhigh,educational_credentials,0.7436734693877551,1225
irrel_ulow_mhigh,institutional_affiliation,0.7575510204081632,1225
irrel_ulow_mhigh,job_title,0.7681632653061224,1225
irrel_ulow_mhigh,subscription_tier,0.7640816326530612,1225
irrel_ulow_mlow,educational_credentials,0.746938775510204,1225
irrel_ulow_mlow,institutional_affiliation,0.7069387755102041,1225
irrel_ulow_mlow,job_title,0.6938775510204082,1225
irrel_ulow_mlow,subscription_tier,0.76,1225
