category,block,estimate,se,ci_lo,ci_hi,p
Animal,domain,0.014583333333333393,0.008505053731690889,-0.0019607843137254832,0.0311111111111112,0.10447388152961759
Animal,irrel,0.014583333333333282,0.007652884196723177,0.0,0.03055555555555556,0.0519870032491877
Chemical,domain,-0.006451612903225823,0.004224687469104288,-0.015625,0.0,0.26193451637090726
Chemical,irrel,0.012096774193548376,0.006278639399798965,0.0,0.02499999999999991,0.06198450387403149
Child,domain,0.007407407407407418,0.02095571861876499,-0.03137254901960784,0.05128205128205121,0.7633091727068233
Child,irrel,0.030555555555555447,0.009611602815190273,0.012875445632798523,0.050595238095238027,0.000999750062484379
Cybersecurity,domain,0.019230769230769273,0.01634027062217342,-0.008000000000000007,0.054181547619047705,0.28142964258935266
Cybersecurity,irrel,0.029807692307692424,0.014124740749961623,0.004347826086956497,0.05961805555555557,0.022994251437140716
DrugMedicine,domain,-0.0039999999999998925,0.011226281588850869,-0.028301886792452824,0.015384615384615333,0.8147963009247688
DrugMedicine,irrel,0.007000000000000006,0.005650977544889376,-0.003703703703703545,0.018535406403940885,0.20194951262184455
Outdoor,domain,0.021874999999999978,0.02191938126410931,-0.02121212121212113,0.06666666666666665,0.35241189702574355
Outdoor,irrel,0.0,0.009003679088878652,-0.017309782608695697,0.018270833333333274,0.9992501874531368
Senior,domain,0.0,0.0,0.0,0.0,1.0
Senior,irrel,0.050000000000000044,0.03779075089604669,0.0,0.09999999999999998,0.5334879675268194
