model,condition,rate,se,ci_lo,ci_hi,n
qwen3-8b-base,control,0.5836734693877551,0.03459885764340233,0.5165289256198347,0.6514569587102919,245
qwen3-8b-base,domain_uhigh_mhigh,0.6073469387755102,0.026951091214511388,0.5539078822412156,0.6574929607970544,1225
qwen3-8b-base,domain_uhigh_mlow,0.5542857142857143,0.02285248920056079,0.5077535321821036,0.5975311171827565,1225
qwen3-8b-base,domain_ulow_mhigh,0.6383673469387755,0.02341625749612435,0.5909289370671484,0.681928698400158,1225
qwen3-8b-base,domain_ulow_mlow,0.5975510204081632,0.02150221804971108,0.5556451612903226,0.639344262295082,1225
qwen3-8b-base,irrel_uhigh_mhigh,0.576734693877551,0.02116266335684931,0.5342715053763442,0.6168033269148481,4900
qwen3-8b-base,irrel_uhigh_mlow,0.5330612244897959,0.02115343912556297,0.49149624060150376,0.575,4900
qwen3-8b-base,irrel_ulow_mhigh,0.5736734693877551,0.02195367295259848,0.529712156803945,0.6160495709123758,4900
qwen3-8b-base,irrel_ulow_mlow,0.523469387755102,0.022411804718717208,0.47871824617260533,0.5671444476576056,4900
qwen3-8b-nothink,control,0.7918367346938775,0.029732204274240167,0.7327935222672065,0.8489795918367347,245
qwen3-8b-nothink,domain_uhigh_mhigh,0.8146938775510204,0.025821249715283028,0.7627492511767223,0.8642328298806001,1225
qwen3-8b-nothink,domain_uhigh_mlow,0.7820408163265307,0.026671976961361348,0.7266108459512837,0.833195020746888,1225
qwen3-8b-nothink,domain_ulow_mhigh,0.8293877551020408,0.024221452481070015,0.7812225660756106,0.8748996913580247,1225
qwen3-8b-nothink,domain_ulow_mlow,0.796734693877551,0.025377914066217987,0.7466067437566807,0.8445389388104407,1225
qwen3-8b-nothink,irrel_uhigh_mhigh,0.7497959183673469,0.02624999033942943,0.6981705450472871,0.8006177416823603,4900
qwen3-8b-nothink,irrel_uhigh_mlow,0.7416326530612245,0.026113100317665675,0.6903206136900079,0.7912874155066256,4900
qwen3-8b-nothink,irrel_ulow_mhigh,0.7583673469387755,0.025824290622671654,0.7064757894736842,0.8078200293707686,4900
qwen3-8b-nothink,irrel_ulow_mlow,0.726938775510204,0.027112483172985948,0.6735884228297928,0.7780078313253013,4900
qwen3-8b-think,control,0.8612244897959184,0.027138866918129754,0.8057821962726269,0.9109311740890689,245
qwen3-8b-think,domain_uhigh_mhigh,0.8889795918367347,0.021645494433955064,0.8440816326530612,0.9279368421052632,1225
qwen3-8b-think,domain_uhigh_mlow,0.8816326530612245,0.020589106200676936,0.8375458548564655,0.9190361706735977,1225
qwen3-8b-think,domain_ulow_mhigh,0.9004081632653061,0.019878160238306106,0.8591093117408907,0.9370979262672812,1225
qwen3-8b-think,domain_ulow_mlow,0.8922448979591837,0.01837241267634496,0.8544715447154472,0.926530612244898,1225
qwen3-8b-think,irrel_uhigh_mhigh,0.8485714285714285,0.023003663091852297,0.8012392899308484,0.8908214285714287,4900
qwen3-8b-think,irrel_uhigh_mlow,0.8348979591836735,0.024003532753398477,0.7857423227941429,0.8789476425438596,4900
qwen3-8b-think,irrel_ulow_mhigh,0.8575510204081632,0.02199643662541468,0.8120443669840652,0.8983273845102895,4900
qwen3-8b-think,irrel_ulow_mlow,0.8381632653061224,0.02354300155383021,0.7893859241277156,0.8812251275510204,4900
