model,dimension,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,educational_credentials,irrel,user (high-low),-0.00897959183673458,0.010689565957329564,-0.029557659392383417,0.011522633744855963,0.4123969007748063
qwen3-8b-base,educational_credentials,irrel,model (high-low),0.013877551020408108,0.012523119687680386,-0.010123523093447944,0.03843054672600128,0.2809297675581105
qwen3-8b-base,educational_credentials,irrel,interaction,-0.048979591836734726,0.02587423000361227,-0.09999999999999998,0.0008097165991902688,0.05398650337415646
qwen3-8b-base,institutional_affiliation,irrel,user (high-low),0.025306122448979562,0.011415885475556331,0.0036877748900439353,0.04754148340663742,0.023494126468382906
qwen3-8b-base,institutional_affiliation,irrel,model (high-low),0.07510204081632654,0.013482272899495173,0.048970762952631815,0.1016261821801892,0.0004998750312421895
qwen3-8b-base,institutional_affiliation,irrel,interaction,0.024489795918367363,0.021326197293567106,-0.017009275237273535,0.067755439365829,0.23394151462134466
qwen3-8b-base,job_title,irrel,user (high-low),0.03020408163265309,0.011026578965320747,0.0092741935483871,0.05243902439024384,0.003999000249937516
qwen3-8b-base,job_title,irrel,model (high-low),0.10122448979591836,0.011772940254551374,0.07758672535152111,0.12428259560373377,0.0004998750312421895
qwen3-8b-base,job_title,irrel,interaction,-0.03428571428571442,0.020562687415598874,-0.07428571428571418,0.005858355894659103,0.10647338165458635
qwen3-8b-base,subscription_tier,irrel,user (high-low),-0.0212244897959184,0.010847248830368954,-0.04210526315789476,1.0121457489917958e-05,0.05398650337415646
qwen3-8b-base,subscription_tier,irrel,model (high-low),-0.002448979591836764,0.010173230539545596,-0.022641671726371236,0.016736408497825452,0.8077980504873782
qwen3-8b-base,subscription_tier,irrel,interaction,0.03265306122448974,0.02058923554233906,-0.006585728190154144,0.07325443050577464,0.10347413146713322
qwen3-8b-nothink,educational_credentials,irrel,user (high-low),-0.004489795918367401,0.008360971331465673,-0.02073170731707319,0.012083333333333446,0.6033491627093227
qwen3-8b-nothink,educational_credentials,irrel,model (high-low),-0.013469387755102091,0.010196584232228195,-0.03333333333333344,0.0061728395061727585,0.19495126218445388
qwen3-8b-nothink,educational_credentials,irrel,interaction,-0.020408163265306256,0.014746362341896312,-0.04959349593495932,0.008196721311475308,0.17345663584103974
qwen3-8b-nothink,institutional_affiliation,irrel,user (high-low),0.02693877551020407,0.008618391723293524,0.010415586099585029,0.043805401892828603,0.0014996250937265683
qwen3-8b-nothink,institutional_affiliation,irrel,model (high-low),0.03591836734693876,0.009420914464630807,0.01721135831381723,0.0541322314049586,0.000999750062484379
qwen3-8b-nothink,institutional_affiliation,irrel,interaction,-0.029387755102040725,0.01543309824631398,-0.06040816326530618,2.0000000000178804e-05,0.05298675331167208
qwen3-8b-nothink,job_title,irrel,user (high-low),0.011428571428571455,0.009450645754326352,-0.0069105691056911,0.02967672848216096,0.25443639090227443
qwen3-8b-nothink,job_title,irrel,model (high-low),0.04816326530612247,0.009432979329876018,0.02999898785425104,0.06680166091458155,0.0004998750312421895
qwen3-8b-nothink,job_title,irrel,interaction,-0.052244897959183634,0.017097212125045714,-0.08653061224489789,-0.01951022020341662,0.000999750062484379
qwen3-8b-nothink,subscription_tier,irrel,user (high-low),-0.021632653061224527,0.007861914953495747,-0.03760451868705455,-0.0069098696553767545,0.003999000249937516
qwen3-8b-nothink,subscription_tier,irrel,model (high-low),0.008571428571428452,0.009065460474984039,-0.009016393442622839,0.026943443774270846,0.34791302174456384
qwen3-8b-nothink,subscription_tier,irrel,interaction,0.00897959183673469,0.015025226258473797,-0.021401387613508793,0.03805962000436787,0.5723569107723069
qwen3-8b-think,educational_credentials,irrel,user (high-low),-0.004897959183673417,0.006791236679440329,-0.018292682926829285,0.008230452674897193,0.48637840539865035
qwen3-8b-think,educational_credentials,irrel,model (high-low),0.0,0.006825313584289089,-0.0133333333333332,0.013710685483870937,1.0
qwen3-8b-think,educational_credentials,irrel,interaction,-0.0065306122448980375,0.011433864675132363,-0.028806584362139898,0.01551020408163262,0.5848537865533616
qwen3-8b-think,institutional_affiliation,irrel,user (high-low),-0.004081632653061273,0.007346673157775061,-0.019008264462809902,0.009837077514673243,0.5853536615846039
qwen3-8b-think,institutional_affiliation,irrel,model (high-low),0.023673469387755053,0.006214961960200368,0.011474238875878085,0.035952462609161205,0.000999750062484379
qwen3-8b-think,institutional_affiliation,irrel,interaction,-0.031020408163265345,0.012147135109158137,-0.05574102342868518,-0.008163265306122436,0.007998000499875032
qwen3-8b-think,job_title,irrel,user (high-low),-0.01346938775510198,0.008437391319258298,-0.030292304332487672,0.002439273270283727,0.11247188202949263
qwen3-8b-think,job_title,irrel,model (high-low),0.028163265306122565,0.008088034346726405,0.013414634146341364,0.04467213114754087,0.0004998750312421895
qwen3-8b-think,job_title,irrel,interaction,0.002448979591836764,0.013184482119505462,-0.023579641612742643,0.027755102040816326,0.870782304423894
qwen3-8b-think,subscription_tier,irrel,user (high-low),-0.0020408163265306367,0.006252727372317992,-0.014406113102349651,0.010122486093282135,0.7833041739565109
qwen3-8b-think,subscription_tier,irrel,model (high-low),0.014285714285714235,0.0062786164156160415,0.002057402347702833,0.026506638800098393,0.021994501374656337
qwen3-8b-think,subscription_tier,irrel,interaction,0.012244897959183598,0.012735941639750179,-0.013061224489795858,0.03673469387755102,0.3369157710572357
