model,prompt_type,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,domain,user (high-low),-0.02025316455696191,0.021445274525012176,-0.06125000000000003,0.021256724683544424,0.3649087728067983
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,domain,model (high-low),0.015189873417721378,0.02135995733261465,-0.02749999999999986,0.05625000000000002,0.5083729067733067
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,domain,interaction,0.005063291139240533,0.054050597566183925,-0.10136250000000004,0.10999999999999999,0.9252686828292926
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,irrel,user (high-low),0.02183544303797469,0.01068765442513894,0.0016880778805121541,0.043441501524390275,0.02949262684328918
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,irrel,model (high-low),0.0534810126582278,0.010623778688388645,0.03333069620253164,0.07467948717948714,0.0004998750312421895
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,irrel,interaction,0.009493670886075889,0.023172940491394557,-0.03653963414634145,0.054545454545454564,0.6608347913021745
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,user (high-low),-0.054878048780487854,0.02164648362454749,-0.09878048780487814,-0.013414634146341475,0.013496625843539115
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,model (high-low),0.0817073170731708,0.02135129616489059,0.039024390243902474,0.12262319168173601,0.000999750062484379
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,interaction,0.017073170731707388,0.039309025590208914,-0.05853658536585371,0.09382716049382706,0.6218445388652837
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,user (high-low),-0.015548780487804836,0.010671030541186285,-0.037353162650602394,0.005357142857142894,0.15096225943514122
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,model (high-low),0.029573170731707343,0.009919383233723456,0.010415396341463379,0.04910714285714285,0.0049987503124218945
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,interaction,-0.0030487804878048252,0.018736660705265175,-0.03929122574955911,0.03373531626506023,0.8577855536115971
qwen3-8b-base,YES_NO_PROMPT,domain,user (high-low),-0.0357142857142857,0.02303128151497114,-0.0797619047619047,0.010714285714285676,0.13146713321669581
qwen3-8b-base,YES_NO_PROMPT,domain,model (high-low),0.04285714285714293,0.01806261344353025,0.005952380952381042,0.07738095238095233,0.020994751312171957
qwen3-8b-base,YES_NO_PROMPT,domain,interaction,0.014285714285714235,0.04359995760798694,-0.06910714285714292,0.10000000000000009,0.7788052986753312
qwen3-8b-base,YES_NO_PROMPT,irrel,user (high-low),0.01309523809523816,0.011303792666572063,-0.00893601190476198,0.03571428571428581,0.23394151462134466
qwen3-8b-base,YES_NO_PROMPT,irrel,model (high-low),0.057738095238095366,0.011576946483709669,0.0357142857142857,0.08065476190476173,0.0004998750312421895
qwen3-8b-base,YES_NO_PROMPT,irrel,interaction,-0.025000000000000022,0.018192522312166125,-0.059523809523809534,0.010714285714285676,0.1759560109972507
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,domain,user (high-low),-0.015189873417721489,0.012181165825167787,-0.03875000000000006,0.00909090909090915,0.23444138965258685
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,domain,model (high-low),0.03544303797468351,0.014743761452595596,0.008523170731707328,0.0658227848101266,0.010497375656085979
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,domain,interaction,0.020253164556962022,0.020943120455896566,-0.01975925925925921,0.060975609756097615,0.36240939765058733
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,irrel,user (high-low),-0.0028481012658228,0.007792200762629687,-0.018354430379746826,0.011585365853658547,0.7403149212696826
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,irrel,model (high-low),0.0022151898734177333,0.00784314837314307,-0.012987012987012991,0.018269230769230815,0.8052986753311672
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,irrel,interaction,-0.025949367088607733,0.014918464134865647,-0.056964256734826434,0.0006495642515378549,0.06498375406148463
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,user (high-low),-0.0060975609756097615,0.014158555749989601,-0.03536585365853662,0.02023809523809517,0.6818295426143464
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,model (high-low),0.03292682926829271,0.014854617245074718,0.0037037037037036535,0.06190476190476191,0.024493876530867282
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,interaction,-0.02195121951219514,0.020271428251187627,-0.060975609756097615,0.017078440228846768,0.3084228942764309
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,user (high-low),0.0012195121951219523,0.011009614656626709,-0.02031535823170727,0.02259036144578319,0.9467633091727068
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,model (high-low),0.029268292682926744,0.00795330130892527,0.013748511904761946,0.04481707317073158,0.0014996250937265683
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,interaction,-0.01585365853658527,0.01475804768239288,-0.0456803297199638,0.012650602409638449,0.28242939265183703
qwen3-8b-nothink,YES_NO_PROMPT,domain,user (high-low),-0.02261904761904776,0.014880070813025713,-0.05238095238095242,0.005952380952381042,0.13146713321669581
qwen3-8b-nothink,YES_NO_PROMPT,domain,model (high-low),0.029761904761904878,0.013527647136519794,0.0035714285714285587,0.055952380952380976,0.0284928767808048
qwen3-8b-nothink,YES_NO_PROMPT,domain,interaction,0.0023809523809523725,0.02239643819997393,-0.042857142857142816,0.04523809523809519,0.9357660584853786
qwen3-8b-nothink,YES_NO_PROMPT,irrel,user (high-low),0.010416666666666519,0.008386547785450138,-0.005952380952380934,0.026488095238095255,0.22394401399650088
qwen3-8b-nothink,YES_NO_PROMPT,irrel,model (high-low),0.027083333333333348,0.009784871406358853,0.007738095238095211,0.04613839285714294,0.005498625343664084
qwen3-8b-nothink,YES_NO_PROMPT,irrel,interaction,-0.027976190476190377,0.0135617491809481,-0.05535714285714277,-0.0023809523809523725,0.03599100224943764
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,domain,user (high-low),-0.0075949367088608,0.012632787466205074,-0.0329268292682926,0.01600123456790125,0.5668582854286428
