model,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,domain,user (high-low),-0.037142857142857144,0.011093699149845293,-0.058467741935483986,-0.014752592840414885,0.000999750062484379
qwen3-8b-base,domain,model (high-low),0.04693877551020398,0.012496718444330134,0.022038576406172267,0.07085020242914974,0.000999750062484379
qwen3-8b-base,domain,interaction,0.012244897959183598,0.024331805733151496,-0.0346774193548387,0.060002057613168784,0.6288427893026743
qwen3-8b-base,irrel,user (high-low),0.006326530612244974,0.006517301584853518,-0.006199819561971153,0.019434920288272536,0.3309172706823294
qwen3-8b-base,irrel,model (high-low),0.0469387755102042,0.006807048492185896,0.03436213991769543,0.060685836486127694,0.0004998750312421895
qwen3-8b-base,irrel,interaction,-0.0065306122448979265,0.011586349762690837,-0.02937651209677423,0.016328203412512524,0.590852286928268
qwen3-8b-nothink,domain,user (high-low),-0.014693877551020362,0.008296251555443371,-0.03166768292682923,0.0016195977749252,0.07898025493626594
qwen3-8b-nothink,domain,model (high-low),0.03265306122448974,0.008445697217870621,0.01673299319727889,0.04959349593495932,0.0004998750312421895
qwen3-8b-nothink,domain,interaction,0.0,0.01148492986148733,-0.02186456996148903,0.022857142857142798,1.0
qwen3-8b-nothink,irrel,user (high-low),0.003061224489796066,0.005034765129356643,-0.007070055833941804,0.012651852846401686,0.5578605348662834
qwen3-8b-nothink,irrel,model (high-low),0.019795918367347065,0.005008953776916349,0.010060475809676084,0.0297198307399639,0.000999750062484379
qwen3-8b-nothink,irrel,interaction,-0.023265306122449037,0.008571099290153419,-0.04040913804546213,-0.007406648451730427,0.004498875281179705
qwen3-8b-think,domain,user (high-low),-0.011020408163265438,0.0075096236558486245,-0.026859504132231374,0.0028571428571428914,0.13396650837290677
qwen3-8b-think,domain,model (high-low),0.0077551020408164195,0.006204677736046204,-0.004065455450472946,0.02024291497975695,0.22544363909022744
qwen3-8b-think,domain,interaction,-0.0008163265306122547,0.010909394794797042,-0.022314049586776852,0.0208020883534137,0.9597600599850038
qwen3-8b-think,irrel,user (high-low),-0.00612244897959191,0.004039291063683649,-0.014167790456431528,0.001836922883907683,0.1279680079980005
qwen3-8b-think,irrel,model (high-low),0.016530612244898046,0.0036474863269326187,0.009716184210526255,0.023979695536751295,0.0004998750312421895
qwen3-8b-think,irrel,interaction,-0.005714285714285783,0.006762094539037965,-0.018979591836734703,0.007631291294209036,0.4008997750562359
