model,block,effect,estimate,ci_lo,ci_hi,p
qwen3-8b-think,domain,user (high-low),-0.011020408163265438,-0.0270169553146483,0.003292181069958877,0.1525
qwen3-8b-think,domain,model (high-low),0.0077551020408164195,-0.004472000995520089,0.020410007376444585,0.2375
qwen3-8b-think,domain,interaction,-0.0008163265306122547,-0.02240663900414941,0.02041025426564082,0.9715
qwen3-8b-think,irrel,user (high-low),-0.00612244897959191,-0.014242901053864264,0.0019558641975309056,0.149
qwen3-8b-think,irrel,model (high-low),0.016530612244898046,0.009733181373199645,0.023971298826148495,0.0
qwen3-8b-think,irrel,interaction,-0.005714285714285783,-0.01918680520988884,0.00789473684210518,0.385
qwen3-8b-nothink,domain,user (high-low),-0.014693877551020362,-0.031020408163265234,0.001224489795918382,0.0785
qwen3-8b-nothink,domain,model (high-low),0.03265306122448974,0.016528925619834874,0.04916683884297523,0.0
qwen3-8b-nothink,domain,interaction,0.0,-0.022953180867570713,0.022228915662650655,0.9975
qwen3-8b-nothink,irrel,user (high-low),0.003061224489796066,-0.006808943089430919,0.012650632895956405,0.5405
qwen3-8b-nothink,irrel,model (high-low),0.019795918367347065,0.01004098360655747,0.030021405554055764,0.0
qwen3-8b-nothink,irrel,interaction,-0.023265306122449037,-0.040876912997463405,-0.0072313427262770125,0.004
qwen3-8b-base,domain,user (high-low),-0.037142857142857144,-0.057960821365583295,-0.01618123410520674,0.0005
qwen3-8b-base,domain,model (high-low),0.04693877551020398,0.022763303769401277,0.07154471544715446,0.0
qwen3-8b-base,domain,interaction,0.012244897959183598,-0.03666836734693884,0.06210173188789005,0.6315
qwen3-8b-base,irrel,user (high-low),0.006326530612244974,-0.006562911184210552,0.019112176053463912,0.3495
qwen3-8b-base,irrel,model (high-low),0.0469387755102042,0.033606474414282786,0.06,0.0
qwen3-8b-base,irrel,interaction,-0.0065306122448979265,-0.030626651422764346,0.015794534412955422,0.594
