model,condition,delta_vs_control,ci_lo,ci_hi,p,p_holm
qwen3-8b-think,domain_uhigh_mhigh,0.027755102040816326,-0.01306256273001008,0.06829268292682933,0.1905,0.8775
qwen3-8b-think,domain_uhigh_mlow,0.020408163265306145,-0.01619433198380571,0.056916376306620206,0.2875,0.8775
qwen3-8b-think,domain_ulow_mhigh,0.03918367346938778,0.0008229609390811105,0.08032786885245902,0.0465,0.372
qwen3-8b-think,domain_ulow_mlow,0.031020408163265345,-0.0024103732001176156,0.06666666666666665,0.0735,0.5145
qwen3-8b-think,irrel_uhigh_mhigh,-0.012653061224489837,-0.04587170199522811,0.021194956765132163,0.445,0.89
qwen3-8b-think,irrel_uhigh_mlow,-0.02632653061224488,-0.05930142718244321,0.008025686977299832,0.1205,0.723
qwen3-8b-think,irrel_ulow_mhigh,-0.003673469387755146,-0.03491890708431118,0.028572163433274556,0.8225,0.89
qwen3-8b-think,irrel_ulow_mlow,-0.023061224489795973,-0.05635245901639341,0.01102100237685438,0.1755,0.8775
qwen3-8b-nothink,domain_uhigh_mhigh,0.02285714285714291,-0.017142857142857126,0.06204081632653058,0.277,0.8310000000000001
qwen3-8b-nothink,domain_uhigh_mlow,-0.009795918367346834,-0.04774320987654319,0.02753248183219562,0.6135,1.0
qwen3-8b-nothink,domain_ulow_mhigh,0.03755102040816327,0.004858299595141724,0.07206643658326148,0.0255,0.1275
qwen3-8b-nothink,domain_ulow_mlow,0.004897959183673528,-0.03089430894308942,0.04016736401673637,0.8255,1.0
qwen3-8b-nothink,irrel_uhigh_mhigh,-0.04204081632653056,-0.07751281335017488,-0.007201646090534974,0.018,0.10799999999999998
qwen3-8b-nothink,irrel_uhigh_mlow,-0.050204081632653,-0.07972487055660663,-0.020361960726462118,0.0025,0.0175
qwen3-8b-nothink,irrel_ulow_mhigh,-0.033469387755102,-0.06467094321182405,-0.0026746230520137432,0.0355,0.142
qwen3-8b-nothink,irrel_ulow_mlow,-0.06489795918367347,-0.09879032258064513,-0.03155737704918038,0.0005,0.004
qwen3-8b-base,domain_uhigh_mhigh,0.023673469387755053,-0.03467825246600906,0.08502024291497978,0.4785,1.0
qwen3-8b-base,domain_uhigh_mlow,-0.029387755102040836,-0.08988257496330472,0.03210208142026326,0.348,1.0
qwen3-8b-base,domain_ulow_mhigh,0.0546938775510204,-0.004838709677419395,0.1166060212259043,0.0765,0.5355
qwen3-8b-base,domain_ulow_mlow,0.013877551020408108,-0.04777327935222664,0.07737087427563623,0.698,1.0
qwen3-8b-base,irrel_uhigh_mhigh,-0.006938775510204054,-0.06012257043022491,0.04813354221356587,0.797,1.0
qwen3-8b-base,irrel_uhigh_mlow,-0.050612244897959235,-0.10493283706925395,0.005921617840684743,0.078,0.5355
qwen3-8b-base,irrel_ulow_mhigh,-0.010000000000000009,-0.0651832900151614,0.04939028417558592,0.7335,1.0
qwen3-8b-base,irrel_ulow_mlow,-0.06020408163265312,-0.11633733804865151,-0.0034693877551020824,0.037,0.296
