model,condition,se,ci_lo,ci_hi,n_facts
qwen3-8b-think,control,0.03815883141524069,0.7738095238095238,0.9285714285714286,84
qwen3-8b-think,domain_uhigh_mhigh,0.044322993565072535,0.7023809523809523,0.8690476190476191,84
qwen3-8b-think,domain_uhigh_mlow,0.047422968518456926,0.6666666666666666,0.8452380952380952,84
qwen3-8b-think,domain_ulow_mhigh,0.043996407724136814,0.7023809523809523,0.8809523809523809,84
qwen3-8b-think,domain_ulow_mlow,0.04683843943861109,0.6666666666666666,0.8452380952380952,84
qwen3-8b-think,irrel_uhigh_mhigh,0.05260337399656308,0.5119047619047619,0.7261904761904762,84
qwen3-8b-think,irrel_uhigh_mlow,0.05403194380339437,0.5119047619047619,0.7261904761904762,84
qwen3-8b-think,irrel_ulow_mhigh,0.0525583559396679,0.5238095238095238,0.7261904761904762,84
qwen3-8b-think,irrel_ulow_mlow,0.05099917607454641,0.5833333333333334,0.7738095238095238,84
qwen3-8b-nothink,control,0.04411690340120133,0.7142857142857143,0.8809523809523809,84
qwen3-8b-nothink,domain_uhigh_mhigh,0.04608310661777987,0.6666666666666666,0.8452380952380952,84
qwen3-8b-nothink,domain_uhigh_mlow,0.0548535887077019,0.39285714285714285,0.6071428571428571,84
qwen3-8b-nothink,domain_ulow_mhigh,0.052517738487851594,0.5357142857142857,0.75,84
qwen3-8b-nothink,domain_ulow_mlow,0.05216545397763279,0.5473214285714287,0.75,84
qwen3-8b-nothink,irrel_uhigh_mhigh,0.05355860298025285,0.36904761904761907,0.5714285714285714,84
qwen3-8b-nothink,irrel_uhigh_mlow,0.05432272838584679,0.3333333333333333,0.5476190476190477,84
qwen3-8b-nothink,irrel_ulow_mhigh,0.053940451785979095,0.36904761904761907,0.5833333333333334,84
qwen3-8b-nothink,irrel_ulow_mlow,0.053935326577230436,0.36904761904761907,0.5833333333333334,84
qwen3-8b-base,control,0.055246425327601156,0.38095238095238093,0.5952380952380952,84
qwen3-8b-base,domain_uhigh_mhigh,0.04191943655371242,0.09523809523809523,0.2619047619047619,84
qwen3-8b-base,domain_uhigh_mlow,0.043970198880543675,0.11904761904761904,0.2976190476190476,84
qwen3-8b-base,domain_ulow_mhigh,0.04987383772785259,0.21428571428571427,0.40476190476190477,84
qwen3-8b-base,domain_ulow_mlow,0.04678110886224553,0.16666666666666666,0.34523809523809523,84
qwen3-8b-base,irrel_uhigh_mhigh,0.026051347496262783,0.011904761904761904,0.11904761904761904,84
qwen3-8b-base,irrel_uhigh_mlow,0.01659602714142734,0.0,0.05952380952380952,84
qwen3-8b-base,irrel_ulow_mhigh,0.0282617843023801,0.023809523809523808,0.13095238095238096,84
qwen3-8b-base,irrel_ulow_mlow,0.02013649286384022,0.0,0.08333333333333333,84
