model,block,contrast,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,domain,power gradient,-0.04761904761904767,0.028795110609979205,-0.10476190476190483,0.0071428571428571175,0.09797550612346913
qwen3-8b-base,domain,matched - mismatched,-0.0035714285714285587,0.01928158586445764,-0.04166666666666663,0.0345238095238094,0.8662834291427143
qwen3-8b-base,irrel,power gradient,-0.0357142857142857,0.01217071533552182,-0.05894345238095239,-0.011904761904761862,0.0024993751562109472
qwen3-8b-base,irrel,matched - mismatched,-0.009821428571428426,0.009536094840002373,-0.028869047619047628,0.008928571428571508,0.32991752061984503
qwen3-8b-nothink,domain,power gradient,-0.050000000000000044,0.01886379007534842,-0.08809523809523812,-0.014285714285714235,0.007998000499875032
qwen3-8b-nothink,domain,matched - mismatched,0.0357142857142857,0.01430288087237691,0.008333333333333304,0.06428571428571428,0.010497375656085979
qwen3-8b-nothink,irrel,power gradient,-0.008928571428571397,0.011050658056711078,-0.03035714285714286,0.01309523809523816,0.40639840039990005
qwen3-8b-nothink,irrel,matched - mismatched,-0.01815476190476184,0.0074616162948107035,-0.033333333333333215,-0.004166666666666652,0.009997500624843789
qwen3-8b-think,domain,power gradient,-0.023809523809523836,0.013550927061969824,-0.05005952380952383,0.0,0.08197950512371907
qwen3-8b-think,domain,matched - mismatched,0.0011904761904761862,0.012110839369131403,-0.021428571428571574,0.026190476190476097,0.9702574356410897
qwen3-8b-think,irrel,power gradient,-0.0071428571428571175,0.008955774239267168,-0.02440476190476193,0.010714285714285676,0.45838540364908775
qwen3-8b-think,irrel,matched - mismatched,-0.0014880952380952328,0.003959020344090051,-0.008928571428571508,0.006250000000000089,0.7463134216445888
