condition,status_dimension,pass_rate,n
control,none,0.8571428571428571,84
domain_uhigh_mhigh,Animal,0.8875,80
domain_uhigh_mhigh,Chemical,1.0,55
domain_uhigh_mhigh,Child,0.7888888888888889,90
domain_uhigh_mhigh,Cybersecurity,0.9777777777777777,45
domain_uhigh_mhigh,Medicine,0.9529411764705882,85
domain_uhigh_mhigh,Outdoor Activities,0.8181818181818182,55
domain_uhigh_mhigh,Senior,1.0,10
domain_uhigh_mlow,Animal,0.925,80
domain_uhigh_mlow,Chemical,0.9818181818181818,55
domain_uhigh_mlow,Child,0.7888888888888889,90
domain_uhigh_mlow,Cybersecurity,0.9555555555555556,45
domain_uhigh_mlow,Medicine,0.9176470588235294,85
domain_uhigh_mlow,Outdoor Activities,0.6909090909090909,55
domain_uhigh_mlow,Senior,1.0,10
domain_ulow_mhigh,Animal,0.925,80
domain_ulow_mhigh,Chemical,1.0,55
domain_ulow_mhigh,Child,0.8,90
domain_ulow_mhigh,Cybersecurity,0.9555555555555556,45
domain_ulow_mhigh,Medicine,0.9647058823529412,85
domain_ulow_mhigh,Outdoor Activities,0.7636363636363637,55
domain_ulow_mhigh,Senior,1.0,10
domain_ulow_mlow,Animal,0.9,80
domain_ulow_mlow,Chemical,1.0,55
domain_ulow_mlow,Child,0.8,90
domain_ulow_mlow,Cybersecurity,0.8666666666666667,45
domain_ulow_mlow,Medicine,0.9411764705882353,85
domain_ulow_mlow,Outdoor Activities,0.7636363636363637,55
domain_ulow_mlow,Senior,1.0,10
irrel_uhigh_mhigh,educational_credentials,0.8547619047619047,420
irrel_uhigh_mhigh,institutional_affiliation,0.8690476190476191,420
irrel_uhigh_mhigh,job_title,0.8595238095238096,420
irrel_uhigh_mhigh,subscription_tier,0.8523809523809524,420
irrel_uhigh_mlow,educational_credentials,0.8452380952380952,420
irrel_uhigh_mlow,institutional_affiliation,0.8595238095238096,420
irrel_uhigh_mlow,job_title,0.85,420
irrel_uhigh_mlow,subscription_tier,0.8523809523809524,420
irrel_ulow_mhigh,educational_credentials,0.8547619047619047,420
irrel_ulow_mhigh,institutional_affiliation,0.8761904761904762,420
irrel_ulow_mhigh,job_title,0.861904761904762,420
irrel_ulow_mhigh,subscription_tier,0.8428571428571429,420
irrel_ulow_mlow,educational_credentials,0.8452380952380952,420
irrel_ulow_mlow,institutional_affiliation,0.8571428571428571,420
irrel_ulow_mlow,job_title,0.8428571428571429,420
irrel_ulow_mlow,subscription_tier,0.85,420
