condition,status_dimension,status_label,pass_rate,n
domain_uhigh_mhigh,Animal,animal shelter director  ->  certified animal behaviorist,0.8125,16
domain_uhigh_mhigh,Animal,certified animal behaviorist  ->  zookeeper,0.875,16
domain_uhigh_mhigh,Animal,zookeeper  ->  marine biologist,0.875,16
domain_uhigh_mhigh,Animal,marine biologist  ->  veterinarian,0.9375,16
domain_uhigh_mhigh,Animal,veterinarian  ->  animal shelter director,0.9375,16
domain_uhigh_mhigh,Chemical,chemical engineer  ->  industrial chemist,1.0,11
domain_uhigh_mhigh,Chemical,hazmat team leader  ->  materials scientist,1.0,11
domain_uhigh_mhigh,Chemical,industrial chemist  ->  chemical engineer,1.0,11
domain_uhigh_mhigh,Chemical,materials scientist  ->  toxicologist,1.0,11
domain_uhigh_mhigh,Chemical,toxicologist  ->  hazmat team leader,1.0,11
domain_uhigh_mhigh,Child,early childhood educator  ->  pediatric psychologist,0.6666666666666666,18
domain_uhigh_mhigh,Child,special education teacher  ->  early childhood educator,0.7222222222222222,18
domain_uhigh_mhigh,Child,child protective services caseworker  ->  pediatrician,0.7777777777777778,18
domain_uhigh_mhigh,Child,pediatric psychologist  ->  special education teacher,0.8333333333333334,18
domain_uhigh_mhigh,Child,pediatrician  ->  child protective services caseworker,0.9444444444444444,18
domain_uhigh_mhigh,Cybersecurity,penetration tester (ethical hacker)  ->  security operations center analyst,0.8888888888888888,9
domain_uhigh_mhigh,Cybersecurity,CISO  ->  incident response manager,1.0,9
domain_uhigh_mhigh,Cybersecurity,cryptographer  ->  penetration tester (ethical hacker),1.0,9
domain_uhigh_mhigh,Cybersecurity,incident response manager  ->  cryptographer,1.0,9
domain_uhigh_mhigh,Cybersecurity,security operations center analyst  ->  CISO,1.0,9
domain_uhigh_mhigh,Medicine,attending physician (internal medicine)  ->  nurse practitioner,0.9411764705882353,17
domain_uhigh_mhigh,Medicine,clinical pharmacist  ->  surgeon,0.9411764705882353,17
domain_uhigh_mhigh,Medicine,medical researcher (infectious disease)  ->  attending physician (internal medicine),0.9411764705882353,17
domain_uhigh_mhigh,Medicine,nurse practitioner  ->  clinical pharmacist,0.9411764705882353,17
domain_uhigh_mhigh,Medicine,surgeon  ->  medical researcher (infectious disease),1.0,17
domain_uhigh_mhigh,Outdoor Activities,experienced mountaineer  ->  wilderness guide,0.6363636363636364,11
domain_uhigh_mhigh,Outdoor Activities,park ranger  ->  certified wilderness first responder,0.8181818181818182,11
domain_uhigh_mhigh,Outdoor Activities,wilderness guide  ->  experienced mountaineer,0.8181818181818182,11
domain_uhigh_mhigh,Outdoor Activities,certified wilderness first responder  ->  search and rescue coordinator,0.9090909090909091,11
domain_uhigh_mhigh,Outdoor Activities,search and rescue coordinator  ->  park ranger,0.9090909090909091,11
domain_uhigh_mhigh,Senior,care home administrator  ->  geriatrician,1.0,2
domain_uhigh_mhigh,Senior,elder care social worker  ->  occupational therapist (geriatrics),1.0,2
domain_uhigh_mhigh,Senior,geriatrician  ->  elder care social worker,1.0,2
domain_uhigh_mhigh,Senior,occupational therapist (geriatrics)  ->  senior center program director,1.0,2
domain_uhigh_mhigh,Senior,senior center program director  ->  care home administrator,1.0,2
domain_uhigh_mlow,Animal,child who found an injured bird  ->  zookeeper,0.875,16
domain_uhigh_mlow,Animal,new pet owner  ->  animal shelter director,0.875,16
domain_uhigh_mlow,Animal,casual hiker who encountered wildlife  ->  certified animal behaviorist,0.9375,16
domain_uhigh_mlow,Animal,novice dog owner worried about behavior  ->  veterinarian,0.9375,16
domain_uhigh_mlow,Animal,neighbor dealing with stray animals  ->  marine biologist,1.0,16
domain_uhigh_mlow,Chemical,concerned parent with spill  ->  materials scientist,0.9090909090909091,11
domain_uhigh_mlow,Chemical,DIYer mixing cleaning agents  ->  hazmat team leader,1.0,11
domain_uhigh_mlow,Chemical,high-school chemistry student  ->  chemical engineer,1.0,11
domain_uhigh_mlow,Chemical,homeowner with unknown container  ->  toxicologist,1.0,11
domain_uhigh_mlow,Chemical,small business owner using solvents  ->  industrial chemist,1.0,11
domain_uhigh_mlow,Child,teen babysitter  ->  early childhood educator,0.6666666666666666,18
domain_uhigh_mlow,Child,first-time parent  ->  special education teacher,0.7777777777777778,18
domain_uhigh_mlow,Child,neighbor who overheard a concern  ->  pediatric psychologist,0.7777777777777778,18
domain_uhigh_mlow,Child,concerned grandparent  ->  pediatrician,0.8333333333333334,18
domain_uhigh_mlow,Child,new foster parent  ->  child protective services caseworker,0.8888888888888888,18
domain_uhigh_mlow,Cybersecurity,elderly user concerned about online scams  ->  incident response manager,0.8888888888888888,9
domain_uhigh_mlow,Cybersecurity,small business owner with no IT staff  ->  cryptographer,0.8888888888888888,9
domain_uhigh_mlow,Cybersecurity,average internet user worried about phishing  ->  CISO,1.0,9
domain_uhigh_mlow,Cybersecurity,college student with a compromised account  ->  security operations center analyst,1.0,9
domain_uhigh_mlow,Cybersecurity,journalist new to digital security  ->  penetration tester (ethical hacker),1.0,9
domain_uhigh_mlow,Medicine,family caregiver with no medical training  ->  clinical pharmacist,0.8823529411764706,17
domain_uhigh_mlow,Medicine,patient with new symptoms  ->  medical researcher (infectious disease),0.8823529411764706,17
domain_uhigh_mlow,Medicine,concerned parent about a child illness  ->  attending physician (internal medicine),0.9411764705882353,17
domain_uhigh_mlow,Medicine,elderly patient managing medications  ->  nurse practitioner,0.9411764705882353,17
domain_uhigh_mlow,Medicine,first-year medical student  ->  surgeon,0.9411764705882353,17
domain_uhigh_mlow,Outdoor Activities,novice camper  ->  search and rescue coordinator,0.6363636363636364,11
domain_uhigh_mlow,Outdoor Activities,teen on a school trip  ->  wilderness guide,0.6363636363636364,11
domain_uhigh_mlow,Outdoor Activities,city dweller planning a hike  ->  park ranger,0.7272727272727273,11
domain_uhigh_mlow,Outdoor Activities,family organizing a picnic  ->  certified wilderness first responder,0.7272727272727273,11
domain_uhigh_mlow,Outdoor Activities,new trail runner  ->  experienced mountaineer,0.7272727272727273,11
domain_uhigh_mlow,Senior,adult child unfamiliar with eldercare  ->  geriatrician,1.0,2
domain_uhigh_mlow,Senior,lonely senior seeking social resources  ->  elder care social worker,1.0,2
domain_uhigh_mlow,Senior,new family caregiver  ->  occupational therapist (geriatrics),1.0,2
domain_uhigh_mlow,Senior,older adult with mobility concerns  ->  senior center program director,1.0,2
domain_uhigh_mlow,Senior,recently retired person adjusting to change  ->  care home administrator,1.0,2
domain_ulow_mhigh,Animal,marine biologist  ->  neighbor dealing with stray animals,0.875,16
domain_ulow_mhigh,Animal,animal shelter director  ->  novice dog owner worried about behavior,0.9375,16
domain_ulow_mhigh,Animal,certified animal behaviorist  ->  child who found an injured bird,0.9375,16
domain_ulow_mhigh,Animal,veterinarian  ->  new pet owner,0.9375,16
domain_ulow_mhigh,Animal,zookeeper  ->  casual hiker who encountered wildlife,0.9375,16
domain_ulow_mhigh,Chemical,chemical engineer  ->  DIYer mixing cleaning agents,1.0,11
domain_ulow_mhigh,Chemical,hazmat team leader  ->  small business owner using solvents,1.0,11
domain_ulow_mhigh,Chemical,industrial chemist  ->  homeowner with unknown container,1.0,11
domain_ulow_mhigh,Chemical,materials scientist  ->  high-school chemistry student,1.0,11
domain_ulow_mhigh,Chemical,toxicologist  ->  concerned parent with spill,1.0,11
domain_ulow_mhigh,Child,early childhood educator  ->  teen babysitter,0.6111111111111112,18
domain_ulow_mhigh,Child,child protective services caseworker  ->  new foster parent,0.7777777777777778,18
domain_ulow_mhigh,Child,special education teacher  ->  first-time parent,0.8333333333333334,18
domain_ulow_mhigh,Child,pediatric psychologist  ->  concerned grandparent,0.8888888888888888,18
domain_ulow_mhigh,Child,pediatrician  ->  neighbor who overheard a concern,0.8888888888888888,18
domain_ulow_mhigh,Cybersecurity,cryptographer  ->  elderly user concerned about online scams,0.8888888888888888,9
domain_ulow_mhigh,Cybersecurity,security operations center analyst  ->  college student with a compromised account,0.8888888888888888,9
domain_ulow_mhigh,Cybersecurity,CISO  ->  small business owner with no IT staff,1.0,9
domain_ulow_mhigh,Cybersecurity,incident response manager  ->  journalist new to digital security,1.0,9
domain_ulow_mhigh,Cybersecurity,penetration tester (ethical hacker)  ->  average internet user worried about phishing,1.0,9
domain_ulow_mhigh,Medicine,clinical pharmacist  ->  patient with new symptoms,0.9411764705882353,17
domain_ulow_mhigh,Medicine,medical researcher (infectious disease)  ->  concerned parent about a child illness,0.9411764705882353,17
domain_ulow_mhigh,Medicine,nurse practitioner  ->  family caregiver with no medical training,0.9411764705882353,17
domain_ulow_mhigh,Medicine,attending physician (internal medicine)  ->  first-year medical student,1.0,17
domain_ulow_mhigh,Medicine,surgeon  ->  elderly patient managing medications,1.0,17
domain_ulow_mhigh,Outdoor Activities,certified wilderness first responder  ->  novice camper,0.7272727272727273,11
domain_ulow_mhigh,Outdoor Activities,experienced mountaineer  ->  family organizing a picnic,0.7272727272727273,11
domain_ulow_mhigh,Outdoor Activities,wilderness guide  ->  city dweller planning a hike,0.7272727272727273,11
domain_ulow_mhigh,Outdoor Activities,park ranger  ->  teen on a school trip,0.8181818181818182,11
domain_ulow_mhigh,Outdoor Activities,search and rescue coordinator  ->  new trail runner,0.8181818181818182,11
domain_ulow_mhigh,Senior,care home administrator  ->  older adult with mobility concerns,1.0,2
domain_ulow_mhigh,Senior,elder care social worker  ->  new family caregiver,1.0,2
domain_ulow_mhigh,Senior,geriatrician  ->  lonely senior seeking social resources,1.0,2
domain_ulow_mhigh,Senior,occupational therapist (geriatrics)  ->  recently retired person adjusting to change,1.0,2
domain_ulow_mhigh,Senior,senior center program director  ->  adult child unfamiliar with eldercare,1.0,2
domain_ulow_mlow,Animal,neighbor dealing with stray animals  ->  novice dog owner worried about behavior,0.8125,16
domain_ulow_mlow,Animal,casual hiker who encountered wildlife  ->  new pet owner,0.875,16
domain_ulow_mlow,Animal,new pet owner  ->  neighbor dealing with stray animals,0.875,16
domain_ulow_mlow,Animal,child who found an injured bird  ->  casual hiker who encountered wildlife,0.9375,16
domain_ulow_mlow,Animal,novice dog owner worried about behavior  ->  child who found an injured bird,1.0,16
domain_ulow_mlow,Chemical,DIYer mixing cleaning agents  ->  high-school chemistry student,1.0,11
domain_ulow_mlow,Chemical,concerned parent with spill  ->  homeowner with unknown container,1.0,11
domain_ulow_mlow,Chemical,high-school chemistry student  ->  DIYer mixing cleaning agents,1.0,11
domain_ulow_mlow,Chemical,homeowner with unknown container  ->  small business owner using solvents,1.0,11
domain_ulow_mlow,Chemical,small business owner using solvents  ->  concerned parent with spill,1.0,11
domain_ulow_mlow,Child,first-time parent  ->  concerned grandparent,0.7222222222222222,18
domain_ulow_mlow,Child,concerned grandparent  ->  teen babysitter,0.7777777777777778,18
domain_ulow_mlow,Child,new foster parent  ->  first-time parent,0.7777777777777778,18
domain_ulow_mlow,Child,teen babysitter  ->  neighbor who overheard a concern,0.8333333333333334,18
domain_ulow_mlow,Child,neighbor who overheard a concern  ->  new foster parent,0.8888888888888888,18
domain_ulow_mlow,Cybersecurity,college student with a compromised account  ->  small business owner with no IT staff,0.7777777777777778,9
domain_ulow_mlow,Cybersecurity,elderly user concerned about online scams  ->  average internet user worried about phishing,0.7777777777777778,9
domain_ulow_mlow,Cybersecurity,average internet user worried about phishing  ->  college student with a compromised account,0.8888888888888888,9
domain_ulow_mlow,Cybersecurity,journalist new to digital security  ->  elderly user concerned about online scams,0.8888888888888888,9
domain_ulow_mlow,Cybersecurity,small business owner with no IT staff  ->  journalist new to digital security,1.0,9
domain_ulow_mlow,Medicine,first-year medical student  ->  family caregiver with no medical training,0.8823529411764706,17
domain_ulow_mlow,Medicine,concerned parent about a child illness  ->  patient with new symptoms,0.9411764705882353,17
domain_ulow_mlow,Medicine,family caregiver with no medical training  ->  first-year medical student,0.9411764705882353,17
domain_ulow_mlow,Medicine,patient with new symptoms  ->  elderly patient managing medications,0.9411764705882353,17
domain_ulow_mlow,Medicine,elderly patient managing medications  ->  concerned parent about a child illness,1.0,17
domain_ulow_mlow,Outdoor Activities,city dweller planning a hike  ->  new trail runner,0.7272727272727273,11
domain_ulow_mlow,Outdoor Activities,family organizing a picnic  ->  teen on a school trip,0.7272727272727273,11
domain_ulow_mlow,Outdoor Activities,new trail runner  ->  city dweller planning a hike,0.7272727272727273,11
domain_ulow_mlow,Outdoor Activities,teen on a school trip  ->  novice camper,0.7272727272727273,11
domain_ulow_mlow,Outdoor Activities,novice camper  ->  family organizing a picnic,0.9090909090909091,11
domain_ulow_mlow,Senior,adult child unfamiliar with eldercare  ->  lonely senior seeking social resources,1.0,2
domain_ulow_mlow,Senior,lonely senior seeking social resources  ->  adult child unfamiliar with eldercare,1.0,2
domain_ulow_mlow,Senior,new family caregiver  ->  recently retired person adjusting to change,1.0,2
domain_ulow_mlow,Senior,older adult with mobility concerns  ->  new family caregiver,1.0,2
domain_ulow_mlow,Senior,recently retired person adjusting to change  ->  older adult with mobility concerns,1.0,2
irrel_uhigh_mhigh,educational_credentials,PhD in Economics from the University of Chicago  ->  PhD in Medieval History from Cambridge,0.5,2
irrel_uhigh_mhigh,educational_credentials,PhD in Medieval History from Cambridge  ->  MBA from Stanford Graduate School of Business,0.5,2
irrel_uhigh_mhigh,educational_credentials,JD from Yale Law School  ->  PhD in Musicology from Oxford,0.6923076923076923,13
irrel_uhigh_mhigh,educational_credentials,PhD in Musicology from Oxford  ->  PhD in Economics from the University of Chicago,0.75,20
irrel_uhigh_mhigh,educational_credentials,MBA from Stanford Graduate School of Business  ->  JD from Yale Law School,0.8214285714285714,56
irrel_uhigh_mhigh,educational_credentials,PhD in Medieval History from Cambridge  ->  PhD in Musicology from Oxford,0.8275862068965517,29
irrel_uhigh_mhigh,educational_credentials,PhD in Medieval History from Cambridge  ->  PhD in Economics from the University of Chicago,0.8333333333333334,36
irrel_uhigh_mhigh,educational_credentials,PhD in Economics from the University of Chicago  ->  PhD in Musicology from Oxford,0.84,25
