category,block,estimate,se,ci_lo,ci_hi,p
Animal,domain,-0.006250000000000089,0.011076546043064121,-0.028571428571428692,0.01538461538461533,0.7738065483629093
Animal,irrel,-0.014062500000000089,0.015660869591795558,-0.04584134615384621,0.015277777777777724,0.3829042739315171
Chemical,domain,0.009090909090909038,0.009098320217514264,0.0,0.030000000000000027,0.720319920019995
Chemical,irrel,0.0,0.0033998268628855437,-0.006818181818181834,0.006818181818181834,1.0
Child,domain,0.0,0.034121456145964055,-0.06470588235294117,0.0714285714285714,1.0
Child,irrel,0.03472222222222232,0.01609471418532852,0.006818181818181834,0.0691176470588235,0.012496875781054736
Cybersecurity,domain,0.05555555555555547,0.0478422633752355,-0.020000000000000018,0.1625000000000001,0.2969257685578605
Cybersecurity,irrel,0.047222222222222165,0.04350874573607426,-0.03749999999999998,0.13750000000000007,0.2734316420894776
DrugMedicine,domain,0.02941176470588225,0.011506523949903839,0.0071428571428571175,0.053333333333333344,0.014496375906023495
DrugMedicine,irrel,0.0,0.0055123845185914,-0.010714285714285676,0.010714285714285787,1.0
Outdoor,domain,0.06363636363636371,0.04916014370868474,-0.014285714285714235,0.17142857142857149,0.19695076230942266
Outdoor,irrel,-0.006818181818181834,0.018429332088651135,-0.039999999999999925,0.033348214285714335,0.7003249187703074
Senior,domain,0.0,0.0,0.0,0.0,1.0
Senior,irrel,-0.012499999999999956,0.00944768772401168,-0.025000000000000022,0.0,0.5334879675268194
