model,condition,rate,se,ci_lo,ci_hi,n
qwen3-8b-base,control,0.4880952380952381,0.05491889352065714,0.38095238095238093,0.5952380952380952,84
qwen3-8b-base,domain_uhigh_mhigh,0.5880952380952381,0.03456534106816064,0.5213690476190477,0.6524404761904764,420
qwen3-8b-base,domain_uhigh_mlow,0.5976190476190476,0.034875860338381026,0.5261904761904762,0.6666666666666666,420
qwen3-8b-base,domain_ulow_mhigh,0.6452380952380953,0.03536290902522781,0.5761904761904761,0.7142857142857143,420
qwen3-8b-base,domain_ulow_mlow,0.6476190476190476,0.033750418519248086,0.580952380952381,0.7119047619047619,420
qwen3-8b-base,irrel_uhigh_mhigh,0.5916666666666667,0.03391930246203823,0.5255952380952381,0.6553720238095239,1680
qwen3-8b-base,irrel_uhigh_mlow,0.5654761904761905,0.033337180126678016,0.5,0.6291815476190477,1680
qwen3-8b-base,irrel_ulow_mhigh,0.6011904761904762,0.03521342178953645,0.531547619047619,0.6684523809523809,1680
qwen3-8b-base,irrel_ulow_mlow,0.5553571428571429,0.03440785276152638,0.4880952380952381,0.6214285714285714,1680
qwen3-8b-nothink,control,0.7976190476190477,0.04429913092663432,0.7023809523809523,0.8809523809523809,84
qwen3-8b-nothink,domain_uhigh_mhigh,0.8714285714285714,0.027480310651207207,0.8142857142857143,0.9238095238095239,420
qwen3-8b-nothink,domain_uhigh_mlow,0.7857142857142857,0.029563450662093236,0.7238095238095238,0.8404761904761905,420
qwen3-8b-nothink,domain_ulow_mhigh,0.8357142857142857,0.02860514902744991,0.7761904761904762,0.8881547619047621,420
qwen3-8b-nothink,domain_ulow_mlow,0.8214285714285714,0.03237742293947456,0.7547619047619047,0.8833333333333333,420
qwen3-8b-nothink,irrel_uhigh_mhigh,0.8017857142857143,0.029801623165502857,0.7392857142857143,0.856547619047619,1680
qwen3-8b-nothink,irrel_uhigh_mlow,0.7982142857142858,0.03101239243968586,0.7321428571428571,0.8529910714285714,1680
qwen3-8b-nothink,irrel_ulow_mhigh,0.8071428571428572,0.03159679170849762,0.7404761904761905,0.8648809523809524,1680
qwen3-8b-nothink,irrel_ulow_mlow,0.7672619047619048,0.034989229919535444,0.694047619047619,0.830952380952381,1680
qwen3-8b-think,control,0.8571428571428571,0.038014214659266424,0.7738095238095238,0.9285714285714286,84
qwen3-8b-think,domain_uhigh_mhigh,0.8976190476190476,0.025266615682372387,0.8452380952380952,0.9452380952380952,420
qwen3-8b-think,domain_uhigh_mlow,0.8761904761904762,0.0283880984759204,0.8166666666666667,0.9261904761904762,420
qwen3-8b-think,domain_ulow_mhigh,0.9,0.024753820377468396,0.8476190476190476,0.9452380952380952,420
qwen3-8b-think,domain_ulow_mlow,0.8809523809523809,0.02731347385781968,0.8238095238095238,0.930952380952381,420
qwen3-8b-think,irrel_uhigh_mhigh,0.8589285714285714,0.028318093395040173,0.8005952380952381,0.9107142857142857,1680
qwen3-8b-think,irrel_uhigh_mlow,0.8517857142857143,0.029473265556441024,0.7904761904761904,0.9053720238095239,1680
qwen3-8b-think,irrel_ulow_mhigh,0.8589285714285714,0.028988590749456485,0.7988095238095239,0.9119047619047619,1680
qwen3-8b-think,irrel_ulow_mlow,0.8488095238095238,0.03099421886078359,0.7839285714285714,0.9047767857142858,1680
