model,condition,rate,n,se,ci95,all_pass_rate,facts,facts_passed,rows_per_fact,all_pass_rate_k5,rate_balanced,n_dimensions
qwen3-8b-base,control,0.4880952380952381,84,0.05486657163025335,0.10753848039529657,0.4880952380952381,84,41,1.0,,0.4880952380952381,1
qwen3-8b-base,domain_uhigh_mhigh,0.5880952380952381,420,0.02404447098160131,0.04712716312393857,0.17857142857142858,84,15,5.0,0.17857142857142935,0.5732641541465071,7
qwen3-8b-base,domain_uhigh_mlow,0.5976190476190476,420,0.023956529921417575,0.04695479864597844,0.20238095238095238,84,17,5.0,0.2023809523809504,0.6082325354384178,7
qwen3-8b-base,domain_ulow_mhigh,0.6452380952380953,420,0.023373377737363598,0.04581182036523265,0.30952380952380953,84,26,5.0,0.30952380952381015,0.6334404974110857,7
qwen3-8b-base,domain_ulow_mlow,0.6476190476190476,420,0.023337751320693947,0.04574199258856013,0.25,84,21,5.0,0.25,0.6542260843731432,7
qwen3-8b-base,irrel_uhigh_mhigh,0.5916666666666667,1680,0.01199556256604466,0.023511302629447534,0.05952380952380952,84,5,20.0,0.25208333333333316,0.5916666666666667,4
qwen3-8b-base,irrel_uhigh_mlow,0.5654761904761905,1680,0.0120973042365634,0.023710716303664264,0.023809523809523808,84,2,20.0,0.21749999999999953,0.5654761904761905,4
qwen3-8b-base,irrel_ulow_mhigh,0.6011904761904762,1680,0.011949877641931903,0.023421760178186528,0.07142857142857142,84,6,20.0,0.27934523809523826,0.6011904761904762,4
qwen3-8b-base,irrel_ulow_mlow,0.5553571428571429,1680,0.012127366233186738,0.023769637817046007,0.03571428571428571,84,3,20.0,0.2141071428571426,0.5553571428571429,4
qwen3-8b-nothink,control,0.7976190476190477,84,0.04410050166290233,0.08643698325928857,0.7976190476190477,84,67,1.0,,0.7976190476190477,1
qwen3-8b-nothink,domain_uhigh_mhigh,0.8714285714285714,420,0.01635238564529457,0.032050675864777355,0.7619047619047619,84,64,5.0,0.7619047619047596,0.8896963330786861,7
qwen3-8b-nothink,domain_uhigh_mlow,0.7857142857142857,420,0.020045732137843823,0.03928963499017389,0.5,84,42,5.0,0.5,0.822725150666327,7
qwen3-8b-nothink,domain_ulow_mhigh,0.8357142857142857,420,0.01810180164607279,0.035479531226302666,0.6428571428571429,84,54,5.0,0.6428571428571402,0.8622039724980901,7
qwen3-8b-nothink,domain_ulow_mlow,0.8214285714285714,420,0.01871043468964279,0.03667245199169986,0.6428571428571429,84,54,5.0,0.6428571428571402,0.8459224598930482,7
qwen3-8b-nothink,irrel_uhigh_mhigh,0.8017857142857143,1680,0.009729069029914385,0.019068975298632194,0.4642857142857143,84,39,20.0,0.6105357142857156,0.8017857142857143,4
qwen3-8b-nothink,irrel_uhigh_mlow,0.7982142857142858,1680,0.009794439957311411,0.019197102316330365,0.44047619047619047,84,37,20.0,0.6045238095238112,0.7982142857142858,4
qwen3-8b-nothink,irrel_ulow_mhigh,0.8071428571428572,1680,0.009628701427963975,0.01887225479880939,0.47619047619047616,84,40,20.0,0.6293154761904763,0.8071428571428572,4
qwen3-8b-nothink,irrel_ulow_mlow,0.7672619047619048,1680,0.01031288577564322,0.020213256120260713,0.47619047619047616,84,40,20.0,0.6012500000000022,0.7672619047619047,4
qwen3-8b-think,control,0.8571428571428571,84,0.03840948985270464,0.0752826001113011,0.8571428571428571,84,72,1.0,,0.8571428571428571,1
qwen3-8b-think,domain_uhigh_mhigh,0.8976190476190476,420,0.014809779792261536,0.02902716839283261,0.7857142857142857,84,66,5.0,0.785714285714282,0.917898523045582,7
qwen3-8b-think,domain_uhigh_mlow,0.8761904761904762,420,0.016090490352064696,0.0315373610900468,0.7619047619047619,84,64,5.0,0.7619047619047596,0.8942598251421782,7
qwen3-8b-think,domain_ulow_mhigh,0.9,420,0.014655959062380944,0.02872567976226665,0.7976190476190477,84,67,5.0,0.7976190476190422,0.9155568287921229,7
qwen3-8b-think,domain_ulow_mlow,0.8809523809523809,420,0.01582084087017527,0.03100884810554353,0.7619047619047619,84,64,5.0,0.7619047619047596,0.8959256429844665,7
qwen3-8b-think,irrel_uhigh_mhigh,0.8589285714285714,1680,0.00849518241404576,0.016650557531529688,0.6190476190476191,84,52,20.0,0.7301488095238117,0.8589285714285715,4
qwen3-8b-think,irrel_uhigh_mlow,0.8517857142857143,1680,0.008671312956445408,0.016995773394633,0.6190476190476191,84,52,20.0,0.7240773809523833,0.8517857142857143,4
qwen3-8b-think,irrel_ulow_mhigh,0.8589285714285714,1680,0.00849518241404576,0.016650557531529688,0.6309523809523809,84,53,20.0,0.744613095238096,0.8589285714285715,4
qwen3-8b-think,irrel_ulow_mlow,0.8488095238095238,1680,0.008742627834530694,0.01713555055568016,0.6785714285714286,84,57,20.0,0.7464285714285721,0.8488095238095238,4
