model,dimension,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,educational_credentials,irrel,user (high-low),-0.027380952380952284,0.01916270572310917,-0.06547619047619035,0.010714285714285787,0.17745563609097725
qwen3-8b-base,educational_credentials,irrel,model (high-low),0.06071428571428572,0.01763414819655934,0.02619047619047632,0.09523809523809523,0.000999750062484379
qwen3-8b-base,educational_credentials,irrel,interaction,-0.059523809523809534,0.04053823365808428,-0.13815476190476195,0.01904761904761898,0.14146463384153962
qwen3-8b-base,institutional_affiliation,irrel,user (high-low),0.021428571428571463,0.019056995923555444,-0.016666666666666607,0.05833333333333335,0.2759310172456886
qwen3-8b-base,institutional_affiliation,irrel,model (high-low),0.06666666666666665,0.019117468660247577,0.02857142857142869,0.10476190476190478,0.0004998750312421895
qwen3-8b-base,institutional_affiliation,irrel,interaction,0.0,0.04277648132377751,-0.08095238095238089,0.08571428571428574,1.0
qwen3-8b-base,job_title,irrel,user (high-low),0.0,0.01746098265470162,-0.03452380952380951,0.03333333333333344,1.0
qwen3-8b-base,job_title,irrel,model (high-low),0.004761904761904745,0.019310411713570844,-0.03214285714285725,0.04047619047619044,0.8387903024243939
qwen3-8b-base,job_title,irrel,interaction,-0.04761904761904745,0.03157627722051885,-0.11190476190476184,0.011904761904761862,0.1379655086228443
qwen3-8b-base,subscription_tier,irrel,user (high-low),0.0071428571428571175,0.014899213241768784,-0.021458333333333465,0.035714285714285754,0.6813296675831042
qwen3-8b-base,subscription_tier,irrel,model (high-low),0.011904761904761862,0.018432614540759607,-0.02261904761904765,0.04999999999999999,0.5688577855536116
qwen3-8b-base,subscription_tier,irrel,interaction,0.02857142857142858,0.033538201439343746,-0.0357142857142857,0.09523809523809523,0.3939015246188453
qwen3-8b-nothink,educational_credentials,irrel,user (high-low),0.013095238095238049,0.015382182245906042,-0.01666666666666661,0.044047619047619,0.41639590102474383
qwen3-8b-nothink,educational_credentials,irrel,model (high-low),0.02261904761904754,0.013678190874381506,-0.0035714285714285587,0.04999999999999993,0.10197450637340665
qwen3-8b-nothink,educational_credentials,irrel,interaction,-0.011904761904761973,0.029938406743926504,-0.0714285714285714,0.04761904761904756,0.7093226693326669
qwen3-8b-nothink,institutional_affiliation,irrel,user (high-low),0.036904761904761885,0.01741049435118763,0.0023809523809523725,0.07023809523809521,0.04348912771807048
qwen3-8b-nothink,institutional_affiliation,irrel,model (high-low),0.025000000000000022,0.01969669469243477,-0.01309523809523816,0.0630952380952381,0.21644588852786803
qwen3-8b-nothink,institutional_affiliation,irrel,interaction,-0.05476190476190479,0.02752264234880301,-0.10952380952380958,-0.0023809523809524835,0.0424893776555861
qwen3-8b-nothink,job_title,irrel,user (high-low),0.008333333333333415,0.013839421431433472,-0.01904761904761909,0.03452380952380962,0.5968507873031742
qwen3-8b-nothink,job_title,irrel,model (high-low),0.010714285714285787,0.018000933402340207,-0.02380952380952373,0.046428571428571375,0.5798550362409398
qwen3-8b-nothink,job_title,irrel,interaction,-0.0357142857142857,0.03194801286503377,-0.09999999999999998,0.023809523809523836,0.27393151712071984
qwen3-8b-nothink,subscription_tier,irrel,user (high-low),-0.0071428571428572285,0.01047567744559464,-0.02857142857142847,0.01309523809523816,0.5233691577105724
qwen3-8b-nothink,subscription_tier,irrel,model (high-low),0.02857142857142858,0.015192881173783188,0.0,0.059523809523809534,0.05598600349912522
qwen3-8b-nothink,subscription_tier,irrel,interaction,-0.042857142857142816,0.02422732857109483,-0.08809523809523823,0.004761904761904856,0.0899775056235941
qwen3-8b-think,educational_credentials,irrel,user (high-low),0.0,0.013460484596128384,-0.025000000000000022,0.027380952380952284,1.0
qwen3-8b-think,educational_credentials,irrel,model (high-low),0.00952380952380949,0.011412107970919533,-0.013095238095238049,0.032172619047619255,0.42939265183704073
qwen3-8b-think,educational_credentials,irrel,interaction,0.0,0.021870092972154927,-0.042857142857142816,0.042857142857142816,1.0
qwen3-8b-think,institutional_affiliation,irrel,user (high-low),-0.0023809523809523725,0.014585479259830697,-0.029761904761904878,0.027380952380952284,0.8927768057985503
qwen3-8b-think,institutional_affiliation,irrel,model (high-low),0.014285714285714235,0.012786716572584789,-0.011904761904761862,0.03928571428571426,0.2689327668082979
qwen3-8b-think,institutional_affiliation,irrel,interaction,-0.009523809523809601,0.017307652043543356,-0.04523809523809519,0.023809523809523725,0.6083479130217445
qwen3-8b-think,job_title,irrel,user (high-low),0.0023809523809523725,0.011784127698246443,-0.021428571428571352,0.026190476190476097,0.8877780554861284
qwen3-8b-think,job_title,irrel,model (high-low),0.014285714285714346,0.01349410679288176,-0.011904761904761973,0.04047619047619044,0.31542114471382154
qwen3-8b-think,job_title,irrel,interaction,-0.00952380952380949,0.019081362483142173,-0.04761904761904756,0.02857142857142858,0.6508372906773306
qwen3-8b-think,subscription_tier,irrel,user (high-low),0.005952380952380931,0.00956319349605852,-0.013095238095238049,0.02499999999999991,0.5578605348662834
qwen3-8b-think,subscription_tier,irrel,model (high-low),-0.0035714285714285587,0.009643000618098288,-0.02261904761904776,0.015476190476190421,0.7468132966758311
qwen3-8b-think,subscription_tier,irrel,interaction,0.0071428571428571175,0.025308119056428467,-0.04285714285714293,0.05476190476190479,0.751812046988253
