model,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,domain,user (high-low),-0.0535714285714286,0.020736462784854342,-0.09523809523809523,-0.011904761904761973,0.010497375656085979
qwen3-8b-base,domain,model (high-low),-0.005952380952380931,0.021826575389090493,-0.04880952380952375,0.03809523809523807,0.8227943014246438
qwen3-8b-base,domain,interaction,-0.0071428571428571175,0.03856317172891528,-0.08333333333333326,0.06904761904761902,0.8632841789552612
qwen3-8b-base,irrel,user (high-low),0.00029761904761893554,0.009048011786079098,-0.016971726190476235,0.017559523809523858,0.986753311672082
qwen3-8b-base,irrel,model (high-low),0.036011904761904745,0.00986501110492255,0.016964285714285654,0.05535714285714277,0.0004998750312421895
qwen3-8b-base,irrel,interaction,-0.019642857142857073,0.019072189680004747,-0.057738095238095255,0.017857142857142905,0.32891777055736066
qwen3-8b-nothink,domain,user (high-low),0.0,0.013488468924931678,-0.027380952380952284,0.02619047619047621,0.994751312171957
qwen3-8b-nothink,domain,model (high-low),0.050000000000000044,0.012566518060681695,0.026190476190476097,0.07499999999999996,0.0004998750312421895
qwen3-8b-nothink,domain,interaction,0.0714285714285714,0.02860576174475382,0.01666666666666672,0.12857142857142856,0.009997500624843789
qwen3-8b-nothink,irrel,user (high-low),0.012797619047619113,0.007992091605958552,-0.0029761904761904656,0.028869047619047628,0.11147213196700825
qwen3-8b-nothink,irrel,model (high-low),0.0217261904761904,0.010271051683156488,0.0014880952380952328,0.041369047619047694,0.03949012746813297
qwen3-8b-nothink,irrel,interaction,-0.03630952380952379,0.014923232589621407,-0.06666666666666665,-0.008333333333333304,0.009997500624843789
qwen3-8b-think,domain,user (high-low),-0.0035714285714285587,0.009614311310434644,-0.023809523809523725,0.014285714285714457,0.7423144213946513
qwen3-8b-think,domain,model (high-low),0.020238095238095277,0.011360334587599472,-0.0011904761904761862,0.044047619047619,0.06698325418645339
qwen3-8b-think,domain,interaction,0.0023809523809523725,0.024221678738262805,-0.04285714285714293,0.052380952380952306,0.960259935016246
qwen3-8b-think,irrel,user (high-low),0.0014880952380952328,0.007060542679442209,-0.011904761904761862,0.015178571428571486,0.8532866783304174
qwen3-8b-think,irrel,model (high-low),0.00863095238095235,0.007280323824532604,-0.005059523809523903,0.02351934523809529,0.2464383904023994
qwen3-8b-think,irrel,interaction,-0.0029761904761904656,0.007918040688180103,-0.017857142857142905,0.01250000000000007,0.7433141714571357
