model,block,effect,n,n_facts,estimate,se,ci_lo,ci_hi,p
qwen3-8b-think,domain,user (high-low),1680,84,-0.003571428571428571,0.010884971015460264,-0.024905971761730684,0.017763114618873546,0.7428312208600056
qwen3-8b-think,domain,model (high-low),1680,84,0.02023809523809524,0.010884971015460264,-0.0010964479522068762,0.041572638428397354,0.06298893983422946
qwen3-8b-think,domain,interaction,1680,84,0.002380952380952377,0.021769942030920527,-0.04028813399965185,0.04505003876155661,0.9129099812696317
qwen3-8b-think,irrel,user (high-low),6720,84,0.0014880952380952378,0.0056827000558963055,-0.00964999687146152,0.012626187347651996,0.7934262041960558
qwen3-8b-think,irrel,model (high-low),6720,84,0.008630952380952385,0.0056827000558963055,-0.0025071397286043733,0.019769044490509143,0.1288098535686743
qwen3-8b-think,irrel,interaction,6720,84,-0.002976190476190473,0.011365400111792611,-0.02525237469530399,0.019299993742923044,0.7934262041960559
qwen3-8b-nothink,domain,user (high-low),1680,84,3.1720657846433043e-18,0.013988188284882328,-0.02741684903836936,0.027416849038369367,0.9999999999999998
qwen3-8b-nothink,domain,model (high-low),1680,84,0.05,0.013988188284882328,0.02258315096163064,0.07741684903836937,0.00035097250439022426
qwen3-8b-nothink,domain,interaction,1680,84,0.07142857142857142,0.027976376569764656,0.016594873351832698,0.12626226950531017,0.010674599923072053
qwen3-8b-nothink,irrel,user (high-low),6720,84,0.012797619047619042,0.007011924516272396,-0.0009457530042748536,0.02654099109951294,0.06798259190127715
qwen3-8b-nothink,irrel,model (high-low),6720,84,0.021726190476190475,0.007011924516272396,0.00798281842429658,0.03546956252808437,0.0019452708976101167
qwen3-8b-nothink,irrel,interaction,6720,84,-0.03630952380952381,0.014023849032544791,-0.06379626791331161,-0.008822779705736021,0.009621964785540253
qwen3-8b-base,domain,user (high-low),1680,84,-0.05357142857142857,0.019977549254578245,-0.09272742511040193,-0.014415432032455211,0.007327504056574554
qwen3-8b-base,domain,model (high-low),1680,84,-0.005952380952380959,0.019977549254578245,-0.045108377491354316,0.0332036155865924,0.7657386453445048
qwen3-8b-base,domain,interaction,1680,84,-0.007142857142857151,0.03995509850915649,-0.08545485022080386,0.07116913593508957,0.8581166478729273
qwen3-8b-base,irrel,user (high-low),6720,84,0.0002976190476190492,0.009409239128465766,-0.01814448964417385,0.01873972773941195,0.9747667108014708
qwen3-8b-base,irrel,model (high-low),6720,84,0.03601190476190476,0.009409239128465766,0.01756979607011186,0.05445401345369766,0.00012956083458764086
qwen3-8b-base,irrel,interaction,6720,84,-0.019642857142857136,0.01881847825693153,-0.056527074526442934,0.017241360240728663,0.29657474619852064
