model,condition,delta_vs_control,se,ci_lo,ci_hi,p
qwen3-8b-base,domain_uhigh_mhigh,0.10000000000000003,0.05264040351924739,-5.952380952378901e-05,0.20476190476190476,0.0569857535616096
qwen3-8b-base,domain_uhigh_mlow,0.10952380952380952,0.052990763296645975,0.004761904761904745,0.2095833333333336,0.03949012746813297
qwen3-8b-base,domain_ulow_mhigh,0.1571428571428572,0.05064070972809326,0.059523809523809534,0.2595238095238095,0.0034991252186953262
qwen3-8b-base,domain_ulow_mlow,0.15952380952380957,0.04913546398957927,0.06190476190476191,0.2523809523809524,0.0024993751562109472
qwen3-8b-base,irrel_uhigh_mhigh,0.10357142857142859,0.04578847504760724,0.01130952380952388,0.19107142857142856,0.02949262684328918
qwen3-8b-base,irrel_uhigh_mlow,0.07738095238095238,0.044303034441820516,-0.00952380952380949,0.16428571428571426,0.07898025493626594
qwen3-8b-base,irrel_ulow_mhigh,0.11309523809523808,0.04674957617206611,0.02083333333333337,0.20357142857142857,0.0189952511872032
qwen3-8b-base,irrel_ulow_mlow,0.0672619047619048,0.045991353443989025,-0.022023809523809557,0.1547619047619047,0.15046238440389903
qwen3-8b-nothink,domain_uhigh_mhigh,0.07380952380952377,0.037372771817308074,0.004761904761904745,0.15000000000000002,0.03949012746813297
qwen3-8b-nothink,domain_uhigh_mlow,-0.011904761904761973,0.033235274053698055,-0.07619047619047625,0.05476190476190479,0.7328167958010497
qwen3-8b-nothink,domain_ulow_mhigh,0.03809523809523807,0.03809840764996421,-0.033333333333333326,0.1166666666666667,0.3179205198700325
qwen3-8b-nothink,domain_ulow_mlow,0.023809523809523725,0.03691956388564595,-0.0452380952380953,0.0976190476190476,0.5438640339915021
qwen3-8b-nothink,irrel_uhigh_mhigh,0.004166666666666652,0.03004800388591239,-0.054166666666666696,0.06488095238095237,0.9052736815796051
qwen3-8b-nothink,irrel_uhigh_mlow,0.0005952380952380931,0.027638169522915687,-0.05238095238095242,0.055967261904761985,1.0
qwen3-8b-nothink,irrel_ulow_mhigh,0.00952380952380949,0.027578751177195025,-0.04110119047619054,0.06666666666666665,0.7458135466133466
qwen3-8b-nothink,irrel_ulow_mlow,-0.03035714285714286,0.0265058542497247,-0.08273809523809528,0.02083333333333337,0.26493376655836043
qwen3-8b-think,domain_uhigh_mhigh,0.040476190476190554,0.030182326234078946,-0.016666666666666607,0.10244047619047648,0.18095476130967258
qwen3-8b-think,domain_uhigh_mlow,0.01904761904761909,0.03161798317100072,-0.03809523809523818,0.08333333333333326,0.5718570357410647
qwen3-8b-think,domain_ulow_mhigh,0.04285714285714293,0.030591694260436304,-0.014285714285714238,0.1071428571428571,0.15396150962259436
qwen3-8b-think,domain_ulow_mlow,0.023809523809523836,0.03201809852893129,-0.03809523809523807,0.09047619047619038,0.4658835291177206
qwen3-8b-think,irrel_uhigh_mhigh,0.0017857142857142794,0.027266034523119927,-0.04940476190476195,0.05892857142857144,0.96575856035991
qwen3-8b-think,irrel_uhigh_mlow,-0.005357142857142838,0.02399791490776764,-0.05119047619047612,0.044047619047619,0.815296175956011
qwen3-8b-think,irrel_ulow_mhigh,0.0017857142857142794,0.028025314397485186,-0.052380952380952306,0.057738095238095255,0.9767558110472382
qwen3-8b-think,irrel_ulow_mlow,-0.008333333333333304,0.024864675908287476,-0.05654761904761907,0.04166666666666663,0.738815296175956
