model,condition,se,ci_lo,ci_hi,n_facts
qwen3-8b-think,control,0.048840332530547544,0.6309523809523809,0.8214285714285714,84
qwen3-8b-think,domain_uhigh,0.05183417715002661,0.5357142857142857,0.7380952380952381,84
qwen3-8b-think,domain_ulow,0.0547572825521177,0.44047619047619047,0.6547619047619048,84
qwen3-8b-think,domain_mhigh,0.05312969614667884,0.5238095238095238,0.7380952380952381,84
qwen3-8b-think,domain_mlow,0.05450399310600308,0.4523809523809524,0.6666666666666666,84
qwen3-8b-think,irrel_uhigh,0.051677706073861504,0.2619047619047619,0.4642857142857143,84
qwen3-8b-think,irrel_ulow,0.0533100199022829,0.2619047619047619,0.47619047619047616,84
qwen3-8b-think,irrel_mhigh,0.052711544746698515,0.2619047619047619,0.47619047619047616,84
qwen3-8b-think,irrel_mlow,0.0514481865662584,0.23809523809523808,0.44047619047619047,84
qwen3-8b-nothink,control,0.054479207263572055,0.4523809523809524,0.6666666666666666,84
qwen3-8b-nothink,domain_uhigh,0.055363514571175956,0.34523809523809523,0.5595238095238095,84
qwen3-8b-nothink,domain_ulow,0.05363368632513218,0.2857142857142857,0.5,84
qwen3-8b-nothink,domain_mhigh,0.05389594626655555,0.32142857142857145,0.5357142857142857,84
qwen3-8b-nothink,domain_mlow,0.05167804476389406,0.23809523809523808,0.44047619047619047,84
qwen3-8b-nothink,irrel_uhigh,0.0438179911368598,0.11904761904761904,0.2857142857142857,84
qwen3-8b-nothink,irrel_ulow,0.04354177382244937,0.10714285714285714,0.27380952380952384,84
qwen3-8b-nothink,irrel_mhigh,0.04411178549602108,0.13095238095238096,0.30952380952380953,84
qwen3-8b-nothink,irrel_mlow,0.0422349953969537,0.09523809523809523,0.2619047619047619,84
qwen3-8b-base,control,0.04775188332160584,0.16666666666666666,0.35714285714285715,84
qwen3-8b-base,domain_uhigh,0.030205434074074885,0.03571428571428571,0.14285714285714285,84
qwen3-8b-base,domain_ulow,0.026177381000584032,0.011904761904761904,0.11904761904761904,84
qwen3-8b-base,domain_mhigh,0.020126423296248228,0.0,0.08333333333333333,84
qwen3-8b-base,domain_mlow,0.016431029804409938,0.0,0.05952380952380952,84
qwen3-8b-base,irrel_uhigh,0.01166551897150752,0.0,0.03571428571428571,84
qwen3-8b-base,irrel_ulow,0.0,0.0,0.0,84
qwen3-8b-base,irrel_mhigh,0.0,0.0,0.0,84
qwen3-8b-base,irrel_mlow,0.0,0.0,0.0,84
