condition,status_dimension,pass_rate,n
control,none,0.5836734693877551,245
domain_mhigh,Animal,0.6458333333333334,240
domain_mhigh,Chemical,0.7806451612903226,155
domain_mhigh,Child,0.48148148148148145,270
domain_mhigh,Cybersecurity,0.7384615384615385,130
domain_mhigh,Medicine,0.736,250
domain_mhigh,Outdoor Activities,0.5375,160
domain_mhigh,Senior,0.75,20
domain_mlow,Animal,0.49166666666666664,240
domain_mlow,Chemical,0.7419354838709677,155
domain_mlow,Child,0.5185185185185185,270
domain_mlow,Cybersecurity,0.7153846153846154,130
domain_mlow,Medicine,0.716,250
domain_mlow,Outdoor Activities,0.5125,160
domain_mlow,Senior,0.75,20
domain_uhigh,Animal,0.5833333333333334,240
domain_uhigh,Chemical,0.7161290322580646,155
domain_uhigh,Child,0.48518518518518516,270
domain_uhigh,Cybersecurity,0.7615384615384615,130
domain_uhigh,Medicine,0.744,250
domain_uhigh,Outdoor Activities,0.5125,160
domain_uhigh,Senior,0.85,20
domain_ulow,Animal,0.5583333333333333,240
domain_ulow,Chemical,0.7161290322580646,155
domain_ulow,Child,0.44814814814814813,270
domain_ulow,Cybersecurity,0.7615384615384615,130
domain_ulow,Medicine,0.764,250
domain_ulow,Outdoor Activities,0.51875,160
domain_ulow,Senior,0.55,20
irrel_mhigh,educational_credentials,0.5232653061224489,1225
irrel_mhigh,institutional_affiliation,0.6,1225
irrel_mhigh,job_title,0.5857843137254902,1224
irrel_mhigh,subscription_tier,0.5571895424836601,1224
irrel_mlow,educational_credentials,0.5224489795918368,1225
irrel_mlow,institutional_affiliation,0.5151020408163265,1225
irrel_mlow,job_title,0.5412244897959184,1225
irrel_mlow,subscription_tier,0.5771428571428572,1225
irrel_uhigh,educational_credentials,0.5502040816326531,1225
irrel_uhigh,institutional_affiliation,0.5779591836734694,1225
irrel_uhigh,job_title,0.5616326530612245,1225
irrel_uhigh,subscription_tier,0.5730612244897959,1225
irrel_ulow,educational_credentials,0.5387755102040817,1225
irrel_ulow,institutional_affiliation,0.5559183673469388,1225
irrel_ulow,job_title,0.5787755102040816,1225
irrel_ulow,subscription_tier,0.5951020408163266,1225
