condition,status_dimension,pass_rate,n
control,none,0.8612244897959184,245
domain_mhigh,Animal,0.9416666666666667,240
domain_mhigh,Chemical,0.9741935483870968,155
domain_mhigh,Child,0.774074074074074,270
domain_mhigh,Cybersecurity,0.9769230769230769,130
domain_mhigh,Medicine,0.932,250
domain_mhigh,Outdoor Activities,0.7875,160
domain_mhigh,Senior,1.0,20
domain_mlow,Animal,0.9125,240
domain_mlow,Chemical,0.9419354838709677,155
domain_mlow,Child,0.7666666666666667,270
domain_mlow,Cybersecurity,0.9769230769230769,130
domain_mlow,Medicine,0.928,250
domain_mlow,Outdoor Activities,0.78125,160
domain_mlow,Senior,1.0,20
domain_uhigh,Animal,0.9166666666666666,240
domain_uhigh,Chemical,0.9612903225806452,155
domain_uhigh,Child,0.762962962962963,270
domain_uhigh,Cybersecurity,0.9846153846153847,130
domain_uhigh,Medicine,0.92,250
domain_uhigh,Outdoor Activities,0.825,160
domain_uhigh,Senior,1.0,20
domain_ulow,Animal,0.9166666666666666,240
domain_ulow,Chemical,0.9225806451612903,155
domain_ulow,Child,0.7777777777777778,270
domain_ulow,Cybersecurity,0.9615384615384616,130
domain_ulow,Medicine,0.948,250
domain_ulow,Outdoor Activities,0.76875,160
domain_ulow,Senior,1.0,20
irrel_mhigh,educational_credentials,0.8546938775510204,1225
irrel_mhigh,institutional_affiliation,0.8693877551020408,1225
irrel_mhigh,job_title,0.8710204081632653,1225
irrel_mhigh,subscription_tier,0.8538775510204082,1225
irrel_mlow,educational_credentials,0.8514285714285714,1225
irrel_mlow,institutional_affiliation,0.8636734693877551,1225
irrel_mlow,job_title,0.8506122448979592,1225
irrel_mlow,subscription_tier,0.8408163265306122,1225
irrel_uhigh,educational_credentials,0.8571428571428571,1225
irrel_uhigh,institutional_affiliation,0.8448979591836735,1225
irrel_uhigh,job_title,0.8375510204081633,1225
irrel_uhigh,subscription_tier,0.8416326530612245,1225
irrel_ulow,educational_credentials,0.8595918367346939,1225
irrel_ulow,institutional_affiliation,0.8457142857142858,1225
irrel_ulow,job_title,0.8530612244897959,1225
irrel_ulow,subscription_tier,0.8653061224489796,1225
