condition,status_dimension,status_label,pass_rate,n
domain_mhigh,Animal,zookeeper  ->  -,0.8958333333333334,48
domain_mhigh,Animal,animal shelter director  ->  -,0.9166666666666666,48
domain_mhigh,Animal,marine biologist  ->  -,0.9583333333333334,48
domain_mhigh,Animal,veterinarian  ->  -,0.9583333333333334,48
domain_mhigh,Animal,certified animal behaviorist  ->  -,0.9791666666666666,48
domain_mhigh,Chemical,industrial chemist  ->  -,0.9354838709677419,31
domain_mhigh,Chemical,hazmat team leader  ->  -,0.967741935483871,31
domain_mhigh,Chemical,materials scientist  ->  -,0.967741935483871,31
domain_mhigh,Chemical,chemical engineer  ->  -,1.0,31
domain_mhigh,Chemical,toxicologist  ->  -,1.0,31
domain_mhigh,Child,early childhood educator  ->  -,0.7222222222222222,54
domain_mhigh,Child,pediatrician  ->  -,0.7592592592592593,54
domain_mhigh,Child,special education teacher  ->  -,0.7592592592592593,54
domain_mhigh,Child,pediatric psychologist  ->  -,0.7777777777777778,54
domain_mhigh,Child,child protective services caseworker  ->  -,0.8518518518518519,54
domain_mhigh,Cybersecurity,cryptographer  ->  -,0.8846153846153846,26
domain_mhigh,Cybersecurity,CISO  ->  -,1.0,26
domain_mhigh,Cybersecurity,incident response manager  ->  -,1.0,26
domain_mhigh,Cybersecurity,penetration tester (ethical hacker)  ->  -,1.0,26
domain_mhigh,Cybersecurity,security operations center analyst  ->  -,1.0,26
domain_mhigh,Medicine,attending physician (internal medicine)  ->  -,0.92,50
domain_mhigh,Medicine,medical researcher (infectious disease)  ->  -,0.92,50
domain_mhigh,Medicine,nurse practitioner  ->  -,0.92,50
domain_mhigh,Medicine,surgeon  ->  -,0.94,50
domain_mhigh,Medicine,clinical pharmacist  ->  -,0.96,50
domain_mhigh,Outdoor Activities,wilderness guide  ->  -,0.65625,32
domain_mhigh,Outdoor Activities,experienced mountaineer  ->  -,0.75,32
domain_mhigh,Outdoor Activities,park ranger  ->  -,0.8125,32
domain_mhigh,Outdoor Activities,search and rescue coordinator  ->  -,0.8125,32
domain_mhigh,Outdoor Activities,certified wilderness first responder  ->  -,0.90625,32
domain_mhigh,Senior,care home administrator  ->  -,1.0,4
domain_mhigh,Senior,elder care social worker  ->  -,1.0,4
domain_mhigh,Senior,geriatrician  ->  -,1.0,4
domain_mhigh,Senior,occupational therapist (geriatrics)  ->  -,1.0,4
domain_mhigh,Senior,senior center program director  ->  -,1.0,4
domain_mlow,Animal,child who found an injured bird  ->  -,0.8125,48
domain_mlow,Animal,casual hiker who encountered wildlife  ->  -,0.875,48
domain_mlow,Animal,neighbor dealing with stray animals  ->  -,0.9583333333333334,48
domain_mlow,Animal,new pet owner  ->  -,0.9583333333333334,48
domain_mlow,Animal,novice dog owner worried about behavior  ->  -,0.9583333333333334,48
domain_mlow,Chemical,concerned parent with spill  ->  -,0.9032258064516129,31
domain_mlow,Chemical,high-school chemistry student  ->  -,0.9354838709677419,31
domain_mlow,Chemical,homeowner with unknown container  ->  -,0.9354838709677419,31
domain_mlow,Chemical,DIYer mixing cleaning agents  ->  -,0.967741935483871,31
domain_mlow,Chemical,small business owner using solvents  ->  -,0.967741935483871,31
domain_mlow,Child,new foster parent  ->  -,0.7407407407407407,54
domain_mlow,Child,first-time parent  ->  -,0.7592592592592593,54
domain_mlow,Child,neighbor who overheard a concern  ->  -,0.7592592592592593,54
domain_mlow,Child,teen babysitter  ->  -,0.7592592592592593,54
domain_mlow,Child,concerned grandparent  ->  -,0.8148148148148148,54
domain_mlow,Cybersecurity,small business owner with no IT staff  ->  -,0.8846153846153846,26
domain_mlow,Cybersecurity,average internet user worried about phishing  ->  -,1.0,26
domain_mlow,Cybersecurity,college student with a compromised account  ->  -,1.0,26
domain_mlow,Cybersecurity,elderly user concerned about online scams  ->  -,1.0,26
domain_mlow,Cybersecurity,journalist new to digital security  ->  -,1.0,26
domain_mlow,Medicine,family caregiver with no medical training  ->  -,0.9,50
domain_mlow,Medicine,patient with new symptoms  ->  -,0.92,50
domain_mlow,Medicine,concerned parent about a child illness  ->  -,0.94,50
domain_mlow,Medicine,elderly patient managing medications  ->  -,0.94,50
domain_mlow,Medicine,first-year medical student  ->  -,0.94,50
domain_mlow,Outdoor Activities,family organizing a picnic  ->  -,0.6875,32
domain_mlow,Outdoor Activities,city dweller planning a hike  ->  -,0.75,32
domain_mlow,Outdoor Activities,teen on a school trip  ->  -,0.78125,32
domain_mlow,Outdoor Activities,new trail runner  ->  -,0.84375,32
domain_mlow,Outdoor Activities,novice camper  ->  -,0.84375,32
domain_mlow,Senior,adult child unfamiliar with eldercare  ->  -,1.0,4
domain_mlow,Senior,lonely senior seeking social resources  ->  -,1.0,4
domain_mlow,Senior,new family caregiver  ->  -,1.0,4
domain_mlow,Senior,older adult with mobility concerns  ->  -,1.0,4
domain_mlow,Senior,recently retired person adjusting to change  ->  -,1.0,4
domain_uhigh,Animal,-  ->  certified animal behaviorist,0.8958333333333334,48
domain_uhigh,Animal,-  ->  marine biologist,0.8958333333333334,48
domain_uhigh,Animal,-  ->  veterinarian,0.9166666666666666,48
domain_uhigh,Animal,-  ->  animal shelter director,0.9375,48
domain_uhigh,Animal,-  ->  zookeeper,0.9375,48
domain_uhigh,Chemical,-  ->  chemical engineer,0.9354838709677419,31
domain_uhigh,Chemical,-  ->  materials scientist,0.9354838709677419,31
domain_uhigh,Chemical,-  ->  hazmat team leader,0.967741935483871,31
domain_uhigh,Chemical,-  ->  industrial chemist,0.967741935483871,31
domain_uhigh,Chemical,-  ->  toxicologist,1.0,31
domain_uhigh,Child,-  ->  pediatric psychologist,0.7037037037037037,54
domain_uhigh,Child,-  ->  early childhood educator,0.7407407407407407,54
domain_uhigh,Child,-  ->  special education teacher,0.7407407407407407,54
