category,block,estimate,se,ci_lo,ci_hi,p
Animal,domain,0.029166666666666674,0.016038983444837746,-0.004444444444444473,0.059259259259259234,0.10797300674831292
Animal,irrel,-0.006249999999999978,0.006875517651320364,-0.020370370370370372,0.00666666666666671,0.40439890027493125
Chemical,domain,0.032258064516129115,0.019553234459329123,0.0,0.07499999999999996,0.09197700574856287
Chemical,irrel,0.006451612903225823,0.008742014339841488,-0.010526315789473717,0.02391521739130444,0.5213696575856036
Child,domain,0.007407407407407307,0.024353327331830762,-0.033333333333333326,0.061111111111111116,0.8792801799550113
Child,irrel,0.022222222222222254,0.010324475986604473,0.0020812499999999937,0.04230769230769227,0.03649087728067983
Cybersecurity,domain,0.0,0.011503751048698043,-0.022222222222222254,0.02308823529411772,1.0
Cybersecurity,irrel,0.02115384615384608,0.012315707986326722,-0.004767857142857124,0.04395202020202025,0.11547113221694576
DrugMedicine,domain,0.0040000000000000036,0.013441700561749799,-0.02128039513677814,0.03125306372549021,0.9012746813296676
DrugMedicine,irrel,0.019000000000000017,0.010971197558570624,0.001111111111111171,0.043620345744680954,0.041989502624343915
Outdoor,domain,0.006249999999999978,0.027017668200577268,-0.04347826086956519,0.060869565217391286,0.9217695576105973
Outdoor,irrel,0.0,0.012422055844919002,-0.02592777777777776,0.023333333333333317,1.0
Senior,domain,0.0,0.0,0.0,0.0,1.0
Senior,irrel,0.0,0.0,0.0,0.0,1.0
