model,condition,rate,se,ci_lo,ci_hi,n
qwen3-8b-base,control,0.5836734693877551,0.03459885764340233,0.5165289256198347,0.6514569587102919,245
qwen3-8b-base,domain_uhigh,0.6253061224489795,0.02681350390207266,0.5716570389388105,0.6768595041322314,1225
qwen3-8b-base,domain_ulow,0.6122448979591837,0.025180262695514617,0.5621320629066133,0.6617900871779802,1225
qwen3-8b-base,domain_mhigh,0.6424489795918368,0.026422526688533482,0.5918690890990543,0.6930123456790124,1225
qwen3-8b-base,domain_mlow,0.6057142857142858,0.02595006129517916,0.5532773664727657,0.6554238996803541,1225
qwen3-8b-base,irrel_uhigh,0.5657142857142857,0.024225756797404185,0.5180683985943775,0.6149802631578948,4900
qwen3-8b-base,irrel_ulow,0.5671428571428572,0.025068973327899976,0.5173387096774194,0.6174799257251832,4900
qwen3-8b-base,irrel_mhigh,0.5665577786851776,0.02212748718481035,0.5224038554922905,0.6099611632756321,4898
qwen3-8b-base,irrel_mlow,0.5389795918367347,0.02261246708514711,0.4942353583258055,0.5828622448979592,4900
qwen3-8b-nothink,control,0.7918367346938775,0.029732204274240167,0.7327935222672065,0.8489795918367347,245
qwen3-8b-nothink,domain_uhigh,0.8114285714285714,0.02734113476682084,0.7546531100478469,0.863420177383592,1225
qwen3-8b-nothink,domain_ulow,0.793469387755102,0.028057102475141073,0.7374409171075839,0.8463414634146341,1225
qwen3-8b-nothink,domain_mhigh,0.8195918367346938,0.026402162958652622,0.7653225806451613,0.8704990555218242,1225
qwen3-8b-nothink,domain_mlow,0.7828571428571428,0.02567087602386852,0.7319607157137146,0.8325005081300814,1225
qwen3-8b-nothink,irrel_uhigh,0.7583673469387755,0.025751074847276626,0.707131968641115,0.8080263562317505,4900
qwen3-8b-nothink,irrel_ulow,0.756734693877551,0.02589834874468387,0.7052083333333333,0.8049607188083178,4900
qwen3-8b-nothink,irrel_mhigh,0.7761224489795918,0.02508429899668767,0.7262072694919681,0.8238955823293173,4900
qwen3-8b-nothink,irrel_mlow,0.7522448979591837,0.025818593856410447,0.7012343159486017,0.800211526926153,4900
qwen3-8b-think,control,0.8612244897959184,0.027138866918129754,0.8057821962726269,0.9109311740890689,245
qwen3-8b-think,domain_uhigh,0.8857142857142857,0.021960036985087354,0.8412913837011884,0.9264483892730646,1225
qwen3-8b-think,domain_ulow,0.88,0.020790522591167582,0.8369462275330832,0.9190082644628099,1225
qwen3-8b-think,domain_mhigh,0.8914285714285715,0.021880920959299527,0.8455963636363637,0.9314285714285714,1225
qwen3-8b-think,domain_mlow,0.8783673469387755,0.02181125988114831,0.8320954766241652,0.9188568560430079,1225
qwen3-8b-think,irrel_uhigh,0.8453061224489796,0.023126308312691714,0.7977642276422764,0.8877050034153005,4900
qwen3-8b-think,irrel_ulow,0.8559183673469388,0.022593727542789016,0.8089403957292585,0.8972819998292204,4900
qwen3-8b-think,irrel_mhigh,0.8622448979591837,0.02221315751101646,0.8159736853247523,0.9038629805279533,4900
qwen3-8b-think,irrel_mlow,0.8516326530612245,0.023287000054869313,0.803055832088933,0.8944231953111823,4900
