model,condition,rate,n,se,ci95,all_pass_rate,facts,facts_passed,rows_per_fact,all_pass_rate_k5,rate_balanced,n_dimensions
qwen3-8b-base,control,0.5836734693877551,245,0.031557828165561644,0.061853343204500824,0.2619047619047619,84,22,2.9166666666666665,,0.5836734693877551,1
qwen3-8b-base,domain_mhigh,0.6424489795918368,1225,0.013699276262228598,0.02685058147396805,0.03571428571428571,84,3,14.583333333333334,0.21982142857142828,0.6671316449380965,7
qwen3-8b-base,domain_mlow,0.6057142857142858,1225,0.013968466172736647,0.027378193698563827,0.023809523809523808,84,2,14.583333333333334,0.17288690476190452,0.6351436120629669,7
qwen3-8b-base,domain_uhigh,0.6253061224489795,1225,0.013835470413614933,0.027117522010685267,0.08333333333333333,84,7,14.583333333333334,0.21309523809523767,0.6646694303307206,7
qwen3-8b-base,domain_ulow,0.6122448979591837,1225,0.013926777555257988,0.027296484008305658,0.05952380952380952,84,5,14.583333333333334,0.1847023809523807,0.616699853611144,7
qwen3-8b-base,irrel_mhigh,0.5665577786851776,4898,0.007081457581152077,0.013879656859058072,0.0,84,0,58.30952380952381,0.12815476190476194,0.5665597905828998,4
qwen3-8b-base,irrel_mlow,0.5389795918367347,4900,0.00712184498132301,0.0139588161633931,0.0,84,0,58.333333333333336,0.11392857142857135,0.5389795918367347,4
qwen3-8b-base,irrel_uhigh,0.5657142857142857,4900,0.007081620101682676,0.013879975399298044,0.011904761904761904,84,1,58.333333333333336,0.14636904761904768,0.5657142857142857,4
qwen3-8b-base,irrel_ulow,0.5671428571428572,4900,0.0070788841985995,0.01387461302925502,0.0,84,0,58.333333333333336,0.15056547619047628,0.5671428571428572,4
qwen3-8b-nothink,control,0.7918367346938775,245,0.025991117672813337,0.05094259063871414,0.5595238095238095,84,47,2.9166666666666665,,0.7918367346938775,1
qwen3-8b-nothink,domain_mhigh,0.8195918367346938,1225,0.01099097438292284,0.021542309790528767,0.42857142857142855,84,36,14.583333333333334,0.588005952380954,0.8580568323552195,7
qwen3-8b-nothink,domain_mlow,0.7828571428571428,1225,0.011784830060484057,0.02309826691854875,0.3333333333333333,84,28,14.583333333333334,0.48568452380952437,0.8254269664027729,7
qwen3-8b-nothink,domain_uhigh,0.8114285714285714,1225,0.011180787271100404,0.02191434305135679,0.4523809523809524,84,38,14.583333333333334,0.5752976190476196,0.8516769106043299,7
qwen3-8b-nothink,domain_ulow,0.793469387755102,1225,0.011570885484311486,0.022678935549250514,0.39285714285714285,84,33,14.583333333333334,0.54032738095238,0.8302233907072616,7
qwen3-8b-nothink,irrel_mhigh,0.7761224489795918,4900,0.005955478714051078,0.011672738279540112,0.21428571428571427,84,18,58.333333333333336,0.4796130952380956,0.7761224489795918,4
qwen3-8b-nothink,irrel_mlow,0.7522448979591837,4900,0.006167898369021821,0.012089080803282769,0.17857142857142858,84,15,58.333333333333336,0.44330357142857146,0.7522448979591837,4
qwen3-8b-nothink,irrel_uhigh,0.7583673469387755,4900,0.006115949688071463,0.011987261388620067,0.20238095238095238,84,17,58.333333333333336,0.451458333333334,0.7583673469387755,4
qwen3-8b-nothink,irrel_ulow,0.756734693877551,4900,0.0061299677640792504,0.01201473681759533,0.19047619047619047,84,16,58.333333333333336,0.44535714285714334,0.756734693877551,4
qwen3-8b-think,control,0.8612244897959184,245,0.02213195041997259,0.04337862282314627,0.7261904761904762,84,61,2.9166666666666665,,0.8612244897959184,1
qwen3-8b-think,domain_mhigh,0.8914285714285715,1225,0.00889222293082335,0.017428756944413766,0.6309523809523809,84,53,14.583333333333334,0.7477380952380952,0.912336766578702,7
qwen3-8b-think,domain_mlow,0.8783673469387755,1225,0.009342701477139328,0.018311694895193083,0.5595238095238095,84,47,14.583333333333334,0.704970238095241,0.901039318208673,7
qwen3-8b-think,domain_uhigh,0.8857142857142857,1225,0.009093940101259345,0.017824122598468314,0.6428571428571429,84,54,14.583333333333334,0.735476190476192,0.9100764766893799,7
qwen3-8b-think,domain_ulow,0.88,1225,0.009288407280256488,0.018205278269302717,0.5476190476190477,84,46,14.583333333333334,0.6942857142857158,0.8993305073063137,7
qwen3-8b-think,irrel_mhigh,0.8622448979591837,4900,0.0049239705106158315,0.00965098220080703,0.36904761904761907,84,31,58.333333333333336,0.6752083333333334,0.8622448979591837,4
qwen3-8b-think,irrel_mlow,0.8516326530612245,4900,0.005078571814201243,0.009954000755834436,0.3333333333333333,84,28,58.333333333333336,0.6509821428571421,0.8516326530612245,4
qwen3-8b-think,irrel_uhigh,0.8453061224489796,4900,0.00516642168260592,0.010126186497907603,0.35714285714285715,84,30,58.333333333333336,0.6358035714285707,0.8453061224489796,4
qwen3-8b-think,irrel_ulow,0.8559183673469388,4900,0.005017261809140462,0.009833833145915306,0.36904761904761907,84,31,58.333333333333336,0.6599404761904754,0.8559183673469388,4
