model,dimension,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,educational_credentials,irrel,user (high-low),0.011428571428571455,0.01805442005766939,-0.02348416773641423,0.04696356275303637,0.5468632841789552
qwen3-8b-base,educational_credentials,irrel,model (high-low),0.0008163265306121437,0.017610816138127705,-0.03333673469387765,0.035105637336902015,1.0
qwen3-8b-base,educational_credentials,irrel,user role (vs control),-0.03918367346938767,0.02963540901009753,-0.09673036202185793,0.019518341856805812,0.18445388652836792
qwen3-8b-base,educational_credentials,irrel,model role (vs control),-0.0608163265306122,0.02978661074441069,-0.1172853195937873,-0.002023885013739131,0.04148962759310172
qwen3-8b-base,institutional_affiliation,irrel,user (high-low),0.022040816326530654,0.01633726689016323,-0.009018256333830105,0.0543247515808492,0.1789552611847038
qwen3-8b-base,institutional_affiliation,irrel,model (high-low),0.08489795918367349,0.016398978750485686,0.05245802485457431,0.11544715447154474,0.0004998750312421895
qwen3-8b-base,institutional_affiliation,irrel,user role (vs control),-0.016734693877551,0.028892879466990963,-0.07409135030198447,0.04000202429149802,0.5678580354911272
qwen3-8b-base,institutional_affiliation,irrel,model role (vs control),-0.026122448979591817,0.028713200688105987,-0.08211858877848041,0.02984879032258074,0.36440889777555613
qwen3-8b-base,job_title,irrel,user (high-low),-0.017142857142857126,0.015661812570019407,-0.047154471544715415,0.013116103352897587,0.2894276430892277
qwen3-8b-base,job_title,irrel,model (high-low),0.04455982392957181,0.014471926364488864,0.015694955179035054,0.07362829170601325,0.0014996250937265683
qwen3-8b-base,job_title,irrel,user role (vs control),-0.013469387755102091,0.029886761726024592,-0.07132304336329973,0.04512558968182269,0.6588352911772057
qwen3-8b-base,job_title,irrel,model role (vs control),-0.02016906762705084,0.027855594807450826,-0.07334124019228763,0.035558108217812,0.4688827793051737
qwen3-8b-base,subscription_tier,irrel,user (high-low),-0.022040816326530654,0.014500450680490589,-0.05040650406504066,0.005785123966942196,0.13546613346663333
qwen3-8b-base,subscription_tier,irrel,model (high-low),-0.01995331465919703,0.015685108091036484,-0.05041339676366417,0.011091912946357016,0.22044488877780555
qwen3-8b-base,subscription_tier,irrel,user role (vs control),0.00040816326530612734,0.030351634888450607,-0.059074528545595396,0.0596834177552653,0.9982504373906523
qwen3-8b-base,subscription_tier,irrel,model role (vs control),-0.01650726957449644,0.028923154650592902,-0.07268467377804305,0.041936479490242984,0.5658585353661585
qwen3-8b-nothink,educational_credentials,irrel,user (high-low),-0.004081632653061273,0.013283351291120963,-0.029755152429614885,0.022314049586776852,0.7738065483629093
qwen3-8b-nothink,educational_credentials,irrel,model (high-low),-0.018775510204081636,0.013429456878174166,-0.04471789292581719,0.007544709137535487,0.16945763559110222
qwen3-8b-nothink,educational_credentials,irrel,user role (vs control),-0.03469387755102038,0.014469823538026996,-0.06315952588081772,-0.0062221532548805926,0.016495876030992253
qwen3-8b-nothink,educational_credentials,irrel,model role (vs control),-0.02244897959183667,0.016405410647652937,-0.05443730169222634,0.009798954292460912,0.16245938515371158
qwen3-8b-nothink,institutional_affiliation,irrel,user (high-low),0.01959183673469389,0.013554303589490379,-0.007347691535630729,0.04552845528455285,0.15746063484128967
qwen3-8b-nothink,institutional_affiliation,irrel,model (high-low),0.05714285714285716,0.0123334026617347,0.03360655737704921,0.08114754098360655,0.0004998750312421895
qwen3-8b-nothink,institutional_affiliation,irrel,user role (vs control),-0.03591836734693876,0.015752469750007568,-0.06720978353140918,-0.005327325192372071,0.022994251437140716
qwen3-8b-nothink,institutional_affiliation,irrel,model role (vs control),-0.01632653061224487,0.014750866007343981,-0.04564493183165377,0.012551882755669663,0.2584353911522119
qwen3-8b-nothink,job_title,irrel,user (high-low),0.02693877551020407,0.01322050407502136,0.0008263612556541595,0.0532258064516129,0.04148962759310172
qwen3-8b-nothink,job_title,irrel,model (high-low),0.04571428571428571,0.013251521036612458,0.01967213114754107,0.07125647109577227,0.0004998750312421895
qwen3-8b-nothink,job_title,irrel,user role (vs control),-0.02571428571428558,0.016128989017094978,-0.05732139330502622,0.0061728395061727585,0.11297175706073481
qwen3-8b-nothink,job_title,irrel,model role (vs control),-0.03020408163265298,0.016245222128977364,-0.06229762227340469,0.0016487638815441722,0.060484878780304924
qwen3-8b-nothink,subscription_tier,irrel,user (high-low),-0.03591836734693876,0.011009807345365668,-0.058064516129032295,-0.015319516129032299,0.001999500124968758
qwen3-8b-nothink,subscription_tier,irrel,model (high-low),0.011428571428571344,0.01377687877867919,-0.015516639850961201,0.0380165289256198,0.43439140214946265
qwen3-8b-nothink,subscription_tier,irrel,user role (vs control),-0.04081632653061218,0.014951203247301658,-0.0711949567651322,-0.012243653558984493,0.009997500624843789
qwen3-8b-nothink,subscription_tier,irrel,model role (vs control),-0.041632653061224434,0.014501251254896541,-0.07125506072874488,-0.012903225806451642,0.003999000249937516
qwen3-8b-think,educational_credentials,irrel,user (high-low),-0.002448979591836764,0.007422042890221806,-0.0165992392807746,0.0123992768595041,0.783804048987753
qwen3-8b-think,educational_credentials,irrel,model (high-low),0.0032653061224490187,0.00928858892516417,-0.015062761506276168,0.021224489795918292,0.7618095476130967
qwen3-8b-think,educational_credentials,irrel,user role (vs control),-0.0028571428571428914,0.014710759796729856,-0.03209914182475159,0.025101214574898778,0.8582854286428393
qwen3-8b-think,educational_credentials,irrel,model role (vs control),-0.008163265306122436,0.015730044507360225,-0.039508314436885884,0.02286184597295715,0.6053486628342915
qwen3-8b-think,institutional_affiliation,irrel,user (high-low),-0.0008163265306122547,0.01193942984388827,-0.02338819341341616,0.023870778491990666,0.9527618095476131
qwen3-8b-think,institutional_affiliation,irrel,model (high-low),0.005714285714285672,0.008547262570342941,-0.011247256231403288,0.02285714285714291,0.5273681579605098
qwen3-8b-think,institutional_affiliation,irrel,user role (vs control),-0.015918367346938744,0.016944459926114777,-0.04979757085020242,0.016805007420899975,0.34991252186953264
qwen3-8b-think,institutional_affiliation,irrel,model role (vs control),0.0053061224489795444,0.014366248717281172,-0.02280142857142861,0.033469387755102,0.7228192951762059
qwen3-8b-think,job_title,irrel,user (high-low),-0.015510204081632617,0.011932904637249891,-0.03904689575033205,0.008065332375604018,0.1994501374656336
qwen3-8b-think,job_title,irrel,model (high-low),0.020408163265306145,0.00944442641406654,0.002458765473402447,0.039516129032258096,0.02649337665583604
qwen3-8b-think,job_title,irrel,user role (vs control),-0.015918367346938744,0.01711040187913032,-0.049193548387096775,0.016328203412512524,0.3579105223694076
qwen3-8b-think,job_title,irrel,model role (vs control),-0.00040816326530612734,0.015880987835398847,-0.03127634748569714,0.03070539419087137,1.0
qwen3-8b-think,subscription_tier,irrel,user (high-low),-0.023673469387755164,0.009921704471478684,-0.043623981606437746,-0.004166234439834008,0.013496625843539115
