model,prompt_type,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,domain,user (high-low),0.06075949367088607,0.029169960850084074,0.002564102564102555,0.1164556962025316,0.04698825293676581
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,domain,model (high-low),0.06329113924050633,0.03363770387161142,-0.0025974025974025983,0.1306666666666666,0.06598350412396901
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,domain,user role (vs control),0.025316455696202667,0.046355087111450304,-0.06544103313840156,0.11392405063291133,0.5878530367408148
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,domain,model role (vs control),0.0037974683544304,0.05211503646174637,-0.09868505398110665,0.10750480769230764,0.9597600599850038
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,irrel,user (high-low),-0.018354430379746822,0.014342213775627392,-0.04625115740740742,0.009377966772151929,0.20994751312171958
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,irrel,model (high-low),0.007732107619001782,0.013599514787765584,-0.01948533653165757,0.03398694301999244,0.5573606598350412
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,irrel,user role (vs control),-0.004746835443038,0.04877791783765254,-0.10032812499999998,0.0896137196137196,0.9202699325168708
qwen3-8b-base,Q_W_2_UNSAFE_PROMPT,irrel,model role (vs control),-0.05372888289935984,0.04714075706439756,-0.14547038169405557,0.03861159091313328,0.2659335166208448
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,user (high-low),0.0,0.023001740816901428,-0.045238095238095244,0.0444444444444444,1.0
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,model (high-low),0.04390243902439028,0.028891831589380974,-0.012345679012345625,0.10000000000000003,0.13146713321669581
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,user role (vs control),0.036585365853658514,0.04880916816765049,-0.060493827160493785,0.13209986772486781,0.4483879030242439
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,model role (vs control),0.06341463414634146,0.04683252718834648,-0.030864197530864224,0.15357360627177696,0.17345663584103974
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,user (high-low),-0.020121951219512157,0.014918508444147143,-0.04999999999999999,0.009146341463414588,0.1744563859035241
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,model (high-low),0.026219512195121975,0.014197079257031862,-0.0018292682926829285,0.053049721469436914,0.07148212946763309
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,user role (vs control),-0.06493902439024396,0.049424595377248685,-0.1638639744161832,0.0301981707317074,0.18395401149712573
