model,block,contrast,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,domain,model level - user level,0.023673469387755164,0.022303380436782535,-0.01901114550064204,0.06831864794902431,0.29142714321419644
qwen3-8b-base,domain,model presence - user presence,0.0053061224489796555,0.013301961997355,-0.02137167297225551,0.031154566744730758,0.7128217945513622
qwen3-8b-base,irrel,model level - user level,0.029006758277014377,0.010469192115058715,0.00805657207914656,0.0491963602146277,0.0069982504373906525
qwen3-8b-base,irrel,model presence - user presence,-0.013659886167615376,0.007129370943108684,-0.027373468067986073,0.0006118106300409826,0.05898525368657836
qwen3-8b-nothink,domain,model level - user level,0.018775510204081636,0.012979061078718166,-0.007483770579574321,0.043333333333333335,0.1699575106223444
qwen3-8b-nothink,domain,model presence - user presence,-0.001224489795918382,0.007064471643198252,-0.014693877551020362,0.013170831474044341,0.8967758060484878
qwen3-8b-nothink,irrel,model level - user level,0.022244897959183607,0.007643949710714774,0.006636963471872748,0.03739962862591585,0.0029992501874531365
qwen3-8b-nothink,irrel,model presence - user presence,0.006632653061224514,0.0036617526358420235,-0.0007029535144627425,0.013619275759084176,0.07898025493626594
qwen3-8b-think,domain,model level - user level,0.007346938775510292,0.009911944961602194,-0.01133718442447595,0.02704918032786885,0.47638090477380657
qwen3-8b-think,domain,model presence - user presence,0.0020408163265306367,0.005609979749417408,-0.009091852131271274,0.01290453180096647,0.7313171707073232
qwen3-8b-think,irrel,model level - user level,0.0212244897959184,0.00650111725008886,0.009051650289745665,0.034221311475409744,0.000999750062484379
qwen3-8b-think,irrel,model presence - user presence,0.006326530612244863,0.003152443571571141,0.0006096943813566624,0.012909836065573724,0.03449137715571107
