model,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,domain,user (high-low),0.013061224489795853,0.01399488571996285,-0.014757146728085662,0.03984146341463412,0.36790802299425146
qwen3-8b-base,domain,model (high-low),0.03673469387755102,0.018350442309208178,0.0016326530612245094,0.07295081967213113,0.0424893776555861
qwen3-8b-base,domain,user role (vs control),0.03510204081632651,0.03043485975366422,-0.02355430692736675,0.09590288378575698,0.25343664083979006
qwen3-8b-base,domain,model role (vs control),0.04040816326530616,0.029427303200072946,-0.016943906244641857,0.09674796747967473,0.1744563859035241
qwen3-8b-base,irrel,user (high-low),-0.0014285714285714457,0.00907120577702952,-0.019557540322580624,0.016326633475971117,0.8902774306423394
qwen3-8b-base,irrel,model (high-low),0.02757818684844293,0.008617702662922706,0.010307572161292106,0.04435371336022099,0.0029992501874531365
qwen3-8b-base,irrel,user role (vs control),-0.017244897959183603,0.028960602738972947,-0.07428286007025763,0.04037081000932955,0.5523619095226193
qwen3-8b-base,irrel,model role (vs control),-0.03090478412679898,0.027774812851399596,-0.08402869036537286,0.024489641850810127,0.2604348912771807
qwen3-8b-nothink,domain,user (high-low),0.01795918367346938,0.011117346657532287,-0.0024901473983923255,0.03934459148067687,0.1094726318420395
qwen3-8b-nothink,domain,model (high-low),0.03673469387755102,0.012354065298883716,0.012901930301852493,0.06072874493927127,0.0029992501874531365
qwen3-8b-nothink,domain,user role (vs control),0.0106122448979592,0.01713758095812182,-0.022448979591836782,0.044629199972903495,0.5738565358660335
qwen3-8b-nothink,domain,model role (vs control),0.009387755102040818,0.01705239528372648,-0.023456790123456805,0.042858588779641375,0.6133466633341664
qwen3-8b-nothink,irrel,user (high-low),0.0016326530612245094,0.008201173859444242,-0.014777327935222684,0.017742947766230224,0.8477880529867533
qwen3-8b-nothink,irrel,model (high-low),0.023877551020408116,0.0074599051297303725,0.009311740890688314,0.03861788617886175,0.0004998750312421895
qwen3-8b-nothink,irrel,user role (vs control),-0.03428571428571425,0.014360741633257255,-0.06275303643724695,-0.006376018393562284,0.021994501374656337
qwen3-8b-nothink,irrel,model role (vs control),-0.02765306122448974,0.014657670741373705,-0.05686475409836056,0.0011251254600201503,0.06098475381154711
qwen3-8b-think,domain,user (high-low),0.005714285714285672,0.009467594573136291,-0.013061224489795964,0.0240663900414938,0.6003499125218695
qwen3-8b-think,domain,model (high-low),0.013061224489795964,0.008114454457747378,-0.002409881461329258,0.029959514170040502,0.10647338165458635
qwen3-8b-think,domain,user role (vs control),0.021632653061224416,0.016749579459015073,-0.010976729716276761,0.05352697095435688,0.20494876280929766
qwen3-8b-think,domain,model role (vs control),0.023673469387755053,0.016602079535306204,-0.009054433221099913,0.05524300091791235,0.160959760059985
qwen3-8b-think,irrel,user (high-low),-0.0106122448979592,0.005742977978633907,-0.0220653667300782,0.0008130081300813385,0.07048237940514872
qwen3-8b-think,irrel,model (high-low),0.0106122448979592,0.004261576534481111,0.002663662596185984,0.019468337664934013,0.0094976255936016
qwen3-8b-think,irrel,user role (vs control),-0.0106122448979592,0.015302211096330055,-0.04085390341855219,0.019184264559482446,0.49987503124218946
qwen3-8b-think,irrel,model role (vs control),-0.004285714285714337,0.014438430404103648,-0.03302845528455278,0.024177287949217738,0.7708072981754561
