model,block,effect,estimate,se,ci_lo,ci_hi,p,n,n_facts
qwen3-8b-think,domain,user (high-low),0.005714285714285724,0.008691054628259686,-0.011320181357103259,0.022748752785674706,0.5108655877232489,5145,84
qwen3-8b-think,domain,model (high-low),0.013061224489795943,0.008691054628259686,-0.0039732425815930394,0.030095691561184926,0.13288149685343945,5145,84
qwen3-8b-think,domain,user role (vs control),0.021632653061223833,0.014412483617209579,-0.006615814828506941,0.04988112095095461,0.13336426288684902,5145,84
qwen3-8b-think,domain,model role (vs control),0.02367346938775445,0.01441248361720958,-0.004574998501976329,0.05192193727748523,0.10047256165165214,5145,84
qwen3-8b-think,irrel,user (high-low),-0.0106122448979592,0.004476958797247622,-0.019387084140564538,-0.0018374056553538617,0.017768186810210213,19845,84
qwen3-8b-think,irrel,model (high-low),0.01061224489795919,0.004476958797247624,0.0018374056553538461,0.01938708414056453,0.017768186810210397,19845,84
qwen3-8b-think,irrel,user role (vs control),-0.010612244897958922,0.014333261692323301,-0.03870543781491259,0.017480948018994746,0.4590616380856093,19845,84
qwen3-8b-think,irrel,model role (vs control),-0.004285714285714016,0.014333261692323301,-0.03237890720266769,0.02380747863123965,0.7649363703577526,19845,84
qwen3-8b-nothink,domain,user (high-low),0.01795918367346934,0.010699988557231662,-0.003012793898704718,0.0389311612456434,0.09326315086712354,5145,84
qwen3-8b-nothink,domain,model (high-low),0.03673469387755097,0.010699988557231662,0.01576271630537691,0.05770667144972502,0.0005966061396246671,5145,84
qwen3-8b-nothink,domain,user role (vs control),0.010612244897960001,0.017743923652716757,-0.024165845461364844,0.04539033525728485,0.5497880947207716,5145,84
qwen3-8b-nothink,domain,model role (vs control),0.009387755102041637,0.017743923652716757,-0.02539033525728321,0.04416584546136648,0.5967577745253712,5145,84
qwen3-8b-nothink,irrel,user (high-low),0.0016326530612244955,0.005517233861323686,-0.009181125306969929,0.01244643142941892,0.7672921158670083,19845,84
qwen3-8b-nothink,irrel,model (high-low),0.023877551020408165,0.00551723386132369,0.013063772652213732,0.0346913293886026,1.5059791465594348e-05,19845,84
qwen3-8b-nothink,irrel,user role (vs control),-0.03428571428571568,0.01766376693051451,-0.06890669746952413,0.00033526889809275956,0.05225592432183542,19845,84
qwen3-8b-nothink,irrel,model role (vs control),-0.027653061224491193,0.01766376693051451,-0.06227404440829963,0.006967921959317249,0.11745995966396501,19845,84
qwen3-8b-base,domain,user (high-low),0.013061224489795933,0.016327717042896893,-0.018941100914281975,0.045063549893873844,0.42374447799834136,5145,84
qwen3-8b-base,domain,model (high-low),0.03673469387755099,0.016327717042896893,0.004732368473473081,0.0687370192816289,0.024459325646900874,5145,84
qwen3-8b-base,domain,user role (vs control),0.03510204081632395,0.02707645555719048,-0.017967812075769397,0.0881718937084173,0.19483613726789328,5145,84
qwen3-8b-base,domain,model role (vs control),0.040408163265303526,0.02707645555719048,-0.012661689626789818,0.09347801615739687,0.13560146599120543,5145,84
qwen3-8b-base,irrel,user (high-low),-0.0014285714285714353,0.00806200307743422,-0.017230097460342507,0.014372954603199636,0.8593528074123142,19843,84
qwen3-8b-base,irrel,model (high-low),0.02755430920054169,0.008062836003365466,0.011751150633945377,0.043357467767138,0.000632115590604779,19843,84
qwen3-8b-base,irrel,user role (vs control),-0.017244897959179335,0.025811003653687714,-0.06783446512040725,0.03334466920204859,0.504055754886233,19843,84
qwen3-8b-base,irrel,model role (vs control),-0.0309167229507452,0.025811068697553622,-0.0815064175979503,0.0196729716964599,0.23099149482268422,19843,84
