model,condition,delta_vs_control,se,ci_lo,ci_hi,p
qwen3-8b-base,domain_uhigh,0.041632653061224434,0.03064245109842536,-0.01795918367346938,0.10285893604303648,0.17795551112221944
qwen3-8b-base,domain_ulow,0.02857142857142858,0.031804559111681466,-0.03265640682502504,0.09143793911007028,0.38190452386903273
qwen3-8b-base,domain_mhigh,0.05877551020408167,0.030476320421562956,-0.001626016260162566,0.11693892604248625,0.06198450387403149
qwen3-8b-base,domain_mlow,0.022040816326530654,0.031168824284724953,-0.0380566801619433,0.08164002950577823,0.5068732816795801
qwen3-8b-base,irrel_uhigh,-0.01795918367346938,0.03075557101015474,-0.07842474576559412,0.0424268590756468,0.561859535116221
qwen3-8b-base,irrel_ulow,-0.016530612244897935,0.027796964959742477,-0.07136933643421237,0.03959289447486315,0.5438640339915021
qwen3-8b-base,irrel_mhigh,-0.017115690702577457,0.028908723243723195,-0.07293356314854338,0.04008295137301179,0.5533616595851037
qwen3-8b-base,irrel_mlow,-0.04469387755102039,0.027281836042899216,-0.09612602675925146,0.009524249673771239,0.1039740064983754
qwen3-8b-nothink,domain_uhigh,0.01959183673469389,0.01824624648929783,-0.016460905349794275,0.05506072874493928,0.3254186453386653
qwen3-8b-nothink,domain_ulow,0.0016326530612245094,0.017783856432057082,-0.03252032520325199,0.03592766622778146,0.9722569357660585
qwen3-8b-nothink,domain_mhigh,0.027755102040816326,0.019080113429897856,-0.009837077514673132,0.06449045424621472,0.15946013496625844
qwen3-8b-nothink,domain_mlow,-0.00897959183673469,0.01714144410578313,-0.042276422764227606,0.024798553719008312,0.6098475381154711
qwen3-8b-nothink,irrel_uhigh,-0.033469387755102,0.015173073906536896,-0.0639133023031992,-0.004524916279302248,0.02799300174956261
qwen3-8b-nothink,irrel_ulow,-0.03510204081632651,0.01469248975080539,-0.06431451612903216,-0.006637638099141069,0.022494376405898527
qwen3-8b-nothink,irrel_mhigh,-0.01571428571428568,0.015501248235910117,-0.04611168032786883,0.014026603068449953,0.29192701824543865
qwen3-8b-nothink,irrel_mlow,-0.0395918367346938,0.014738759056515846,-0.06844643341010706,-0.011040015243902492,0.007498125468632842
qwen3-8b-think,domain_uhigh,0.024489795918367308,0.017192350022715415,-0.009677419354838679,0.057613168724279795,0.16245938515371158
qwen3-8b-think,domain_ulow,0.018775510204081636,0.01761640140053571,-0.016326530612244875,0.05294294826364285,0.3029242689327668
qwen3-8b-think,domain_mhigh,0.03020408163265309,0.017447543963361185,-0.004081632653061165,0.06316330950833875,0.08847788052986753
qwen3-8b-think,domain_mlow,0.017142857142857126,0.016726131800666677,-0.01619597774925111,0.04980421686746992,0.3079230192451887
qwen3-8b-think,irrel_uhigh,-0.015918367346938744,0.015593049775090566,-0.04676398026315789,0.01451695531464824,0.3044238940264934
qwen3-8b-think,irrel_ulow,-0.0053061224489795444,0.015545514646237293,-0.0358313879456707,0.024583504098360614,0.7433141714571357
qwen3-8b-think,irrel_mhigh,0.0010204081632653184,0.014755628789883412,-0.02766565590363044,0.030372096976671172,0.9487628092976755
qwen3-8b-think,irrel_mlow,-0.009591836734693882,0.014432202928280667,-0.0381048387096774,0.018367874009107776,0.5183704073981504
