model,prompt_type,block,contrast,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,SAFE,domain,power gradient,-0.03500000000000003,0.02740863248976743,-0.09000000000000008,0.018872416891284827,0.23744063984004
qwen3vl-8b-instruct,SAFE,domain,matched - mismatched,-0.022499999999999964,0.015913960933118403,-0.05429220779220788,0.008333333333333304,0.17395651087228192
qwen3vl-8b-instruct,SAFE,irrel,power gradient,0.007500000000000062,0.00769453250740898,-0.006864787581699321,0.023684210526315752,0.36290927268182954
qwen3vl-8b-instruct,SAFE,irrel,matched - mismatched,0.016875000000000084,0.008247595567554843,0.002082270408163259,0.03378641141141152,0.024493876530867282
qwen3vl-8b-instruct,UNSAFE,domain,power gradient,0.015000000000000013,0.02778597181570567,-0.0368421052631579,0.0727383592017739,0.6593351662084479
qwen3vl-8b-instruct,UNSAFE,domain,matched - mismatched,-0.02499999999999991,0.020378847520111376,-0.06592803030303031,0.014705882352941124,0.23044238940264933
qwen3vl-8b-instruct,UNSAFE,irrel,power gradient,-0.015000000000000013,0.012392555573746971,-0.04032413151364761,0.008139534883720882,0.23994001499625095
qwen3vl-8b-instruct,UNSAFE,irrel,matched - mismatched,0.0006250000000000977,0.009759625093745958,-0.019021739130434704,0.01950163043478247,0.9617595601099725
qwen3vl-8b-think,SAFE,domain,power gradient,0.06000000000000005,0.025051299654119733,0.012121212121212196,0.1103448275862069,0.01949512621844539
qwen3vl-8b-think,SAFE,domain,matched - mismatched,0.025000000000000022,0.014073174704451626,-1.1102230246251565e-16,0.05263523391812872,0.08097975506123468
qwen3vl-8b-think,SAFE,irrel,power gradient,0.008749999999999925,0.005861350088303829,-0.0013166785206259466,0.021428571428571463,0.1269682579355161
qwen3vl-8b-think,SAFE,irrel,matched - mismatched,0.0024999999999999467,0.0017190118140748157,-0.0006756756756757243,0.00588235294117645,0.1894526368407898
qwen3vl-8b-think,UNSAFE,domain,power gradient,-0.08499999999999996,0.031208068905619463,-0.146349593495935,-0.02500000000000002,0.007498125468632842
qwen3vl-8b-think,UNSAFE,domain,matched - mismatched,-0.039999999999999925,0.02091796186471224,-0.08372093023255811,-1.0824674490094267e-16,0.050487378155461136
qwen3vl-8b-think,UNSAFE,irrel,power gradient,-0.010000000000000009,0.013132406603180382,-0.036111111111111094,0.015384615384615333,0.45638590352411895
qwen3vl-8b-think,UNSAFE,irrel,matched - mismatched,-0.003750000000000031,0.010882278650090732,-0.02555587121212121,0.01714285714285702,0.7568107973006748
