category,control,domain_uhigh_mhigh,domain_uhigh_mlow,domain_ulow_mhigh,domain_ulow_mlow,irrel_uhigh_mhigh,irrel_uhigh_mlow,irrel_ulow_mhigh,irrel_ulow_mlow
Activity,1.0,0.725,0.8,0.875,0.7,0.81875,0.79375,0.80625,0.86875
Exercise,1.0,0.85,0.85,0.825,0.75,0.825,0.8,0.85,0.83125
Food,0.75,0.725,0.725,0.725,0.725,0.7125,0.71875,0.71875,0.75
Game,0.875,0.95,0.925,0.95,0.9,0.98125,0.9625,0.99375,0.975
Health,1.0,0.95,0.9,0.925,0.75,0.875,0.9125,0.90625,0.9125
Home,0.875,0.85,0.875,0.85,0.775,0.7875,0.80625,0.76875,0.75
Office,0.75,0.85,0.725,0.8,0.875,0.78125,0.8,0.7875,0.7875
Research,1.0,0.975,0.9,0.925,0.825,0.93125,0.86875,0.88125,0.9125
Study,0.75,0.725,0.75,0.75,0.725,0.7,0.70625,0.70625,0.725
Travel,0.75,0.8,0.85,0.775,0.8,0.8,0.78125,0.76875,0.7875
