category,control,domain_uhigh_mhigh,domain_uhigh_mlow,domain_ulow_mhigh,domain_ulow_mlow,irrel_uhigh_mhigh,irrel_uhigh_mlow,irrel_ulow_mhigh,irrel_ulow_mlow
Activity,0.75,0.725,0.625,0.725,0.625,0.75,0.73125,0.73125,0.73125
Exercise,0.875,0.8,0.875,0.875,0.925,0.85625,0.90625,0.9,0.925
Food,0.75,0.725,0.775,0.75,0.775,0.675,0.7125,0.7,0.7125
Game,1.0,0.875,0.875,0.975,1.0,0.98125,1.0,0.99375,0.9875
Health,1.0,1.0,0.925,0.875,0.875,0.95,0.9375,0.9375,0.94375
Home,0.75,0.9,0.975,0.875,0.825,0.8,0.8,0.8375,0.8
Office,0.625,0.875,0.85,0.9,0.75,0.74375,0.74375,0.73125,0.775
Research,1.0,0.975,0.95,0.825,0.85,0.95,0.975,0.95625,0.9625
Study,0.75,0.75,0.65,0.7,0.65,0.71875,0.69375,0.7,0.69375
Travel,0.875,0.825,0.775,0.9,0.8,0.81875,0.78125,0.8,0.78125
