condition,status_dimension,pass_rate,n
control,none,0.8375,80
domain_uhigh_mhigh,Activity,0.725,40
domain_uhigh_mhigh,Exercise,0.8,40
domain_uhigh_mhigh,Food,0.725,40
domain_uhigh_mhigh,Game,0.875,40
domain_uhigh_mhigh,Health,1.0,40
domain_uhigh_mhigh,Home,0.9,40
domain_uhigh_mhigh,Office,0.875,40
domain_uhigh_mhigh,Research,0.975,40
domain_uhigh_mhigh,Study,0.75,40
domain_uhigh_mhigh,Travel,0.825,40
domain_uhigh_mlow,Activity,0.625,40
domain_uhigh_mlow,Exercise,0.875,40
domain_uhigh_mlow,Food,0.775,40
domain_uhigh_mlow,Game,0.875,40
domain_uhigh_mlow,Health,0.925,40
domain_uhigh_mlow,Home,0.975,40
domain_uhigh_mlow,Office,0.85,40
domain_uhigh_mlow,Research,0.95,40
domain_uhigh_mlow,Study,0.65,40
domain_uhigh_mlow,Travel,0.775,40
domain_ulow_mhigh,Activity,0.725,40
domain_ulow_mhigh,Exercise,0.875,40
domain_ulow_mhigh,Food,0.75,40
domain_ulow_mhigh,Game,0.975,40
domain_ulow_mhigh,Health,0.875,40
domain_ulow_mhigh,Home,0.875,40
domain_ulow_mhigh,Office,0.9,40
domain_ulow_mhigh,Research,0.825,40
domain_ulow_mhigh,Study,0.7,40
domain_ulow_mhigh,Travel,0.9,40
domain_ulow_mlow,Activity,0.625,40
domain_ulow_mlow,Exercise,0.925,40
domain_ulow_mlow,Food,0.775,40
domain_ulow_mlow,Game,1.0,40
domain_ulow_mlow,Health,0.875,40
domain_ulow_mlow,Home,0.825,40
domain_ulow_mlow,Office,0.75,40
domain_ulow_mlow,Research,0.85,40
domain_ulow_mlow,Study,0.65,40
domain_ulow_mlow,Travel,0.8,40
irrel_uhigh_mhigh,educational_credentials,0.825,400
irrel_uhigh_mhigh,institutional_affiliation,0.83,400
irrel_uhigh_mhigh,job_title,0.805,400
irrel_uhigh_mhigh,subscription_tier,0.8375,400
irrel_uhigh_mlow,educational_credentials,0.8325,400
irrel_uhigh_mlow,institutional_affiliation,0.8425,400
irrel_uhigh_mlow,job_title,0.8125,400
irrel_uhigh_mlow,subscription_tier,0.825,400
irrel_ulow_mhigh,educational_credentials,0.8325,400
irrel_ulow_mhigh,institutional_affiliation,0.82,400
irrel_ulow_mhigh,job_title,0.8025,400
irrel_ulow_mhigh,subscription_tier,0.86,400
irrel_ulow_mlow,educational_credentials,0.8375,400
irrel_ulow_mlow,institutional_affiliation,0.8375,400
irrel_ulow_mlow,job_title,0.815,400
irrel_ulow_mlow,subscription_tier,0.835,400
