model,condition,rate,n,se,ci95,all_pass_rate,facts,facts_passed,rows_per_fact,all_pass_rate_k5,rate_balanced,n_dimensions
qwen3vl-8b-instruct,control,0.875,80,0.037208784861724194,0.07292921832897942,0.875,80,70,1.0,,0.875,1
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.84,400,0.018353258709644944,0.03597238707090409,0.625,80,50,5.0,0.625,0.8400000000000001,10
qwen3vl-8b-instruct,domain_uhigh_mlow,0.83,400,0.01880516113233366,0.03685811581937397,0.5875,80,47,5.0,0.5875000000000038,0.8300000000000001,10
qwen3vl-8b-instruct,domain_ulow_mhigh,0.84,400,0.018353258709644927,0.035972387070904055,0.6375,80,51,5.0,0.6374999999999953,0.8400000000000001,10
qwen3vl-8b-instruct,domain_ulow_mlow,0.7825,400,0.020653105138930056,0.04048008607230291,0.525,80,42,5.0,0.5250000000000036,0.7825,10
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.82125,1600,0.00958156576134737,0.018779868892240845,0.475,80,38,20.0,0.6463125000000004,0.82125,4
qwen3vl-8b-instruct,irrel_uhigh_mlow,0.815,1600,0.009710474155142925,0.019032529344080132,0.4375,80,35,20.0,0.6385312499999997,0.815,4
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.81875,1600,0.009633640424569188,0.018881935232155606,0.425,80,34,20.0,0.6387812499999999,0.81875,4
qwen3vl-8b-instruct,irrel_ulow_mlow,0.83,1600,0.009393755993067193,0.0184117617464117,0.45,80,36,20.0,0.6590625,0.83,4
qwen3vl-8b-think,control,0.8375,80,0.04150548995256569,0.08135076030702876,0.8375,80,67,1.0,,0.8375,1
qwen3vl-8b-think,domain_uhigh_mhigh,0.845,400,0.01811789572117603,0.03551107561350502,0.65,80,52,5.0,0.6500000000000036,0.845,10
qwen3vl-8b-think,domain_uhigh_mlow,0.8275,400,0.01891437969901462,0.03707218421006865,0.5875,80,47,5.0,0.5875000000000038,0.8275,10
qwen3vl-8b-think,domain_ulow_mhigh,0.84,400,0.01835325870964494,0.03597238707090408,0.5375,80,43,5.0,0.5374999999999963,0.8400000000000001,10
qwen3vl-8b-think,domain_ulow_mlow,0.8075,400,0.019737865470545023,0.03868621632226824,0.6125,80,49,5.0,0.6125000000000044,0.8074999999999999,10
qwen3vl-8b-think,irrel_uhigh_mhigh,0.824375,1600,0.009515494075536153,0.01865036838805086,0.6125,80,49,20.0,0.7138124999999995,0.824375,4
qwen3vl-8b-think,irrel_uhigh_mlow,0.828125,1600,0.00943474293334277,0.01849209614935183,0.6375,80,51,20.0,0.731093750000001,0.828125,4
qwen3vl-8b-think,irrel_ulow_mhigh,0.82875,1600,0.00942112636319137,0.018465407671855085,0.5375,80,43,20.0,0.7050312500000002,0.82875,4
qwen3vl-8b-think,irrel_ulow_mlow,0.83125,1600,0.009366201311998675,0.018357754571517403,0.675,80,54,20.0,0.7279062500000003,0.83125,4
