model,prompt_type,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,SAFE,domain,user (high-low),-0.022499999999999964,0.02657130186113506,-0.07894736842105265,0.025000000000000133,0.41539615096225946
qwen3vl-8b-instruct,SAFE,domain,model (high-low),0.012500000000000067,0.027619225384139336,-0.040000000000000036,0.06666666666666665,0.7303174206448388
qwen3vl-8b-instruct,SAFE,domain,interaction,-0.04500000000000004,0.03182792186623681,-0.10858441558441566,0.01666666666666661,0.16945763559110222
qwen3vl-8b-instruct,SAFE,irrel,user (high-low),0.001875000000000071,0.007554528700181763,-0.013157894736842035,0.016216216216216054,0.8122969257685578
qwen3vl-8b-instruct,SAFE,irrel,model (high-low),-0.005625000000000102,0.007658635116234142,-0.021213068181818208,0.008975694444444526,0.48037990502374406
qwen3vl-8b-instruct,SAFE,irrel,interaction,0.03375000000000006,0.01649519113510969,0.0041645408163265155,0.06757282282282293,0.024493876530867282
qwen3vl-8b-instruct,UNSAFE,domain,user (high-low),0.06999999999999995,0.023419334446098578,0.027272727272727226,0.11818181818181817,0.0014996250937265683
qwen3vl-8b-instruct,UNSAFE,domain,model (high-low),0.05500000000000005,0.023488630116290796,0.008506205673758881,0.10232558139534875,0.023994001499625092
qwen3vl-8b-instruct,UNSAFE,domain,interaction,-0.04999999999999993,0.04075769504022275,-0.13185606060606062,0.029411764705882252,0.22094476380904773
qwen3vl-8b-instruct,UNSAFE,irrel,user (high-low),-0.014375000000000027,0.012469167866021619,-0.03963414634146334,0.008750844594594635,0.24293926518370407
qwen3vl-8b-instruct,UNSAFE,irrel,model (high-low),0.0006250000000000977,0.007882885270212393,-0.014583333333333393,0.016892388712241652,0.9802549362659335
qwen3vl-8b-instruct,UNSAFE,irrel,interaction,0.0012500000000000844,0.019519250187491916,-0.03804347826086951,0.039003260869565154,0.9582604348912772
qwen3vl-8b-think,SAFE,domain,user (high-low),0.040000000000000036,0.02189623984626094,-0.004761904761904745,0.08260869565217388,0.08247938015496126
qwen3vl-8b-think,SAFE,domain,model (high-low),-0.020000000000000018,0.023450838507601646,-0.06666666666666676,0.024392732702837153,0.41639590102474383
qwen3vl-8b-think,SAFE,domain,interaction,0.050000000000000044,0.02814634940890325,-1.1102230246251565e-16,0.10527046783625744,0.07848037990502374
qwen3vl-8b-think,SAFE,irrel,user (high-low),0.003750000000000031,0.0037068121151130444,-0.002777777777777768,0.011874999999999969,0.3464133966508373
qwen3vl-8b-think,SAFE,irrel,model (high-low),-0.004999999999999893,0.0027159979947072067,-0.010714285714285676,0.0,0.0664833791552112
qwen3vl-8b-think,SAFE,irrel,interaction,0.0050000000000000044,0.0034380236281496275,-0.0013513513513513404,0.011764705882352903,0.17745563609097725
qwen3vl-8b-think,UNSAFE,domain,user (high-low),-0.014999999999999902,0.01930308705174063,-0.05319148936170204,0.022499999999999964,0.48087978005498627
qwen3vl-8b-think,UNSAFE,domain,model (high-low),0.07000000000000006,0.025650742661296227,0.02058823529411768,0.12093329253365982,0.006498375406148463
qwen3vl-8b-think,UNSAFE,domain,interaction,-0.07999999999999996,0.04183592372942449,-0.16744186046511622,-1.1102230246251565e-16,0.04948762809297676
qwen3vl-8b-think,UNSAFE,irrel,user (high-low),-0.011249999999999982,0.011459850301452868,-0.03276202359346643,0.012098842018196745,0.33441639590102473
qwen3vl-8b-think,UNSAFE,irrel,model (high-low),-0.0012499999999999734,0.01390475438708489,-0.028660823170731622,0.02666761363636359,0.9527618095476131
qwen3vl-8b-think,UNSAFE,irrel,interaction,-0.007500000000000062,0.021764557300181463,-0.05111174242424242,0.03428571428571415,0.754811297175706
