model,block,prompt_type,effect,n,n_facts,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,SAFE,user (high-low),800,40,-0.02250000000000001,0.021381692612199108,-0.06440811751991025,0.01940811751991024,0.2926609693175146
qwen3vl-8b-instruct,domain,SAFE,model (high-low),800,40,0.012499999999999994,0.021381692612199108,-0.029408117519910255,0.054408117519910246,0.5588084508861124
qwen3vl-8b-instruct,domain,SAFE,interaction,800,40,-0.045,0.042763385224398216,-0.12881623503982048,0.0388162350398205,0.29266096931751473
qwen3vl-8b-instruct,domain,UNSAFE,user (high-low),800,40,0.07,0.020590792507877924,0.029642046684559276,0.11035795331544074,0.0006748998954920532
qwen3vl-8b-instruct,domain,UNSAFE,model (high-low),800,40,0.055,0.020590792507877924,0.01464204668455927,0.09535795331544072,0.0075603840436316684
qwen3vl-8b-instruct,domain,UNSAFE,interaction,800,40,-0.05000000000000002,0.04118158501575585,-0.13071590663088148,0.030715906630881445,0.22469621118531136
qwen3vl-8b-instruct,irrel,SAFE,user (high-low),3200,40,0.0018749999999999691,0.007248762787195148,-0.012332575062902522,0.01608257506290246,0.7958938571697806
qwen3vl-8b-instruct,irrel,SAFE,model (high-low),3200,40,-0.005625000000000011,0.007248762787195148,-0.0198325750629025,0.00858257506290248,0.4377522377717512
qwen3vl-8b-instruct,irrel,SAFE,interaction,3200,40,0.03374999999999998,0.014497525574390296,0.005334849874195,0.062165150125804966,0.019912981031349662
qwen3vl-8b-instruct,irrel,UNSAFE,user (high-low),3200,40,-0.01437500000000001,0.010684583662189736,-0.0353167839778919,0.006566783977891875,0.17849726913128328
qwen3vl-8b-instruct,irrel,UNSAFE,model (high-low),3200,40,0.0006249999999999882,0.010684583662189736,-0.020316783977891897,0.02156678397789187,0.9533539515809503
qwen3vl-8b-instruct,irrel,UNSAFE,interaction,3200,40,0.0012499999999999794,0.021369167324379473,-0.04063356795578379,0.04313356795578375,0.9533539515809502
qwen3vl-8b-think,domain,SAFE,user (high-low),800,40,0.04000000000000001,0.019228003749601822,0.0023131126507804356,0.07768688734921958,0.03749810203905983
qwen3vl-8b-think,domain,SAFE,model (high-low),800,40,-0.01999999999999999,0.019228003749601822,-0.05768688734921956,0.017686887349219582,0.29827041268450527
qwen3vl-8b-think,domain,SAFE,interaction,800,40,0.05000000000000002,0.038456007499203644,-0.025373774698439128,0.12537377469843916,0.19353689421748088
qwen3vl-8b-think,domain,UNSAFE,user (high-low),800,40,-0.015000000000000008,0.02208650203290972,-0.05828954398450306,0.02828954398450305,0.4970441970986146
qwen3vl-8b-think,domain,UNSAFE,model (high-low),800,40,0.07,0.02208650203290972,0.02671045601549695,0.11328954398450305,0.0015277684944252229
qwen3vl-8b-think,domain,UNSAFE,interaction,800,40,-0.08,0.04417300406581944,-0.1665790879690061,0.006579087969006109,0.0701314269055186
qwen3vl-8b-think,irrel,SAFE,user (high-low),3200,40,0.0037499999999999908,0.0028603701605050616,-0.00185632551458993,0.009356325514589911,0.18985130052963717
qwen3vl-8b-think,irrel,SAFE,model (high-low),3200,40,-0.005000000000000007,0.0028603701605050616,-0.010606325514589928,0.0006063255145899137,0.08045961074462903
qwen3vl-8b-think,irrel,SAFE,interaction,3200,40,0.0049999999999999906,0.005720740321010123,-0.006212651029179851,0.016212651029179834,0.38211130839172636
qwen3vl-8b-think,irrel,UNSAFE,user (high-low),3200,40,-0.011249999999999998,0.01064258935603591,-0.032109475137830384,0.009609475137830387,0.2904780091721927
qwen3vl-8b-think,irrel,UNSAFE,model (high-low),3200,40,-0.0012499999999999998,0.01064258935603591,-0.022109475137830386,0.019609475137830384,0.9065013881106934
qwen3vl-8b-think,irrel,UNSAFE,interaction,3200,40,-0.007500000000000011,0.02128517871207182,-0.04921895027566078,0.034218950275660756,0.7245699015596883
