model,block,effect,n,n_facts,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,user (high-low),1600,80,0.02375,0.014884919188368033,-0.005424441609201344,0.052924441609201345,0.11058378687664881
qwen3vl-8b-instruct,domain,model (high-low),1600,80,0.03375,0.014884919188368033,0.004575558390798658,0.06292444160920135,0.023366071166898872
qwen3vl-8b-instruct,domain,interaction,1600,80,-0.0475,0.029769838376736066,-0.10584888321840269,0.010848883218402688,0.11058378687664881
qwen3vl-8b-instruct,irrel,user (high-low),6400,80,-0.006250000000000003,0.006455907196743793,-0.018903578105617835,0.00640357810561783,0.33299162646405367
qwen3vl-8b-instruct,irrel,model (high-low),6400,80,-0.0024999999999999983,0.006455907196743793,-0.015153578105617831,0.010153578105617834,0.6985768776826582
qwen3vl-8b-instruct,irrel,interaction,6400,80,0.01749999999999999,0.012911814393487585,-0.007807156211235674,0.04280715621123565,0.1753067534562487
qwen3vl-8b-think,domain,user (high-low),1600,80,0.0125,0.014713533750919047,-0.01633852615180133,0.041338526151801336,0.39557088262518514
qwen3vl-8b-think,domain,model (high-low),1600,80,0.025,0.014713533750919047,-0.0038385261518013303,0.05383852615180133,0.08929733711357359
qwen3vl-8b-think,domain,interaction,1600,80,-0.015000000000000006,0.029427067501838093,-0.07267705230360266,0.04267705230360266,0.6102372779240528
qwen3vl-8b-think,irrel,user (high-low),6400,80,-0.003749999999999996,0.00550983951976961,-0.014549285458748432,0.007049285458748439,0.4961242567168658
qwen3vl-8b-think,irrel,model (high-low),6400,80,-0.0031250000000000023,0.00550983951976961,-0.013924285458748438,0.007674285458748433,0.5706006214349086
qwen3vl-8b-think,irrel,interaction,6400,80,-0.001250000000000011,0.01101967903953922,-0.022848570917496883,0.02034857091749686,0.9096869367839567
