model,condition,delta_vs_control,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain_uhigh_mhigh,-0.03500000000000003,0.02920138569855982,-0.09250000000000003,0.022500000000000075,0.25893526618345414
qwen3vl-8b-instruct,domain_uhigh_mlow,-0.04500000000000004,0.028598440826458113,-0.09750000000000003,0.012499999999999959,0.13496625843539115
qwen3vl-8b-instruct,domain_ulow_mhigh,-0.03500000000000003,0.024308605739855875,-0.08250000000000002,0.012500000000000067,0.17395651087228192
qwen3vl-8b-instruct,domain_ulow_mlow,-0.09250000000000003,0.03222534050831882,-0.15500000000000003,-0.030000000000000027,0.005498625343664084
qwen3vl-8b-instruct,irrel_uhigh_mhigh,-0.053749999999999964,0.027928882768706267,-0.10562499999999997,0.0024999999999999493,0.06498375406148463
qwen3vl-8b-instruct,irrel_uhigh_mlow,-0.06000000000000005,0.02868869534644725,-0.11312500000000003,-0.0024999999999999467,0.04598850287428143
qwen3vl-8b-instruct,irrel_ulow_mhigh,-0.05625000000000002,0.02798814116203079,-0.10812499999999992,1.562500000005651e-05,0.053486628342914275
qwen3vl-8b-instruct,irrel_ulow_mlow,-0.04500000000000004,0.026518921407082598,-0.0943750000000001,0.009374999999999911,0.10047488127968009
qwen3vl-8b-think,domain_uhigh_mhigh,0.007499999999999951,0.03263457442057278,-0.05500000000000005,0.07250000000000001,0.8557860534866284
qwen3vl-8b-think,domain_uhigh_mlow,-0.010000000000000009,0.03269124198869157,-0.07250000000000001,0.057499999999999996,0.7658085478630342
qwen3vl-8b-think,domain_ulow_mhigh,0.0024999999999999467,0.03697887377626332,-0.0675,0.0774999999999999,0.9957510622344414
qwen3vl-8b-think,domain_ulow_mlow,-0.030000000000000027,0.02953956968887201,-0.08750000000000002,0.029999999999999916,0.33041739565108724
qwen3vl-8b-think,irrel_uhigh_mhigh,-0.013125000000000053,0.017663469467110712,-0.04812499999999997,0.02124999999999999,0.4558860284928768
qwen3vl-8b-think,irrel_uhigh_mlow,-0.009375000000000022,0.021273921921518273,-0.05249999999999999,0.030625000000000013,0.6823294176455886
qwen3vl-8b-think,irrel_ulow_mhigh,-0.008750000000000036,0.021837051792873187,-0.051875000000000004,0.033140625000000125,0.7108222944263934
qwen3vl-8b-think,irrel_ulow_mlow,-0.006249999999999978,0.023691114432749048,-0.053750000000000075,0.03874999999999995,0.8122969257685578
