model,condition,se,ci_lo,ci_hi,n_facts
qwen3vl-8b-instruct,control,0.03921488861365821,0.775,0.925,80
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.052777090827996254,0.55,0.75,80
qwen3vl-8b-instruct,domain_uhigh_mlow,0.05547003698155481,0.3625,0.5875,80
qwen3vl-8b-instruct,domain_ulow_mhigh,0.05461865933840267,0.4875,0.7125,80
qwen3vl-8b-instruct,domain_ulow_mlow,0.05450367360138684,0.5,0.7125,80
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.05638394340925411,0.3625,0.5875,80
qwen3vl-8b-instruct,irrel_uhigh_mlow,0.05501388098039558,0.325,0.5375,80
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.05478018201946322,0.3125,0.5375,80
qwen3vl-8b-instruct,irrel_ulow_mlow,0.0567025297509515,0.4125,0.6375,80
qwen3vl-8b-think,control,0.04067846677327122,0.7625,0.925,80
qwen3vl-8b-think,domain_uhigh_mhigh,0.05227596077431858,0.5625,0.7625,80
qwen3vl-8b-think,domain_uhigh_mlow,0.05539627403561211,0.45,0.675,80
qwen3vl-8b-think,domain_ulow_mhigh,0.0559943277450708,0.4375,0.6625,80
qwen3vl-8b-think,domain_ulow_mlow,0.05513960067538266,0.5125,0.725,80
qwen3vl-8b-think,irrel_uhigh_mhigh,0.05665376640832949,0.4375,0.6625,80
qwen3vl-8b-think,irrel_uhigh_mlow,0.05609125512034157,0.4375,0.6625,80
qwen3vl-8b-think,irrel_ulow_mhigh,0.05739700669487811,0.3625,0.5875,80
qwen3vl-8b-think,irrel_ulow_mlow,0.053227009390272514,0.525,0.7375,80
