model,prompt_type,block,contrast,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,SAFE,domain,power gradient,-0.010000000000000009,0.029638459522323333,-0.0681845898004435,0.04878319783197837,0.783804048987753
qwen3vl-8b-instruct,SAFE,domain,matched - mismatched,0.022499999999999964,0.0226332484858567,-0.022920673076923102,0.06578947368421062,0.3329167708072982
qwen3vl-8b-instruct,SAFE,irrel,power gradient,0.0012500000000000844,0.011479480793571657,-0.022415948275862057,0.022972972972972964,0.9482629342664334
qwen3vl-8b-instruct,SAFE,irrel,matched - mismatched,0.013124999999999942,0.009366630560625177,-0.005002840909091021,0.0318750000000001,0.16445888527868033
qwen3vl-8b-instruct,UNSAFE,domain,power gradient,0.0050000000000000044,0.036649623344242384,-0.061547619047619045,0.07999999999999996,0.9682579355161209
qwen3vl-8b-instruct,UNSAFE,domain,matched - mismatched,0.0025000000000001688,0.013506020441614698,-0.024502551020408117,0.02894736842105261,0.928767808047988
qwen3vl-8b-instruct,UNSAFE,irrel,power gradient,-0.036250000000000004,0.015561089441856926,-0.06718750000000007,-0.006818181818181832,0.01849537615596101
qwen3vl-8b-instruct,UNSAFE,irrel,matched - mismatched,-0.008124999999999938,0.009659005565102415,-0.02697501778093878,0.01097560975609757,0.4263934016495876
qwen3vl-8b-think,SAFE,domain,power gradient,0.07999999999999996,0.033449004335410114,0.018181818181818188,0.15000000000000002,0.01749562609347663
qwen3vl-8b-think,SAFE,domain,matched - mismatched,0.012499999999999956,0.018753603147428216,-0.02195121951219514,0.05002659574468099,0.5483629092726818
qwen3vl-8b-think,SAFE,irrel,power gradient,0.01749999999999996,0.00687062675621755,0.004285714285714226,0.03111111111111109,0.009997500624843789
qwen3vl-8b-think,SAFE,irrel,matched - mismatched,0.01375000000000004,0.005149445009753283,0.00416666666666676,0.024419250645994896,0.007498125468632842
qwen3vl-8b-think,UNSAFE,domain,power gradient,-0.039999999999999925,0.029889794695342028,-0.10347076461769113,0.010818318318318346,0.19795051237190703
qwen3vl-8b-think,UNSAFE,domain,matched - mismatched,0.010000000000000009,0.01444843721914207,-0.01749999999999985,0.03947368421052633,0.5133716570857285
qwen3vl-8b-think,UNSAFE,irrel,power gradient,-0.006249999999999978,0.011847653989587852,-0.02906976744186041,0.017073170731707332,0.6318420394901275
qwen3vl-8b-think,UNSAFE,irrel,matched - mismatched,-0.025000000000000022,0.010437867907436062,-0.04583575581395354,-0.005303030303030362,0.015996000999750064
