category,control,domain_uhigh_mhigh,domain_uhigh_mlow,domain_ulow_mhigh,domain_ulow_mlow,irrel_uhigh_mhigh,irrel_uhigh_mlow,irrel_ulow_mhigh,irrel_ulow_mlow
Activity,0.875,0.775,0.825,0.7,0.675,0.85,0.7875,0.85,0.8625
Exercise,0.625,0.775,0.7,0.725,0.8,0.7625,0.78125,0.79375,0.79375
Food,0.875,0.7,0.8,0.75,0.775,0.78125,0.79375,0.79375,0.8125
Game,1.0,0.825,0.775,0.925,0.975,0.975,0.96875,0.95,0.98125
Health,0.875,0.925,0.875,0.85,0.875,0.8875,0.9,0.925,0.93125
Home,0.875,0.875,0.875,0.8,0.8,0.79375,0.81875,0.825,0.76875
Office,0.875,0.925,0.825,0.925,0.875,0.825,0.8375,0.84375,0.825
Research,0.875,0.975,0.85,0.875,0.725,0.90625,0.825,0.9125,0.88125
Study,0.75,0.725,0.725,0.75,0.725,0.71875,0.70625,0.7,0.70625
Travel,0.875,0.85,0.875,0.85,0.95,0.95625,0.93125,0.93125,0.90625
