category,control,domain_uhigh_mhigh,domain_uhigh_mlow,domain_ulow_mhigh,domain_ulow_mlow,irrel_uhigh_mhigh,irrel_uhigh_mlow,irrel_ulow_mhigh,irrel_ulow_mlow
Activity,0.75,0.675,0.7,0.725,0.675,0.76875,0.76875,0.80625,0.75625
Exercise,1.0,0.65,0.85,0.775,0.95,0.8875,0.925,0.89375,0.925
Food,0.75,0.825,0.65,0.85,0.825,0.76875,0.75625,0.75625,0.74375
Game,1.0,0.775,0.875,0.85,0.975,0.9375,0.9875,0.99375,1.0
Health,1.0,0.925,0.95,0.875,0.825,0.9625,0.94375,0.95625,0.95625
Home,0.75,0.9,0.9,0.8,0.9,0.78125,0.825,0.8125,0.83125
Office,0.75,0.85,0.875,0.875,0.825,0.775,0.80625,0.79375,0.7875
Research,1.0,1.0,0.95,0.825,0.85,0.9625,0.9625,0.9125,0.9625
Study,0.75,0.8,0.775,0.725,0.725,0.73125,0.725,0.725,0.725
Travel,0.75,1.0,0.9,0.925,0.925,0.84375,0.84375,0.8375,0.8125
