category,block,estimate,se,ci_lo,ci_hi,p
Activity,domain,0.012499999999999956,0.06879369730548651,-0.1428571428571428,0.125,0.8722819295176206
Activity,irrel,0.025000000000000133,0.026319673149145892,-0.010724206349206308,0.08611111111111114,0.4203949012746813
Exercise,domain,-0.1874999999999999,0.12328881322199431,-0.46,0.019999999999999914,0.1105
Exercise,irrel,-0.034375000000000044,0.018872230532333972,-0.07500000000000007,-0.0035714285714285587,0.0325
Food,domain,0.09999999999999987,0.08364078409751931,-0.05011363636363637,0.2777777777777778,0.2514371407148213
Food,irrel,0.012499999999999956,0.018390597125914468,-0.01786525974025989,0.053586309523809605,0.6098475381154711
Game,domain,-0.11250000000000004,0.06323553401935392,-0.2333333333333334,0.012500000000000067,0.09647588102974257
Game,irrel,-0.028125000000000067,0.024597581595775103,-0.08499999999999996,0.006249999999999978,0.2839290177455636
Health,domain,0.012500000000000067,0.039347496088951245,-0.06666666666666665,0.08571428571428574,0.8567858035491127
Health,irrel,0.009375000000000133,0.004555479185449247,0.0,0.018749999999999933,0.09447638090477381
Home,domain,-0.04999999999999993,0.03273560361471347,-0.11428571428571432,0.014285714285714346,0.1755
Home,irrel,-0.03125,0.024626786485861727,-0.08124999999999982,0.016666666666666607,0.215
Office,domain,0.012500000000000067,0.08657599346805565,-0.17999999999999994,0.15714285714285714,0.852
Office,irrel,-0.012499999999999956,0.013182861998665507,-0.04094696969696978,0.008333333333333304,0.4865
Research,domain,0.012500000000000067,0.030124863311971596,-0.04999999999999993,0.0714285714285714,0.7898025493626594
Research,irrel,-0.025000000000000022,0.010716939553072074,-0.046428571428571486,-0.004166666666666652,0.03349162709322669
Study,domain,0.012499999999999956,0.02317164337200775,-0.033333333333333326,0.05999999999999983,0.8077019254813703
Study,irrel,0.0031249999999999334,0.007545142488042393,-0.009374999999999911,0.020000000000000018,0.9427356839209803
Travel,domain,0.04999999999999993,0.03804159880947235,0.0,0.14,0.24893776555861036
Travel,irrel,0.012499999999999956,0.026761492304735488,-0.03437499999999993,0.07084821428571432,0.7133216695826043
