model,condition,rate,se,ci_lo,ci_hi,n,block,user_level,model_level
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.835,0.031455680964910644,0.77,0.8925,400,domain,high,high
qwen3vl-8b-instruct,domain_uhigh_mlow,0.8125,0.025949883864010623,0.76,0.8625,400,domain,high,low
qwen3vl-8b-instruct,domain_ulow_mhigh,0.815,0.032862537262646575,0.7475,0.875,400,domain,low,high
qwen3vl-8b-instruct,domain_ulow_mlow,0.8175,0.03179920237879178,0.7525,0.8775,400,domain,low,low
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.845625,0.028872641682577752,0.786875,0.9,1600,irrel,high,high
qwen3vl-8b-instruct,irrel_uhigh_mlow,0.835,0.028908377467532654,0.775625,0.89,1600,irrel,high,low
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.8525,0.027170656896873983,0.796234375,0.903125,1600,irrel,low,high
qwen3vl-8b-instruct,irrel_ulow_mlow,0.846875,0.029956989663467066,0.7849843750000001,0.903125,1600,irrel,low,low
qwen3vl-8b-think,domain_uhigh_mhigh,0.84,0.03171220176122294,0.775,0.8975,400,domain,high,high
qwen3vl-8b-think,domain_uhigh_mlow,0.8425,0.026589870086845272,0.7875,0.8925,400,domain,high,low
qwen3vl-8b-think,domain_ulow_mhigh,0.8225,0.029908988997343438,0.76,0.8775,400,domain,low,high
qwen3vl-8b-think,domain_ulow_mlow,0.8475,0.027327099159012228,0.7925,0.9,400,domain,low,low
qwen3vl-8b-think,irrel_uhigh_mhigh,0.841875,0.032122606148685916,0.775625,0.9,1600,irrel,high,high
qwen3vl-8b-think,irrel_uhigh_mlow,0.854375,0.03056457510005884,0.790625,0.909375,1600,irrel,high,low
qwen3vl-8b-think,irrel_ulow_mhigh,0.84875,0.03000469794174289,0.78625,0.9018906250000001,1600,irrel,low,high
qwen3vl-8b-think,irrel_ulow_mlow,0.85,0.03281584598439133,0.781859375,0.91,1600,irrel,low,low
