model,condition,rate,n,se,ci95,all_pass_rate,facts,facts_passed,rows_per_fact,all_pass_rate_k5,rate_balanced,n_dimensions
qwen3vl-8b-instruct,control,0.85,80,0.04017367360141355,0.07874040025877056,0.85,80,68,1.0,,0.85,1
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.835,400,0.018582269825823193,0.036421248858613454,0.65,80,52,5.0,0.6500000000000036,0.835,10
qwen3vl-8b-instruct,domain_uhigh_mlow,0.8125,400,0.0195400591036577,0.03829851584316909,0.475,80,38,5.0,0.4749999999999966,0.8125,10
qwen3vl-8b-instruct,domain_ulow_mhigh,0.815,400,0.019439192511876213,0.03810081732327738,0.6,80,48,5.0,0.5999999999999961,0.8150000000000001,10
qwen3vl-8b-instruct,domain_ulow_mlow,0.8175,400,0.019336989758810208,0.03790049992726801,0.6,80,48,5.0,0.5999999999999961,0.8175000000000001,10
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.845625,1600,0.009035520184250596,0.01770961956113117,0.475,80,38,20.0,0.6601562499999997,0.8456250000000001,4
qwen3vl-8b-instruct,irrel_uhigh_mlow,0.835,1600,0.009282414934535386,0.018193533271689356,0.4375,80,35,20.0,0.6394999999999998,0.835,4
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.8525,1600,0.00886786293989146,0.01738101136218726,0.425,80,34,20.0,0.6556875000000001,0.8525,4
qwen3vl-8b-instruct,irrel_ulow_mlow,0.846875,1600,0.00900551336841871,0.01765080620210067,0.525,80,42,20.0,0.6815937499999998,0.846875,4
qwen3vl-8b-think,control,0.85,80,0.040173673601413544,0.07874040025877055,0.85,80,68,1.0,,0.85,1
qwen3vl-8b-think,domain_uhigh_mhigh,0.84,400,0.01835325870964494,0.03597238707090408,0.6625,80,53,5.0,0.6624999999999969,0.8400000000000001,10
qwen3vl-8b-think,domain_uhigh_mlow,0.8425,400,0.0182363864149037,0.03574331737321125,0.5625,80,45,5.0,0.5625,0.8425,10
qwen3vl-8b-think,domain_ulow_mhigh,0.8225,400,0.01912848982034435,0.037491840047874925,0.55,80,44,5.0,0.5500000000000036,0.8225,10
qwen3vl-8b-think,domain_ulow_mlow,0.8475,400,0.01799775466363321,0.035275599140721085,0.625,80,50,5.0,0.625,0.8474999999999999,10
qwen3vl-8b-think,irrel_uhigh_mhigh,0.841875,1600,0.009124306046757565,0.017883639851644827,0.55,80,44,20.0,0.70503125,0.841875,4
qwen3vl-8b-think,irrel_uhigh_mlow,0.854375,1600,0.00882100368017033,0.01728916721313385,0.55,80,44,20.0,0.7171249999999997,0.854375,4
qwen3vl-8b-think,irrel_ulow_mhigh,0.84875,1600,0.008960110248891769,0.017561816087827867,0.475,80,38,20.0,0.6813125000000001,0.84875,4
qwen3vl-8b-think,irrel_ulow_mlow,0.85,1600,0.008929576464474492,0.017501969870370004,0.6375,80,51,20.0,0.7449687500000002,0.85,4
