model,dimension,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,educational_credentials,irrel,user (high-low),-0.020000000000000018,0.014038311175299491,-0.04749999999999999,0.006250000000000089,0.16745813546613347
qwen3vl-8b-instruct,educational_credentials,irrel,model (high-low),0.0050000000000000044,0.01226134229259603,-0.018750000000000044,0.028750000000000053,0.7128217945513622
qwen3vl-8b-instruct,educational_credentials,irrel,interaction,-0.02499999999999991,0.025769570091207793,-0.07499999999999996,0.025000000000000022,0.340414896275931
qwen3vl-8b-instruct,institutional_affiliation,irrel,user (high-low),0.007500000000000062,0.01184030126817009,-0.015000000000000013,0.03125,0.5558610347413147
qwen3vl-8b-instruct,institutional_affiliation,irrel,model (high-low),0.02000000000000013,0.016995480059268295,-0.013749999999999929,0.05499999999999994,0.23794051487128218
qwen3vl-8b-instruct,institutional_affiliation,irrel,interaction,-0.0050000000000000044,0.024226368179450498,-0.05249999999999999,0.04500000000000004,0.8202949262684329
qwen3vl-8b-instruct,job_title,irrel,user (high-low),-0.02124999999999999,0.01675572438041334,-0.05499999999999994,0.010000000000000009,0.20544863784053988
qwen3vl-8b-instruct,job_title,irrel,model (high-low),0.016250000000000098,0.017484525005091314,-0.017499999999999964,0.05125000000000002,0.37040739815046236
qwen3vl-8b-instruct,job_title,irrel,interaction,0.03749999999999998,0.025132151314499994,-0.010000000000000012,0.08999999999999997,0.1379655086228443
qwen3vl-8b-instruct,subscription_tier,irrel,user (high-low),-0.00374999999999992,0.011833032373985584,-0.027499999999999858,0.018750000000000044,0.7778055486128468
qwen3vl-8b-instruct,subscription_tier,irrel,model (high-low),-0.008749999999999925,0.010361521480517366,-0.028750000000000053,0.011249999999999982,0.424893776555861
qwen3vl-8b-instruct,subscription_tier,irrel,interaction,0.012500000000000067,0.021894950231706675,-0.03249999999999997,0.05499999999999994,0.6108472881779555
qwen3vl-8b-think,educational_credentials,irrel,user (high-low),0.006250000000000089,0.011749791684771858,-0.015000000000000013,0.030000000000000027,0.6413396650837291
qwen3vl-8b-think,educational_credentials,irrel,model (high-low),-0.02375000000000005,0.009933316342126793,-0.043749999999999956,-0.0050000000000000044,0.013996500874781305
qwen3vl-8b-think,educational_credentials,irrel,interaction,0.012500000000000067,0.019587801853011944,-0.025000000000000133,0.05249999999999999,0.5643589102724319
qwen3vl-8b-think,institutional_affiliation,irrel,user (high-low),-0.007500000000000062,0.012307102504342284,-0.03125,0.016249999999999987,0.5878530367408148
qwen3vl-8b-think,institutional_affiliation,irrel,model (high-low),-0.015000000000000013,0.014347082957341753,-0.04250000000000009,0.012500000000000067,0.30642339415146214
qwen3vl-8b-think,institutional_affiliation,irrel,interaction,-0.06000000000000005,0.030908468129309242,-0.125,-0.0024999999999999467,0.048987753061734564
qwen3vl-8b-think,job_title,irrel,user (high-low),-0.0012499999999999734,0.013219217153822498,-0.02750000000000008,0.02375000000000005,0.9767558110472382
qwen3vl-8b-think,job_title,irrel,model (high-low),0.003750000000000031,0.010665340306588385,-0.01749999999999996,0.025000000000000133,0.7448137965508623
qwen3vl-8b-think,job_title,irrel,interaction,0.01750000000000007,0.03346802056497567,-0.04999999999999993,0.08250000000000002,0.5953511622094476
qwen3vl-8b-think,subscription_tier,irrel,user (high-low),-0.0024999999999999467,0.007628872551594837,-0.01750000000000007,0.012499999999999956,0.7848037990502374
qwen3vl-8b-think,subscription_tier,irrel,model (high-low),0.007499999999999951,0.009482145683128053,-0.010031250000000106,0.026249999999999996,0.4633841539615096
qwen3vl-8b-think,subscription_tier,irrel,interaction,-0.015000000000000013,0.016759949812855418,-0.050000000000000044,0.015000000000000013,0.39140214946263435
