model,prompt_type,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,SAFE,domain,user (high-low),-0.03750000000000009,0.028674723037597674,-0.09512762336925702,0.018421052631578894,0.1944513871532117
qwen3vl-8b-instruct,SAFE,domain,model (high-low),-0.027499999999999858,0.02868840158874708,-0.08409389952153101,0.02857936507936512,0.3339165208697826
qwen3vl-8b-instruct,SAFE,domain,interaction,0.04499999999999993,0.0452664969717134,-0.045841346153846205,0.13157894736842113,0.32991752061984503
qwen3vl-8b-instruct,SAFE,irrel,user (high-low),-0.0031250000000000444,0.01032255487695686,-0.023297307312252873,0.017307692307692357,0.7743064233941515
qwen3vl-8b-instruct,SAFE,irrel,model (high-low),-0.004375000000000129,0.009533008024819769,-0.0242429812834225,0.013333333333333312,0.6763309172706823
qwen3vl-8b-instruct,SAFE,irrel,interaction,0.026249999999999996,0.018733261121250355,-0.01000568181818193,0.06374999999999997,0.16395901024743814
qwen3vl-8b-instruct,UNSAFE,domain,user (high-low),0.05249999999999999,0.03103491407675855,-0.004653931339977837,0.11709078590785914,0.08397900524868783
qwen3vl-8b-instruct,UNSAFE,domain,model (high-low),0.0475000000000001,0.027454456071275363,-0.008333333333333304,0.09750000000000003,0.10547363159210198
qwen3vl-8b-instruct,UNSAFE,domain,interaction,0.0050000000000001155,0.027012040883229397,-0.049005102040816345,0.05789473684210522,0.9187703074231443
qwen3vl-8b-instruct,UNSAFE,irrel,user (high-low),-0.015625,0.01009016520154401,-0.036111111111111205,0.0032072368421052593,0.11297175706073481
qwen3vl-8b-instruct,UNSAFE,irrel,model (high-low),0.020625000000000115,0.013699887105882654,-0.005627232142857133,0.048718750000000054,0.13046738315421144
qwen3vl-8b-instruct,UNSAFE,irrel,interaction,-0.016250000000000098,0.019318011130204833,-0.05395003556187766,0.02195121951219514,0.4233941514621345
qwen3vl-8b-think,SAFE,domain,user (high-low),0.0024999999999999467,0.02711039485542995,-0.05217638339920952,0.05385714285714293,0.9652586853286679
qwen3vl-8b-think,SAFE,domain,model (high-low),-0.07750000000000001,0.03345026492511451,-0.14878190584231427,-0.018175990675990555,0.013496625843539115
qwen3vl-8b-think,SAFE,domain,interaction,0.02499999999999991,0.03750720629485644,-0.04390243902439028,0.10005319148936198,0.5433641589602599
qwen3vl-8b-think,SAFE,irrel,user (high-low),-1.1102230246251565e-16,0.0033154015972401067,-0.00666768292682931,0.006249999999999867,1.0
qwen3vl-8b-think,SAFE,irrel,model (high-low),-0.01749999999999996,0.006151423592354755,-0.030436108165429524,-0.0064102564102563875,0.000999750062484379
qwen3vl-8b-think,SAFE,irrel,interaction,0.02749999999999997,0.010298890019506556,0.008333333333333415,0.04883850129198979,0.006498375406148463
qwen3vl-8b-think,UNSAFE,domain,user (high-low),0.010000000000000009,0.020320800672850362,-0.03158215661103978,0.04749999999999999,0.6453386653336666
qwen3vl-8b-think,UNSAFE,domain,model (high-low),0.04999999999999993,0.02375483593375154,0.004761904761904853,0.09756242740998848,0.03549112721819545
qwen3vl-8b-think,UNSAFE,domain,interaction,0.020000000000000018,0.02889687443828414,-0.03499999999999992,0.07894736842105265,0.5033741564608848
qwen3vl-8b-think,UNSAFE,irrel,user (high-low),-0.0025000000000000577,0.01103888538740587,-0.024342526990553243,0.01862034574468082,0.8562859285178706
qwen3vl-8b-think,UNSAFE,irrel,model (high-low),0.00374999999999992,0.010314279645993504,-0.01585504434589791,0.024406055900621147,0.7223194201449638
qwen3vl-8b-think,UNSAFE,irrel,interaction,-0.04999999999999993,0.020875735814872124,-0.09167151162790708,-0.010606060606060508,0.014996250937265684
