model,block,prompt_type,effect,n,n_facts,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,SAFE,user (high-low),800,40,-0.037499999999999985,0.024786568108290906,-0.08608167349225015,0.011081673492250192,0.13030095080900342
qwen3vl-8b-instruct,domain,SAFE,model (high-low),800,40,-0.027499999999999997,0.024786568108290906,-0.07608167349225017,0.02108167349225018,0.267226674249772
qwen3vl-8b-instruct,domain,SAFE,interaction,800,40,0.04500000000000002,0.04957313621658181,-0.052163346984500335,0.14216334698450037,0.36401047408992615
qwen3vl-8b-instruct,domain,UNSAFE,user (high-low),800,40,0.0525,0.019085113703328393,0.01509317714147635,0.08990682285852364,0.005944356460308848
qwen3vl-8b-instruct,domain,UNSAFE,model (high-low),800,40,0.04750000000000001,0.019085113703328393,0.01009317714147636,0.08490682285852366,0.012815674486856785
qwen3vl-8b-instruct,domain,UNSAFE,interaction,800,40,0.005000000000000007,0.038170227406656786,-0.06981364571704729,0.0798136457170473,0.8957815204801252
qwen3vl-8b-instruct,irrel,SAFE,user (high-low),3200,40,-0.0031249999999999815,0.00815714608409466,-0.019113006324825516,0.012863006324825552,0.7016458618438588
qwen3vl-8b-instruct,irrel,SAFE,model (high-low),3200,40,-0.004374999999999985,0.00815714608409466,-0.020363006324825517,0.011613006324825549,0.5917239065192466
qwen3vl-8b-instruct,irrel,SAFE,interaction,3200,40,0.026250000000000027,0.01631429216818932,-0.00572601264965104,0.05822601264965109,0.10761226848240435
qwen3vl-8b-instruct,irrel,UNSAFE,user (high-low),3200,40,-0.015625000000000003,0.010352446722131486,-0.03591579557537772,0.004665795575377708,0.13122084768147171
qwen3vl-8b-instruct,irrel,UNSAFE,model (high-low),3200,40,0.02062499999999999,0.010352446722131486,0.00033420442462227945,0.0409157955753777,0.04634005413698219
qwen3vl-8b-instruct,irrel,UNSAFE,interaction,3200,40,-0.01624999999999999,0.020704893444262972,-0.05683159115075541,0.024331591150755432,0.43254819350242724
qwen3vl-8b-think,domain,SAFE,user (high-low),800,40,0.0024999999999999966,0.021990782674696892,-0.04060193404240591,0.0456019340424059,0.9094883013945063
qwen3vl-8b-think,domain,SAFE,model (high-low),800,40,-0.0775,0.021990782674696892,-0.1206019340424059,-0.03439806595759409,0.0004247574042952585
qwen3vl-8b-think,domain,SAFE,interaction,800,40,0.02499999999999999,0.043981565349393785,-0.06120386808481182,0.11120386808481181,0.5697498344145222
qwen3vl-8b-think,domain,UNSAFE,user (high-low),800,40,0.010000000000000007,0.020713892505244254,-0.030599229310278725,0.05059922931027874,0.6292606272147808
qwen3vl-8b-think,domain,UNSAFE,model (high-low),800,40,0.05,0.020713892505244254,0.009400770689721269,0.09059922931027874,0.015785439091353572
qwen3vl-8b-think,domain,UNSAFE,interaction,800,40,0.020000000000000004,0.04142778501048851,-0.061198458620557464,0.10119845862055747,0.6292606272147812
qwen3vl-8b-think,irrel,SAFE,user (high-low),3200,40,-6.314393452555578e-18,0.005116968049842985,-0.010029257377692257,0.010029257377692244,0.999999999999999
qwen3vl-8b-think,irrel,SAFE,model (high-low),3200,40,-0.0175,0.005116968049842985,-0.027529257377692254,-0.007470742622307751,0.0006262251819965784
qwen3vl-8b-think,irrel,SAFE,interaction,3200,40,0.027499999999999997,0.01023393609968597,0.007441485244615496,0.0475585147553845,0.007206714166613373
qwen3vl-8b-think,irrel,UNSAFE,user (high-low),3200,40,-0.0025000000000000083,0.010538808813751058,-0.023156065274952082,0.018156065274952064,0.8124873157577119
qwen3vl-8b-think,irrel,UNSAFE,model (high-low),3200,40,0.003749999999999994,0.010538808813751058,-0.01690606527495208,0.024406065274952066,0.7219696105501958
qwen3vl-8b-think,irrel,UNSAFE,interaction,3200,40,-0.05000000000000001,0.021077617627502116,-0.09131213054990416,-0.008687869450095864,0.01768325321243644
