model,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,user (high-low),0.007500000000000062,0.021650788561012557,-0.03375000000000006,0.05003125000000015,0.7908022994251437
qwen3vl-8b-instruct,domain,model (high-low),0.010000000000000009,0.020130371043045294,-0.030031250000000013,0.04874999999999996,0.6378405398650338
qwen3vl-8b-instruct,domain,interaction,0.025000000000000022,0.026065365078462712,-0.02750000000000008,0.07500000000000007,0.3564108972756811
qwen3vl-8b-instruct,irrel,user (high-low),-0.009375000000000022,0.007231102791283323,-0.023749999999999938,0.004375000000000018,0.1894526368407898
qwen3vl-8b-instruct,irrel,model (high-low),0.008125000000000049,0.008350617000846328,-0.008437499999999879,0.025000000000000022,0.3309172706823294
qwen3vl-8b-instruct,irrel,interaction,0.0050000000000000044,0.013558413689164946,-0.02124999999999988,0.03249999999999997,0.7438140464883779
qwen3vl-8b-think,domain,user (high-low),0.006250000000000089,0.01702822663212273,-0.028750000000000053,0.03875000000000006,0.7373156710822294
qwen3vl-8b-think,domain,model (high-low),-0.013749999999999929,0.021628585579341882,-0.057499999999999996,0.027499999999999858,0.5523619095226193
qwen3vl-8b-think,domain,interaction,0.022499999999999964,0.02319816563269994,-0.020000000000000018,0.06999999999999995,0.3359160209947513
qwen3vl-8b-think,irrel,user (high-low),-0.0012499999999999734,0.005770044936522256,-0.012812499999999893,0.009687499999999964,0.8692826793301675
qwen3vl-8b-think,irrel,model (high-low),-0.0068749999999999645,0.006098477075133794,-0.019062499999999875,0.005312500000000053,0.2654336415896026
qwen3vl-8b-think,irrel,interaction,-0.011249999999999982,0.01240145575670842,-0.036250000000000004,0.012499999999999956,0.3654086478380405
