model,block,effect,n,n_facts,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,user (high-low),1600,80,0.007499999999999995,0.015700240302899043,-0.02327247099368213,0.03827247099368212,0.6328639616216833
qwen3vl-8b-instruct,domain,model (high-low),1600,80,0.01,0.015700240302899043,-0.020772470993682124,0.04077247099368213,0.5241685343858665
qwen3vl-8b-instruct,domain,interaction,1600,80,0.025,0.03140048060579809,-0.03654494198736425,0.08654494198736426,0.42593546493159806
qwen3vl-8b-instruct,irrel,user (high-low),6400,80,-0.009374999999999996,0.006592139161714545,-0.022295592756960504,0.003545592756960512,0.1549831817704433
qwen3vl-8b-instruct,irrel,model (high-low),6400,80,0.008125000000000014,0.006592139161714545,-0.004795592756960494,0.021045592756960524,0.2177516928137273
qwen3vl-8b-instruct,irrel,interaction,6400,80,0.005000000000000009,0.01318427832342909,-0.020841185513921008,0.030841185513921024,0.7045099721232462
qwen3vl-8b-think,domain,user (high-low),1600,80,0.006250000000000005,0.015178990565697345,-0.02350082150876679,0.0360008215087668,0.6805202275270722
qwen3vl-8b-think,domain,model (high-low),1600,80,-0.013749999999999995,0.015178990565697345,-0.04350082150876679,0.0160008215087668,0.3650113671625064
qwen3vl-8b-think,domain,interaction,1600,80,0.02250000000000001,0.03035798113139469,-0.037001643017533586,0.0820016430175336,0.4585988556667969
qwen3vl-8b-think,irrel,user (high-low),6400,80,-0.001249999999999989,0.005862918278560572,-0.01274131982597871,0.010241319825978732,0.8311675329832986
qwen3vl-8b-think,irrel,model (high-low),6400,80,-0.006874999999999989,0.005862918278560572,-0.018366319825978708,0.004616319825978732,0.24094653058749316
qwen3vl-8b-think,irrel,interaction,6400,80,-0.011249999999999991,0.011725836557121144,-0.034232639651957435,0.011732639651957451,0.33734729423381016
