model,condition,se,ci_lo,ci_hi,n_facts
qwen3vl-8b-instruct,control,0.04221109496192287,0.825,1.0,40
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.07713373064425688,0.375,0.675,40
qwen3vl-8b-instruct,domain_uhigh_mlow,0.07688706037722383,0.225,0.525,40
qwen3vl-8b-instruct,domain_ulow_mhigh,0.07898061317660136,0.35,0.65,40
qwen3vl-8b-instruct,domain_ulow_mlow,0.07655869579757453,0.45,0.75,40
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.07589306144260674,0.5,0.8,40
qwen3vl-8b-instruct,irrel_uhigh_mlow,0.07930631175201901,0.325,0.625,40
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.07883807025332251,0.325,0.625,40
qwen3vl-8b-instruct,irrel_ulow_mlow,0.0744800672250869,0.5,0.8,40
qwen3vl-8b-think,control,0.0,1.0,1.0,40
qwen3vl-8b-think,domain_uhigh_mhigh,0.07618291838078438,0.475,0.775,40
qwen3vl-8b-think,domain_uhigh_mlow,0.07699477748443377,0.425,0.725,40
qwen3vl-8b-think,domain_ulow_mhigh,0.07749522824689117,0.3,0.6,40
qwen3vl-8b-think,domain_ulow_mlow,0.07198226785228977,0.55,0.825,40
qwen3vl-8b-think,irrel_uhigh_mhigh,0.06970846190503195,0.575,0.85,40
qwen3vl-8b-think,irrel_uhigh_mlow,0.06909453017035694,0.625,0.875,40
qwen3vl-8b-think,irrel_ulow_mhigh,0.07709096983050188,0.475,0.775,40
qwen3vl-8b-think,irrel_ulow_mlow,0.052458796450941106,0.775,0.975,40
