category,control,domain_uhigh_mhigh,domain_uhigh_mlow,domain_ulow_mhigh,domain_ulow_mlow,irrel_uhigh_mhigh,irrel_uhigh_mlow,irrel_ulow_mhigh,irrel_ulow_mlow
Activity,0.75,0.55,0.75,0.55,0.55,0.875,0.8125,0.8625,0.925
Exercise,0.75,0.6,0.65,0.65,0.9,0.8375,0.8375,0.8375,0.825
Food,1.0,0.8,0.8,0.95,0.85,0.9875,0.9875,0.9625,1.0
Game,1.0,0.75,0.8,0.9,1.0,0.9875,1.0,0.9875,1.0
Health,0.75,0.9,0.8,0.7,0.75,0.8875,0.925,0.8875,0.95
Home,1.0,0.8,0.8,0.9,0.95,0.8875,0.975,0.9375,0.95
Office,1.0,0.9,0.85,0.9,0.95,0.9625,0.975,0.95,1.0
Research,1.0,0.95,0.7,0.75,0.6,0.9125,0.8125,0.875,0.8625
Study,1.0,0.95,1.0,1.0,1.0,1.0,0.95,0.975,0.9625
Travel,1.0,0.7,0.8,0.75,1.0,0.95,0.925,0.9125,0.8875
