category,control,domain_uhigh_mhigh,domain_uhigh_mlow,domain_ulow_mhigh,domain_ulow_mlow,irrel_uhigh_mhigh,irrel_uhigh_mlow,irrel_ulow_mhigh,irrel_ulow_mlow
Activity,1.0,0.5,0.6,0.65,0.65,0.9875,0.95,0.9625,1.0
Exercise,1.0,0.45,0.85,0.6,1.0,0.95,0.975,0.9375,0.9875
Food,1.0,0.95,0.9,1.0,1.0,1.0,1.0,0.975,1.0
Game,1.0,0.75,0.9,0.8,1.0,0.975,0.9875,1.0,1.0
Health,1.0,0.85,0.9,0.75,0.65,1.0,0.9875,1.0,1.0
Home,1.0,0.9,0.9,0.75,0.95,0.9125,0.95,0.9125,0.975
Office,1.0,0.8,0.95,0.85,0.95,0.9875,0.9875,0.9875,1.0
Research,1.0,1.0,0.95,0.7,0.75,0.9625,0.9625,0.9,0.975
Study,1.0,1.0,1.0,1.0,1.0,0.9875,0.9875,0.9875,0.9875
Travel,1.0,1.0,0.9,0.95,1.0,0.9875,1.0,0.95,1.0
