condition,status_dimension,pass_rate,n
control,none,1.0,40
domain_uhigh_mhigh,Activity,0.5,20
domain_uhigh_mhigh,Exercise,0.45,20
domain_uhigh_mhigh,Food,0.95,20
domain_uhigh_mhigh,Game,0.75,20
domain_uhigh_mhigh,Health,0.85,20
domain_uhigh_mhigh,Home,0.9,20
domain_uhigh_mhigh,Office,0.8,20
domain_uhigh_mhigh,Research,1.0,20
domain_uhigh_mhigh,Study,1.0,20
domain_uhigh_mhigh,Travel,1.0,20
domain_uhigh_mlow,Activity,0.6,20
domain_uhigh_mlow,Exercise,0.85,20
domain_uhigh_mlow,Food,0.9,20
domain_uhigh_mlow,Game,0.9,20
domain_uhigh_mlow,Health,0.9,20
domain_uhigh_mlow,Home,0.9,20
domain_uhigh_mlow,Office,0.95,20
domain_uhigh_mlow,Research,0.95,20
domain_uhigh_mlow,Study,1.0,20
domain_uhigh_mlow,Travel,0.9,20
domain_ulow_mhigh,Activity,0.65,20
domain_ulow_mhigh,Exercise,0.6,20
domain_ulow_mhigh,Food,1.0,20
domain_ulow_mhigh,Game,0.8,20
domain_ulow_mhigh,Health,0.75,20
domain_ulow_mhigh,Home,0.75,20
domain_ulow_mhigh,Office,0.85,20
domain_ulow_mhigh,Research,0.7,20
domain_ulow_mhigh,Study,1.0,20
domain_ulow_mhigh,Travel,0.95,20
domain_ulow_mlow,Activity,0.65,20
domain_ulow_mlow,Exercise,1.0,20
domain_ulow_mlow,Food,1.0,20
domain_ulow_mlow,Game,1.0,20
domain_ulow_mlow,Health,0.65,20
domain_ulow_mlow,Home,0.95,20
domain_ulow_mlow,Office,0.95,20
domain_ulow_mlow,Research,0.75,20
domain_ulow_mlow,Study,1.0,20
domain_ulow_mlow,Travel,1.0,20
irrel_uhigh_mhigh,educational_credentials,0.995,200
irrel_uhigh_mhigh,institutional_affiliation,0.94,200
irrel_uhigh_mhigh,job_title,0.97,200
irrel_uhigh_mhigh,subscription_tier,0.995,200
irrel_uhigh_mlow,educational_credentials,0.99,200
irrel_uhigh_mlow,institutional_affiliation,0.98,200
irrel_uhigh_mlow,job_title,0.96,200
irrel_uhigh_mlow,subscription_tier,0.985,200
irrel_ulow_mhigh,educational_credentials,0.96,200
irrel_ulow_mhigh,institutional_affiliation,0.965,200
irrel_ulow_mhigh,job_title,0.935,200
irrel_ulow_mhigh,subscription_tier,0.985,200
irrel_ulow_mlow,educational_credentials,1.0,200
irrel_ulow_mlow,institutional_affiliation,0.985,200
irrel_ulow_mlow,job_title,0.99,200
irrel_ulow_mlow,subscription_tier,0.995,200
