category,block,estimate,se,ci_lo,ci_hi,p
Activity,domain,-0.050000000000000044,0.12490845937200688,-0.4,0.20000000000000007,0.9312706061374588
Activity,irrel,1.1102230246251565e-16,0.010069658848422858,-0.025000000000000133,0.025000000000000022,1.0
Exercise,domain,-0.4,0.19531948648236058,-0.9,0.0,0.060790273556231005
Exercise,irrel,-0.03749999999999998,0.03784301207778045,-0.15000000000000002,0.0,0.7006079027355623
Food,domain,0.025000000000000022,0.047275139260787115,-0.09999999999999998,0.09999999999999998,0.7402333840690005
Food,irrel,-0.012499999999999956,0.0070910602764321954,-0.025000000000000022,0.0,0.228310502283105
Game,domain,-0.17499999999999993,0.0470806582640574,-0.30000000000000004,-0.09999999999999998,0.0005085176709890668
Game,irrel,-0.006249999999999978,0.01169235186161794,-0.025000000000000022,0.025000000000000022,0.7571828121027205
Health,domain,0.025000000000000022,0.0849608875709527,-0.19999999999999996,0.20000000000000007,0.867579908675799
Health,irrel,0.006249999999999978,0.006177925283979695,0.0,0.025000000000000022,0.730593607305936
Home,domain,-0.10000000000000009,0.040412200207114016,-0.19999999999999996,0.0,0.05733130390664637
Home,irrel,-0.04999999999999993,0.038564406051417345,-0.15000000000000002,0.025000000000000022,0.24556062912227294
Office,domain,-0.125,0.13131095191418757,-0.5,0.09999999999999998,0.4309644670050761
Office,irrel,-0.006249999999999978,0.006157580273118868,-0.025000000000000022,0.0,0.7025380710659899
Research,domain,0.0,0.05660654352186483,-0.10000000000000009,0.09999999999999998,1.0
Research,irrel,-0.03749999999999998,0.01224260866704818,-0.07500000000000007,-0.02499999999999991,0.000508001016002032
Study,domain,0.0,0.0,0.0,0.0,1.0
Study,irrel,0.0,0.0,0.0,0.0,1.0
Travel,domain,0.025000000000000022,0.0243963044553471,0.0,0.09999999999999998,0.6847440446021288
Travel,irrel,-0.03125,0.015430499653163664,-0.07499999999999996,0.0,0.055752660922453116
