model,condition,rate,n,se,ci95,all_pass_rate,facts,facts_passed,rows_per_fact,all_pass_rate_k5,rate_balanced,n_dimensions
qwen3vl-8b-instruct,control,0.925,40,0.04217636961434868,0.08266568444412341,0.925,40,37,1.0,,0.925,1
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.79,200,0.02887331539169935,0.05659169816773073,0.525,40,21,5.0,0.5250000000000036,0.79,10
qwen3vl-8b-instruct,domain_uhigh_mlow,0.795,200,0.028617649261360217,0.056090592552266026,0.375,40,15,5.0,0.375,0.795,10
qwen3vl-8b-instruct,domain_ulow_mhigh,0.805,200,0.02808592343999725,0.055048409942394606,0.5,40,20,5.0,0.5,0.805,10
qwen3vl-8b-instruct,domain_ulow_mlow,0.855,200,0.02495976662047833,0.04892114257613753,0.6,40,24,5.0,0.5999999999999961,0.8550000000000001,10
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.92875,800,0.00910056714045049,0.01783711159528296,0.65,40,26,20.0,0.7900625000000001,0.92875,4
qwen3vl-8b-instruct,irrel_uhigh_mlow,0.92,800,0.009597663462005343,0.01881142038553047,0.475,40,19,20.0,0.7523750000000006,0.92,4
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.91875,800,0.009665781449981089,0.018944931641962932,0.475,40,19,20.0,0.7338124999999996,0.91875,4
qwen3vl-8b-instruct,irrel_ulow_mlow,0.93625,800,0.008642962331998238,0.016940206170716548,0.65,40,26,20.0,0.8135625000000002,0.93625,4
qwen3vl-8b-think,control,1.0,40,0.0,0.0,1.0,40,40,1.0,,1.0,1
qwen3vl-8b-think,domain_uhigh_mhigh,0.82,200,0.027234326551496876,0.053379280040933876,0.625,40,25,5.0,0.625,0.82,10
qwen3vl-8b-think,domain_uhigh_mlow,0.885,200,0.02261486592496229,0.04432513721292609,0.575,40,23,5.0,0.5749999999999961,0.885,10
qwen3vl-8b-think,domain_ulow_mhigh,0.805,200,0.02808592343999725,0.055048409942394606,0.45,40,18,5.0,0.4499999999999982,0.805,10
qwen3vl-8b-think,domain_ulow_mlow,0.895,200,0.02173099585625386,0.04259275187825756,0.7,40,28,5.0,0.6999999999999947,0.8949999999999999,10
qwen3vl-8b-think,irrel_uhigh_mhigh,0.975,800,0.005523303685703477,0.010825675223978815,0.725,40,29,20.0,0.8962500000000004,0.975,4
qwen3vl-8b-think,irrel_uhigh_mlow,0.97875,800,0.005102017748536645,0.009999954787131825,0.75,40,30,20.0,0.9085000000000002,0.97875,4
qwen3vl-8b-think,irrel_ulow_mhigh,0.96125,800,0.006827797624454069,0.013382483343929975,0.625,40,25,20.0,0.8511875000000003,0.9612499999999999,4
qwen3vl-8b-think,irrel_ulow_mlow,0.9925,800,0.0030522668487773454,0.005982443023603597,0.875,40,35,20.0,0.9633750000000002,0.9924999999999999,4
