model,dimension,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,educational_credentials,irrel,user (high-low),0.0025000000000000577,0.015545928332586965,-0.029999999999999916,0.03249999999999997,0.8987753061734567
qwen3vl-8b-instruct,educational_credentials,irrel,model (high-low),0.01749999999999985,0.013401651757057941,-0.007499999999999951,0.04500000000000004,0.20644838790302425
qwen3vl-8b-instruct,educational_credentials,irrel,interaction,0.0050000000000000044,0.02907163624150589,-0.050000000000000044,0.06499999999999995,0.9442639340164959
qwen3vl-8b-instruct,institutional_affiliation,irrel,user (high-low),-0.014999999999999902,0.01498119345969703,-0.04499999999999993,0.014999999999999902,0.3414146463384154
qwen3vl-8b-instruct,institutional_affiliation,irrel,model (high-low),-0.014999999999999902,0.019059208713813357,-0.05249999999999999,0.022499999999999964,0.4543864033991502
qwen3vl-8b-instruct,institutional_affiliation,irrel,interaction,0.019999999999999907,0.04242439430690881,-0.05999999999999994,0.10499999999999998,0.6988252936765809
qwen3vl-8b-instruct,job_title,irrel,user (high-low),-0.022499999999999964,0.021954168050992116,-0.0675,0.01999999999999991,0.32941764558860287
qwen3vl-8b-instruct,job_title,irrel,model (high-low),0.0024999999999999467,0.021967126851343714,-0.040000000000000036,0.04499999999999993,0.9462634341414646
qwen3vl-8b-instruct,job_title,irrel,interaction,0.05500000000000005,0.03201585316235425,-0.0050000000000000044,0.12,0.0899775056235941
qwen3vl-8b-instruct,subscription_tier,irrel,user (high-low),0.022499999999999964,0.01600334051335131,-0.010000000000000009,0.05499999999999994,0.17695576105973507
qwen3vl-8b-instruct,subscription_tier,irrel,model (high-low),-0.022499999999999964,0.011334498988760216,-0.04499999999999993,-0.0024999999999999467,0.04448887778055486
qwen3vl-8b-instruct,subscription_tier,irrel,interaction,0.02499999999999991,0.023739109550867034,-0.025000000000000022,0.06999999999999995,0.3234191452136966
qwen3vl-8b-think,educational_credentials,irrel,user (high-low),0.012499999999999956,0.00807544291011636,0.0,0.03249999999999997,0.0804798800299925
qwen3vl-8b-think,educational_credentials,irrel,model (high-low),-0.01749999999999996,0.009309892827719117,-0.03749999999999998,-0.0024999999999999467,0.031492126968257934
qwen3vl-8b-think,educational_credentials,irrel,interaction,0.04500000000000004,0.02497243241246532,0.0050000000000000044,0.09999999999999998,0.031492126968257934
qwen3vl-8b-think,institutional_affiliation,irrel,user (high-low),-0.015000000000000013,0.010986725890202529,-0.03749999999999998,0.0050000000000001155,0.19495126218445388
qwen3vl-8b-think,institutional_affiliation,irrel,model (high-low),-0.030000000000000027,0.013026988355195581,-0.057499999999999996,-0.007499999999999951,0.00849787553111722
qwen3vl-8b-think,institutional_affiliation,irrel,interaction,-0.020000000000000018,0.017166422793286874,-0.05499999999999994,0.010000000000000009,0.2989252686828293
qwen3vl-8b-think,job_title,irrel,user (high-low),0.0024999999999999467,0.013390059555808624,-0.025000000000000133,0.025000000000000022,0.8702824293926519
qwen3vl-8b-think,job_title,irrel,model (high-low),-0.022499999999999964,0.010714701970608167,-0.04500000000000004,-0.0025000000000000577,0.030992251937015745
qwen3vl-8b-think,job_title,irrel,interaction,0.06499999999999995,0.02250178784122524,0.02499999999999991,0.10999999999999999,0.0024993751562109472
qwen3vl-8b-think,subscription_tier,irrel,user (high-low),0.0,0.006183081235184467,-0.012499999999999956,0.012499999999999956,1.0
qwen3vl-8b-think,subscription_tier,irrel,model (high-low),0.0,0.006092214474786797,-0.012499999999999956,0.012499999999999956,1.0
qwen3vl-8b-think,subscription_tier,irrel,interaction,0.020000000000000018,0.011649364872192888,0.0,0.04500000000000004,0.1269682579355161
