model,condition,delta_vs_control,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain_uhigh_mhigh,-0.135,0.044681956305703825,-0.2250000000000001,-0.050000000000000044,0.0029992501874531365
qwen3vl-8b-instruct,domain_uhigh_mlow,-0.13,0.04477483118130461,-0.21499999999999997,-0.039999999999999925,0.006498375406148463
qwen3vl-8b-instruct,domain_ulow_mhigh,-0.12,0.03977206403629218,-0.20000000000000007,-0.04500000000000004,0.001999500124968758
qwen3vl-8b-instruct,domain_ulow_mlow,-0.07000000000000006,0.03845029297281002,-0.14500000000000002,0.0050000000000000044,0.08397900524868783
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.00374999999999992,0.02689916646521794,-0.04499999999999993,0.06000000000000005,0.9682579355161209
qwen3vl-8b-instruct,irrel_uhigh_mlow,-0.0050000000000000044,0.028298688752283523,-0.053781249999999954,0.057499999999999996,0.8122969257685578
qwen3vl-8b-instruct,irrel_ulow_mhigh,-0.006250000000000089,0.028917668055231067,-0.057499999999999996,0.05500000000000005,0.7973006748312922
qwen3vl-8b-instruct,irrel_ulow_mlow,0.011249999999999982,0.036534845773213705,-0.05253124999999998,0.08875,0.8142964258935266
qwen3vl-8b-think,domain_uhigh_mhigh,-0.18000000000000005,0.04842314736053486,-0.28500000000000003,-0.08999999999999997,0.0004998750312421895
qwen3vl-8b-think,domain_uhigh_mlow,-0.11499999999999999,0.025540434064303785,-0.17000000000000004,-0.06999999999999995,0.0004998750312421895
qwen3vl-8b-think,domain_ulow_mhigh,-0.19499999999999995,0.03900442641636993,-0.275,-0.125,0.0004998750312421895
qwen3vl-8b-think,domain_ulow_mlow,-0.10499999999999998,0.029682546022613977,-0.16500000000000004,-0.050000000000000044,0.0004998750312421895
qwen3vl-8b-think,irrel_uhigh_mhigh,-0.025000000000000022,0.008312514630054415,-0.04249999999999998,-0.010000000000000009,0.0004998750312421895
qwen3vl-8b-think,irrel_uhigh_mlow,-0.02124999999999999,0.007059703123495473,-0.036250000000000004,-0.008750000000000036,0.0004998750312421895
qwen3vl-8b-think,irrel_ulow_mhigh,-0.03874999999999995,0.010804947104698271,-0.06125000000000003,-0.020000000000000018,0.0004998750312421895
qwen3vl-8b-think,irrel_ulow_mlow,-0.007499999999999951,0.00326050894332252,-0.01375000000000004,-0.0012499999999999734,0.005498625343664084
